candidate,party,office,district,town,votes,precinct
Mary Fay,Republican Party,U.S. House,1,East Hartford,15,Mayberry School
Jim Griffin,Republican Party,U.S. House,1,East Hartford,9,Mayberry School
Joe Biden,Democratic Party,President,,East Hartford,183,Saint Christopher Church Hall
Bernie Sanders,Democratic Party,President,,East Hartford,32,Saint Christopher Church Hall
Tulsi Gabbard,Democratic Party,President,,East Hartford,3,Saint Christopher Church Hall
Uncommitted,Democratic Party,President,,East Hartford,18,Saint Christopher Church Hall
Donald J. Trump,Republican Party,President,,East Hartford,87,Saint Christopher Church Hall
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Hartford,2,Saint Christopher Church Hall
Uncommitted,Republican Party,President,,East Hartford,4,Saint Christopher Church Hall
Mary Fay,Republican Party,U.S. House,1,East Hartford,55,Saint Christopher Church Hall
Jim Griffin,Republican Party,U.S. House,1,East Hartford,33,Saint Christopher Church Hall
Joe Biden,Democratic Party,President,,East Hartford,171,Silver Lane School
Bernie Sanders,Democratic Party,President,,East Hartford,30,Silver Lane School
Tulsi Gabbard,Democratic Party,President,,East Hartford,2,Silver Lane School
Uncommitted,Democratic Party,President,,East Hartford,0,Silver Lane School
Donald J. Trump,Republican Party,President,,East Hartford,33,Silver Lane School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Hartford,2,Silver Lane School
Uncommitted,Republican Party,President,,East Hartford,1,Silver Lane School
Mary Fay,Republican Party,U.S. House,1,East Hartford,18,Silver Lane School
Jim Griffin,Republican Party,U.S. House,1,East Hartford,10,Silver Lane School
Joe Biden,Democratic Party,President,,East Haven,53,Deer Run School 3
Bernie Sanders,Democratic Party,President,,East Haven,3,Deer Run School 3
Tulsi Gabbard,Democratic Party,President,,East Haven,1,Deer Run School 3
Uncommitted,Democratic Party,President,,East Haven,1,Deer Run School 3
Donald J. Trump,Republican Party,President,,East Haven,76,Deer Run School 3
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,3,Deer Run School 3
Uncommitted,Republican Party,President,,East Haven,3,Deer Run School 3
Joe Biden,Democratic Party,President,,East Haven,73,Deer Run School 3-S
Bernie Sanders,Democratic Party,President,,East Haven,15,Deer Run School 3-S
Tulsi Gabbard,Democratic Party,President,,East Haven,0,Deer Run School 3-S
Uncommitted,Democratic Party,President,,East Haven,2,Deer Run School 3-S
Donald J. Trump,Republican Party,President,,East Haven,41,Deer Run School 3-S
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,4,Deer Run School 3-S
Uncommitted,Republican Party,President,,East Haven,10,Deer Run School 3-S
Joe Biden,Democratic Party,President,,East Haven,654,East Farm Village 1-S
Bernie Sanders,Democratic Party,President,,East Haven,79,East Farm Village 1-S
Tulsi Gabbard,Democratic Party,President,,East Haven,6,East Farm Village 1-S
Uncommitted,Democratic Party,President,,East Haven,32,East Farm Village 1-S
Donald J. Trump,Republican Party,President,,East Haven,120,East Farm Village 1-S
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,12,East Farm Village 1-S
Uncommitted,Republican Party,President,,East Haven,27,East Farm Village 1-S
Joe Biden,Democratic Party,President,,East Haven,62,Hays School 5
Bernie Sanders,Democratic Party,President,,East Haven,17,Hays School 5
Tulsi Gabbard,Democratic Party,President,,East Haven,1,Hays School 5
Uncommitted,Democratic Party,President,,East Haven,1,Hays School 5
Donald J. Trump,Republican Party,President,,East Haven,62,Hays School 5
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,0,Hays School 5
Uncommitted,Republican Party,President,,East Haven,0,Hays School 5
Joe Biden,Democratic Party,President,,East Haven,98,Momauguin School 2
Bernie Sanders,Democratic Party,President,,East Haven,18,Momauguin School 2
Tulsi Gabbard,Democratic Party,President,,East Haven,5,Momauguin School 2
Uncommitted,Democratic Party,President,,East Haven,6,Momauguin School 2
Donald J. Trump,Republican Party,President,,East Haven,78,Momauguin School 2
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,1,Momauguin School 2
Uncommitted,Republican Party,President,,East Haven,1,Momauguin School 2
Joe Biden,Democratic Party,President,,East Haven,59,Overbrook School 4
Bernie Sanders,Democratic Party,President,,East Haven,5,Overbrook School 4
Tulsi Gabbard,Democratic Party,President,,East Haven,3,Overbrook School 4
Uncommitted,Democratic Party,President,,East Haven,5,Overbrook School 4
Donald J. Trump,Republican Party,President,,East Haven,59,Overbrook School 4
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,0,Overbrook School 4
Uncommitted,Republican Party,President,,East Haven,2,Overbrook School 4
Joe Biden,Democratic Party,President,,East Haven,58,Tuttle School 1
Bernie Sanders,Democratic Party,President,,East Haven,5,Tuttle School 1
Tulsi Gabbard,Democratic Party,President,,East Haven,2,Tuttle School 1
Uncommitted,Democratic Party,President,,East Haven,5,Tuttle School 1
Donald J. Trump,Republican Party,President,,East Haven,73,Tuttle School 1
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,1,Tuttle School 1
Uncommitted,Republican Party,President,,East Haven,1,Tuttle School 1
Joe Biden,Democratic Party,President,,East Haven,23,Woodview 5-S
Bernie Sanders,Democratic Party,President,,East Haven,1,Woodview 5-S
Tulsi Gabbard,Democratic Party,President,,East Haven,0,Woodview 5-S
Uncommitted,Democratic Party,President,,East Haven,2,Woodview 5-S
Donald J. Trump,Republican Party,President,,East Haven,15,Woodview 5-S
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Haven,0,Woodview 5-S
Uncommitted,Republican Party,President,,East Haven,0,Woodview 5-S
Joe Biden,Democratic Party,President,,East Lyme,1414,East Lyme Community Center
Bernie Sanders,Democratic Party,President,,East Lyme,177,East Lyme Community Center
Tulsi Gabbard,Democratic Party,President,,East Lyme,16,East Lyme Community Center
Uncommitted,Democratic Party,President,,East Lyme,27,East Lyme Community Center
Donald J. Trump,Republican Party,President,,East Lyme,270,East Lyme Community Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Lyme,62,East Lyme Community Center
Uncommitted,Republican Party,President,,East Lyme,110,East Lyme Community Center
Thomas Gilmer,Republican Party,U.S. House,2,East Lyme,198,East Lyme Community Center
Justin Anderson,Republican Party,U.S. House,2,East Lyme,164,East Lyme Community Center
Joe Biden,Democratic Party,President,,East Lyme,99,East Lyme High School
Bernie Sanders,Democratic Party,President,,East Lyme,40,East Lyme High School
Tulsi Gabbard,Democratic Party,President,,East Lyme,6,East Lyme High School
Uncommitted,Democratic Party,President,,East Lyme,2,East Lyme High School
Donald J. Trump,Republican Party,President,,East Lyme,109,East Lyme High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Lyme,2,East Lyme High School
Uncommitted,Republican Party,President,,East Lyme,11,East Lyme High School
Thomas Gilmer,Republican Party,U.S. House,2,East Lyme,54,East Lyme High School
Justin Anderson,Republican Party,U.S. House,2,East Lyme,51,East Lyme High School
Joe Biden,Democratic Party,President,,East Lyme,122,Niantic Center School
Bernie Sanders,Democratic Party,President,,East Lyme,14,Niantic Center School
Tulsi Gabbard,Democratic Party,President,,East Lyme,1,Niantic Center School
Uncommitted,Democratic Party,President,,East Lyme,0,Niantic Center School
Donald J. Trump,Republican Party,President,,East Lyme,87,Niantic Center School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Lyme,3,Niantic Center School
Uncommitted,Republican Party,President,,East Lyme,7,Niantic Center School
Thomas Gilmer,Republican Party,U.S. House,2,East Lyme,42,Niantic Center School
Justin Anderson,Republican Party,U.S. House,2,East Lyme,43,Niantic Center School
Joe Biden,Democratic Party,President,,East Windsor,340,Town Hall
Bernie Sanders,Democratic Party,President,,East Windsor,54,Town Hall
Tulsi Gabbard,Democratic Party,President,,East Windsor,11,Town Hall
Uncommitted,Democratic Party,President,,East Windsor,12,Town Hall
Donald J. Trump,Republican Party,President,,East Windsor,142,Town Hall
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Windsor,19,Town Hall
Uncommitted,Republican Party,President,,East Windsor,34,Town Hall
Mary Fay,Republican Party,U.S. House,1,East Windsor,97,Town Hall
Jim Griffin,Republican Party,U.S. House,1,East Windsor,77,Town Hall
Joe Biden,Democratic Party,President,,East Windsor,233,Town Hall Annex
Bernie Sanders,Democratic Party,President,,East Windsor,30,Town Hall Annex
Tulsi Gabbard,Democratic Party,President,,East Windsor,3,Town Hall Annex
Uncommitted,Democratic Party,President,,East Windsor,14,Town Hall Annex
Donald J. Trump,Republican Party,President,,East Windsor,117,Town Hall Annex
"Roque ""Rocky"" De La Fuente",Republican Party,President,,East Windsor,6,Town Hall Annex
Uncommitted,Republican Party,President,,East Windsor,8,Town Hall Annex
Mary Fay,Republican Party,U.S. House,1,East Windsor,75,Town Hall Annex
Jim Griffin,Republican Party,U.S. House,1,East Windsor,47,Town Hall Annex
Joe Biden,Democratic Party,President,,Eastford,99,Eastford Town Hall-Lower Level
Bernie Sanders,Democratic Party,President,,Eastford,18,Eastford Town Hall-Lower Level
Tulsi Gabbard,Democratic Party,President,,Eastford,1,Eastford Town Hall-Lower Level
Uncommitted,Democratic Party,President,,Eastford,0,Eastford Town Hall-Lower Level
Donald J. Trump,Republican Party,President,,Eastford,66,Eastford Town Hall-Lower Level
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Eastford,8,Eastford Town Hall-Lower Level
Uncommitted,Republican Party,President,,Eastford,29,Eastford Town Hall-Lower Level
Thomas Gilmer,Republican Party,U.S. House,2,Eastford,38,Eastford Town Hall-Lower Level
Justin Anderson,Republican Party,U.S. House,2,Eastford,43,Eastford Town Hall-Lower Level
Joe Biden,Democratic Party,President,,Easton,573,Samuel Staples School
Bernie Sanders,Democratic Party,President,,Easton,89,Samuel Staples School
Tulsi Gabbard,Democratic Party,President,,Easton,9,Samuel Staples School
Uncommitted,Democratic Party,President,,Easton,12,Samuel Staples School
Donald J. Trump,Republican Party,President,,Easton,238,Samuel Staples School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Easton,37,Samuel Staples School
Uncommitted,Republican Party,President,,Easton,59,Samuel Staples School
Joe Biden,Democratic Party,President,,Ellington,196,Crystal Lake School
Bernie Sanders,Democratic Party,President,,Ellington,19,Crystal Lake School
Tulsi Gabbard,Democratic Party,President,,Ellington,4,Crystal Lake School
Uncommitted,Democratic Party,President,,Ellington,2,Crystal Lake School
Donald J. Trump,Republican Party,President,,Ellington,139,Crystal Lake School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ellington,10,Crystal Lake School
Uncommitted,Republican Party,President,,Ellington,17,Crystal Lake School
Thomas Gilmer,Republican Party,U.S. House,2,Ellington,72,Crystal Lake School
Justin Anderson,Republican Party,U.S. House,2,Ellington,72,Crystal Lake School
Joe Biden,Democratic Party,President,,Ellington,666,Ellington High School
Bernie Sanders,Democratic Party,President,,Ellington,97,Ellington High School
Tulsi Gabbard,Democratic Party,President,,Ellington,7,Ellington High School
Uncommitted,Democratic Party,President,,Ellington,15,Ellington High School
Donald J. Trump,Republican Party,President,,Ellington,401,Ellington High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ellington,43,Ellington High School
Uncommitted,Republican Party,President,,Ellington,49,Ellington High School
Thomas Gilmer,Republican Party,U.S. House,2,Ellington,213,Ellington High School
Justin Anderson,Republican Party,U.S. House,2,Ellington,220,Ellington High School
Joe Biden,Democratic Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Joe Biden,Democratic Party,President,,Enfield,301,Enfield Municipal Annex - Fermi
Bernie Sanders,Democratic Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Bernie Sanders,Democratic Party,President,,Enfield,33,Enfield Municipal Annex - Fermi
Tulsi Gabbard,Democratic Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Tulsi Gabbard,Democratic Party,President,,Enfield,8,Enfield Municipal Annex - Fermi
Uncommitted,Democratic Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Uncommitted,Democratic Party,President,,Enfield,15,Enfield Municipal Annex - Fermi
Donald J. Trump,Republican Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Donald J. Trump,Republican Party,President,,Enfield,216,Enfield Municipal Annex - Fermi
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,11,Enfield Municipal Annex - Fermi
Uncommitted,Republican Party,President,,Enfield,0,Enfield Municipal Annex - Fermi
Uncommitted,Republican Party,President,,Enfield,9,Enfield Municipal Annex - Fermi
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,118,Enfield Municipal Annex - Fermi
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,0,Enfield Municipal Annex - Fermi
Justin Anderson,Republican Party,U.S. House,2,Enfield,92,Enfield Municipal Annex - Fermi
Justin Anderson,Republican Party,U.S. House,2,Enfield,0,Enfield Municipal Annex - Fermi
Joe Biden,Democratic Party,President,,Enfield,0,Enfield Senior Center
Joe Biden,Democratic Party,President,,Enfield,1521,Enfield Senior Center
Bernie Sanders,Democratic Party,President,,Enfield,159,Enfield Senior Center
Bernie Sanders,Democratic Party,President,,Enfield,0,Enfield Senior Center
Tulsi Gabbard,Democratic Party,President,,Enfield,0,Enfield Senior Center
Tulsi Gabbard,Democratic Party,President,,Enfield,34,Enfield Senior Center
Uncommitted,Democratic Party,President,,Enfield,0,Enfield Senior Center
Uncommitted,Democratic Party,President,,Enfield,63,Enfield Senior Center
Donald J. Trump,Republican Party,President,,Enfield,481,Enfield Senior Center
Donald J. Trump,Republican Party,President,,Enfield,0,Enfield Senior Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,44,Enfield Senior Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,0,Enfield Senior Center
Uncommitted,Republican Party,President,,Enfield,0,Enfield Senior Center
Uncommitted,Republican Party,President,,Enfield,111,Enfield Senior Center
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,270,Enfield Senior Center
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,0,Enfield Senior Center
Justin Anderson,Republican Party,U.S. House,2,Enfield,279,Enfield Senior Center
Justin Anderson,Republican Party,U.S. House,2,Enfield,0,Enfield Senior Center
Joe Biden,Democratic Party,President,,Enfield,102,Enfield Street School
Bernie Sanders,Democratic Party,President,,Enfield,28,Enfield Street School
Tulsi Gabbard,Democratic Party,President,,Enfield,3,Enfield Street School
Uncommitted,Democratic Party,President,,Enfield,5,Enfield Street School
Donald J. Trump,Republican Party,President,,Enfield,99,Enfield Street School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,7,Enfield Street School
Uncommitted,Republican Party,President,,Enfield,3,Enfield Street School
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,56,Enfield Street School
Justin Anderson,Republican Party,U.S. House,2,Enfield,43,Enfield Street School
Joe Biden,Democratic Party,President,,Enfield,314,Henry Barnard School
Joe Biden,Democratic Party,President,,Enfield,0,Henry Barnard School
Bernie Sanders,Democratic Party,President,,Enfield,43,Henry Barnard School
Bernie Sanders,Democratic Party,President,,Enfield,0,Henry Barnard School
Tulsi Gabbard,Democratic Party,President,,Enfield,10,Henry Barnard School
Tulsi Gabbard,Democratic Party,President,,Enfield,0,Henry Barnard School
Uncommitted,Democratic Party,President,,Enfield,20,Henry Barnard School
Uncommitted,Democratic Party,President,,Enfield,0,Henry Barnard School
Donald J. Trump,Republican Party,President,,Enfield,188,Henry Barnard School
Donald J. Trump,Republican Party,President,,Enfield,0,Henry Barnard School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,7,Henry Barnard School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Enfield,0,Henry Barnard School
Uncommitted,Republican Party,President,,Enfield,23,Henry Barnard School
Uncommitted,Republican Party,President,,Enfield,0,Henry Barnard School
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,113,Henry Barnard School
Thomas Gilmer,Republican Party,U.S. House,2,Enfield,0,Henry Barnard School
Justin Anderson,Republican Party,U.S. House,2,Enfield,70,Henry Barnard School
Justin Anderson,Republican Party,U.S. House,2,Enfield,0,Henry Barnard School
Joe Biden,Democratic Party,President,,Essex,852,Essex Town Hall 01
Bernie Sanders,Democratic Party,President,,Essex,87,Essex Town Hall 01
Tulsi Gabbard,Democratic Party,President,,Essex,5,Essex Town Hall 01
Uncommitted,Democratic Party,President,,Essex,10,Essex Town Hall 01
Donald J. Trump,Republican Party,President,,Essex,238,Essex Town Hall 01
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Essex,38,Essex Town Hall 01
Uncommitted,Republican Party,President,,Essex,63,Essex Town Hall 01
Thomas Gilmer,Republican Party,U.S. House,2,Essex,164,Essex Town Hall 01
Justin Anderson,Republican Party,U.S. House,2,Essex,111,Essex Town Hall 01
Joe Biden,Democratic Party,President,,Fairfield,404,Dwight School
Bernie Sanders,Democratic Party,President,,Fairfield,24,Dwight School
Tulsi Gabbard,Democratic Party,President,,Fairfield,5,Dwight School
Uncommitted,Democratic Party,President,,Fairfield,0,Dwight School
Donald J. Trump,Republican Party,President,,Fairfield,134,Dwight School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,21,Dwight School
Uncommitted,Republican Party,President,,Fairfield,56,Dwight School
Joe Biden,Democratic Party,President,,Fairfield,448,Fairfield Ludlowe High School
Bernie Sanders,Democratic Party,President,,Fairfield,44,Fairfield Ludlowe High School
Tulsi Gabbard,Democratic Party,President,,Fairfield,5,Fairfield Ludlowe High School
Uncommitted,Democratic Party,President,,Fairfield,4,Fairfield Ludlowe High School
Donald J. Trump,Republican Party,President,,Fairfield,142,Fairfield Ludlowe High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,13,Fairfield Ludlowe High School
Uncommitted,Republican Party,President,,Fairfield,38,Fairfield Ludlowe High School
Joe Biden,Democratic Party,President,,Fairfield,506,Fairfield Senior Center
Bernie Sanders,Democratic Party,President,,Fairfield,53,Fairfield Senior Center
Tulsi Gabbard,Democratic Party,President,,Fairfield,2,Fairfield Senior Center
Uncommitted,Democratic Party,President,,Fairfield,7,Fairfield Senior Center
Donald J. Trump,Republican Party,President,,Fairfield,114,Fairfield Senior Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,17,Fairfield Senior Center
Uncommitted,Republican Party,President,,Fairfield,27,Fairfield Senior Center
Joe Biden,Democratic Party,President,,Fairfield,389,Fairfield Warde High School
Bernie Sanders,Democratic Party,President,,Fairfield,64,Fairfield Warde High School
Tulsi Gabbard,Democratic Party,President,,Fairfield,9,Fairfield Warde High School
Uncommitted,Democratic Party,President,,Fairfield,12,Fairfield Warde High School
Donald J. Trump,Republican Party,President,,Fairfield,94,Fairfield Warde High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,6,Fairfield Warde High School
Uncommitted,Republican Party,President,,Fairfield,19,Fairfield Warde High School
Joe Biden,Democratic Party,President,,Fairfield,454,Fairfield Woods Middle School
Bernie Sanders,Democratic Party,President,,Fairfield,62,Fairfield Woods Middle School
Tulsi Gabbard,Democratic Party,President,,Fairfield,5,Fairfield Woods Middle School
Uncommitted,Democratic Party,President,,Fairfield,9,Fairfield Woods Middle School
Donald J. Trump,Republican Party,President,,Fairfield,149,Fairfield Woods Middle School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,21,Fairfield Woods Middle School
Uncommitted,Republican Party,President,,Fairfield,43,Fairfield Woods Middle School
Joe Biden,Democratic Party,President,,Fairfield,247,Holland Hill School
Bernie Sanders,Democratic Party,President,,Fairfield,21,Holland Hill School
Tulsi Gabbard,Democratic Party,President,,Fairfield,4,Holland Hill School
Uncommitted,Democratic Party,President,,Fairfield,1,Holland Hill School
Donald J. Trump,Republican Party,President,,Fairfield,56,Holland Hill School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,13,Holland Hill School
Uncommitted,Republican Party,President,,Fairfield,17,Holland Hill School
Joe Biden,Democratic Party,President,,Fairfield,292,McKinley School
Bernie Sanders,Democratic Party,President,,Fairfield,63,McKinley School
Tulsi Gabbard,Democratic Party,President,,Fairfield,5,McKinley School
Uncommitted,Democratic Party,President,,Fairfield,3,McKinley School
Donald J. Trump,Republican Party,President,,Fairfield,95,McKinley School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,8,McKinley School
Uncommitted,Republican Party,President,,Fairfield,18,McKinley School
Joe Biden,Democratic Party,President,,Fairfield,440,Mill Hill School
Bernie Sanders,Democratic Party,President,,Fairfield,46,Mill Hill School
Tulsi Gabbard,Democratic Party,President,,Fairfield,8,Mill Hill School
Uncommitted,Democratic Party,President,,Fairfield,4,Mill Hill School
Donald J. Trump,Republican Party,President,,Fairfield,149,Mill Hill School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,20,Mill Hill School
Uncommitted,Republican Party,President,,Fairfield,37,Mill Hill School
Joe Biden,Democratic Party,President,,Fairfield,426,St Pius School
Bernie Sanders,Democratic Party,President,,Fairfield,46,St Pius School
Tulsi Gabbard,Democratic Party,President,,Fairfield,3,St Pius School
Uncommitted,Democratic Party,President,,Fairfield,4,St Pius School
Donald J. Trump,Republican Party,President,,Fairfield,111,St Pius School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,18,St Pius School
Uncommitted,Republican Party,President,,Fairfield,35,St Pius School
Joe Biden,Democratic Party,President,,Fairfield,623,Stratfield School
Bernie Sanders,Democratic Party,President,,Fairfield,77,Stratfield School
Tulsi Gabbard,Democratic Party,President,,Fairfield,9,Stratfield School
Uncommitted,Democratic Party,President,,Fairfield,4,Stratfield School
Donald J. Trump,Republican Party,President,,Fairfield,102,Stratfield School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Fairfield,16,Stratfield School
Uncommitted,Republican Party,President,,Fairfield,25,Stratfield School
Joe Biden,Democratic Party,President,,Farmington,464,Community Center - District 2 Precinct 6
Bernie Sanders,Democratic Party,President,,Farmington,74,Community Center - District 2 Precinct 6
Tulsi Gabbard,Democratic Party,President,,Farmington,6,Community Center - District 2 Precinct 6
Uncommitted,Democratic Party,President,,Farmington,14,Community Center - District 2 Precinct 6
Donald J. Trump,Republican Party,President,,Farmington,222,Community Center - District 2 Precinct 6
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Farmington,21,Community Center - District 2 Precinct 6
Uncommitted,Republican Party,President,,Farmington,50,Community Center - District 2 Precinct 6
Joe Biden,Democratic Party,President,,Farmington,819,Irving Robbins School
Bernie Sanders,Democratic Party,President,,Farmington,84,Irving Robbins School
Tulsi Gabbard,Democratic Party,President,,Farmington,11,Irving Robbins School
Uncommitted,Democratic Party,President,,Farmington,8,Irving Robbins School
Donald J. Trump,Republican Party,President,,Farmington,230,Irving Robbins School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Farmington,25,Irving Robbins School
Uncommitted,Republican Party,President,,Farmington,60,Irving Robbins School
Joe Biden,Democratic Party,President,,Farmington,483,Municipal Buildngs - FHS Library Town Hall
Bernie Sanders,Democratic Party,President,,Farmington,64,Municipal Buildngs - FHS Library Town Hall
Tulsi Gabbard,Democratic Party,President,,Farmington,5,Municipal Buildngs - FHS Library Town Hall
Uncommitted,Democratic Party,President,,Farmington,10,Municipal Buildngs - FHS Library Town Hall
Donald J. Trump,Republican Party,President,,Farmington,197,Municipal Buildngs - FHS Library Town Hall
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Farmington,15,Municipal Buildngs - FHS Library Town Hall
Uncommitted,Republican Party,President,,Farmington,37,Municipal Buildngs - FHS Library Town Hall
Joe Biden,Democratic Party,President,,Farmington,217,West Woods School - District 1 Precinct 5
Bernie Sanders,Democratic Party,President,,Farmington,26,West Woods School - District 1 Precinct 5
Tulsi Gabbard,Democratic Party,President,,Farmington,5,West Woods School - District 1 Precinct 5
Uncommitted,Democratic Party,President,,Farmington,6,West Woods School - District 1 Precinct 5
Donald J. Trump,Republican Party,President,,Farmington,68,West Woods School - District 1 Precinct 5
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Farmington,5,West Woods School - District 1 Precinct 5
Uncommitted,Republican Party,President,,Farmington,12,West Woods School - District 1 Precinct 5
Joe Biden,Democratic Party,President,,Franklin,84,Franklin Town Hall
Bernie Sanders,Democratic Party,President,,Franklin,15,Franklin Town Hall
Tulsi Gabbard,Democratic Party,President,,Franklin,1,Franklin Town Hall
Uncommitted,Democratic Party,President,,Franklin,9,Franklin Town Hall
Donald J. Trump,Republican Party,President,,Franklin,65,Franklin Town Hall
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Franklin,4,Franklin Town Hall
Uncommitted,Republican Party,President,,Franklin,5,Franklin Town Hall
Thomas Gilmer,Republican Party,U.S. House,2,Franklin,36,Franklin Town Hall
Justin Anderson,Republican Party,U.S. House,2,Franklin,19,Franklin Town Hall
Joe Biden,Democratic Party,President,,Glastonbury,47,Cong 2 (Dist 2 & 3)
Bernie Sanders,Democratic Party,President,,Glastonbury,18,Cong 2 (Dist 2 & 3)
Tulsi Gabbard,Democratic Party,President,,Glastonbury,0,Cong 2 (Dist 2 & 3)
Uncommitted,Democratic Party,President,,Glastonbury,0,Cong 2 (Dist 2 & 3)
Donald J. Trump,Republican Party,President,,Glastonbury,62,Cong 2 (Dist 2 & 3)
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Glastonbury,5,Cong 2 (Dist 2 & 3)
Uncommitted,Republican Party,President,,Glastonbury,6,Cong 2 (Dist 2 & 3)
Thomas Gilmer,Republican Party,U.S. House,2,Glastonbury,28,Cong 2 (Dist 2 & 3)
Justin Anderson,Republican Party,U.S. House,2,Glastonbury,31,Cong 2 (Dist 2 & 3)
Joe Biden,Democratic Party,President,,Glastonbury,2530,District 1 - Smith Middle School
Bernie Sanders,Democratic Party,President,,Glastonbury,338,District 1 - Smith Middle School
Tulsi Gabbard,Democratic Party,President,,Glastonbury,25,District 1 - Smith Middle School
Uncommitted,Democratic Party,President,,Glastonbury,31,District 1 - Smith Middle School
Donald J. Trump,Republican Party,President,,Glastonbury,406,District 1 - Smith Middle School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Glastonbury,125,District 1 - Smith Middle School
Uncommitted,Republican Party,President,,Glastonbury,215,District 1 - Smith Middle School
Mary Fay,Republican Party,U.S. House,1,Glastonbury,386,District 1 - Smith Middle School
Jim Griffin,Republican Party,U.S. House,1,Glastonbury,246,District 1 - Smith Middle School
Joe Biden,Democratic Party,President,,Glastonbury,65,District 4 - Gideon Welles School
Bernie Sanders,Democratic Party,President,,Glastonbury,16,District 4 - Gideon Welles School
Tulsi Gabbard,Democratic Party,President,,Glastonbury,2,District 4 - Gideon Welles School
Uncommitted,Democratic Party,President,,Glastonbury,1,District 4 - Gideon Welles School
Donald J. Trump,Republican Party,President,,Glastonbury,62,District 4 - Gideon Welles School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Glastonbury,5,District 4 - Gideon Welles School
Uncommitted,Republican Party,President,,Glastonbury,7,District 4 - Gideon Welles School
Mary Fay,Republican Party,U.S. House,1,Glastonbury,31,District 4 - Gideon Welles School
Jim Griffin,Republican Party,U.S. House,1,Glastonbury,38,District 4 - Gideon Welles School
Joe Biden,Democratic Party,President,,Glastonbury,91,District 5 - Nayaug Elementary School
Bernie Sanders,Democratic Party,President,,Glastonbury,12,District 5 - Nayaug Elementary School
Tulsi Gabbard,Democratic Party,President,,Glastonbury,5,District 5 - Nayaug Elementary School
Uncommitted,Democratic Party,President,,Glastonbury,3,District 5 - Nayaug Elementary School
Donald J. Trump,Republican Party,President,,Glastonbury,86,District 5 - Nayaug Elementary School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Glastonbury,6,District 5 - Nayaug Elementary School
