town,precinct,office,district,party,candidate,votes,machine,absentee
Middletown,5,Comptroller,,Rep,Jack Orchulli,388,357,31
Middletown,6,Comptroller,,Rep,Jack Orchulli,222,212,10
Middletown,7,Comptroller,,Rep,Jack Orchulli,207,186,21
Middletown,8,Comptroller,,Rep,Jack Orchulli,80,76,4
Middletown,9,Comptroller,,Rep,Jack Orchulli,354,331,23
Middletown,10,Comptroller,,Rep,Jack Orchulli,707,679,28
Middletown,11,Comptroller,,Rep,Jack Orchulli,608,552,56
Middletown,12,Comptroller,,Rep,Jack Orchulli,112,109,3
Middletown,13,Comptroller,,Rep,Jack Orchulli,56,48,8
Middletown,14,Comptroller,,Rep,Jack Orchulli,99,74,25
Middletown,1,Comptroller,,Dem,Kevin Lembo,424,389,35
Middletown,2,Comptroller,,Dem,Kevin Lembo,192,187,5
Middletown,3,Comptroller,,Dem,Kevin Lembo,1500,1458,42
Middletown,4,Comptroller,,Dem,Kevin Lembo,453,445,8
Middletown,5,Comptroller,,Dem,Kevin Lembo,470,443,27
Middletown,6,Comptroller,,Dem,Kevin Lembo,421,404,17
Middletown,7,Comptroller,,Dem,Kevin Lembo,560,507,53
Middletown,8,Comptroller,,Dem,Kevin Lembo,218,201,17
Middletown,9,Comptroller,,Dem,Kevin Lembo,720,688,32
Middletown,10,Comptroller,,Dem,Kevin Lembo,1023,978,45
Middletown,11,Comptroller,,Dem,Kevin Lembo,1266,1189,77
Middletown,12,Comptroller,,Dem,Kevin Lembo,267,258,9
Middletown,13,Comptroller,,Dem,Kevin Lembo,181,140,41
Middletown,14,Comptroller,,Dem,Kevin Lembo,548,515,33
Middletown,1,Comptroller,,Green,Colin Bennett,21,18,3
Middletown,2,Comptroller,,Green,Colin Bennett,3,3,0
Middletown,3,Comptroller,,Green,Colin Bennett,30,28,2
Middletown,4,Comptroller,,Green,Colin Bennett,12,12,0
Middletown,5,Comptroller,,Green,Colin Bennett,11,10,1
Middletown,6,Comptroller,,Green,Colin Bennett,11,11,0
Middletown,7,Comptroller,,Green,Colin Bennett,18,17,1
Middletown,8,Comptroller,,Green,Colin Bennett,6,5,1
Middletown,9,Comptroller,,Green,Colin Bennett,8,7,1
Middletown,10,Comptroller,,Green,Colin Bennett,32,32,0
Middletown,11,Comptroller,,Green,Colin Bennett,26,23,3
Middletown,12,Comptroller,,Green,Colin Bennett,4,4,0
Middletown,13,Comptroller,,Green,Colin Bennett,2,1,1
Middletown,14,Comptroller,,Green,Colin Bennett,23,22,1
Middletown,1,Comptroller,,Lbt,Joshua Katz,9,8,1
Middletown,2,Comptroller,,Lbt,Joshua Katz,2,2,0
Middletown,3,Comptroller,,Lbt,Joshua Katz,28,27,1
Middletown,4,Comptroller,,Lbt,Joshua Katz,11,11,0
Middletown,5,Comptroller,,Lbt,Joshua Katz,11,10,1
Middletown,6,Comptroller,,Lbt,Joshua Katz,8,8,0
Middletown,7,Comptroller,,Lbt,Joshua Katz,7,7,0
Middletown,8,Comptroller,,Lbt,Joshua Katz,9,9,0
Middletown,9,Comptroller,,Lbt,Joshua Katz,4,4,0
Middletown,10,Comptroller,,Lbt,Joshua Katz,18,16,2
Middletown,11,Comptroller,,Lbt,Joshua Katz,11,10,1
Middletown,12,Comptroller,,Lbt,Joshua Katz,7,7,0
Middletown,13,Comptroller,,Lbt,Joshua Katz,5,2,3
Middletown,14,Comptroller,,Lbt,Joshua Katz,2,2,0
Middletown,1,Comptroller,,WF,Kevin Lembo,37,36,1
Middletown,2,Comptroller,,WF,Kevin Lembo,8,8,0
Middletown,3,Comptroller,,WF,Kevin Lembo,69,68,1
Middletown,4,Comptroller,,WF,Kevin Lembo,15,15,0
Middletown,5,Comptroller,,WF,Kevin Lembo,16,15,1
Middletown,6,Comptroller,,WF,Kevin Lembo,18,18,0
Middletown,7,Comptroller,,WF,Kevin Lembo,22,22,0
Middletown,8,Comptroller,,WF,Kevin Lembo,23,23,0
Middletown,9,Comptroller,,WF,Kevin Lembo,37,37,0
Middletown,10,Comptroller,,WF,Kevin Lembo,70,68,2
Middletown,11,Comptroller,,WF,Kevin Lembo,77,76,1
Middletown,12,Comptroller,,WF,Kevin Lembo,26,26,0
Middletown,13,Comptroller,,WF,Kevin Lembo,17,14,3
Middletown,14,Comptroller,,WF,Kevin Lembo,36,36,0
Middletown,1,Comptroller,,Ind,Hugh Dolan,9,9,0
Middletown,2,Comptroller,,Ind,Hugh Dolan,4,4,0
Middletown,3,Comptroller,,Ind,Hugh Dolan,22,21,1
Middletown,4,Comptroller,,Ind,Hugh Dolan,15,14,1
Middletown,5,Comptroller,,Ind,Hugh Dolan,12,11,1
Middletown,6,Comptroller,,Ind,Hugh Dolan,7,7,0
Middletown,7,Comptroller,,Ind,Hugh Dolan,13,13,0
Middletown,8,Comptroller,,Ind,Hugh Dolan,4,4,0
Middletown,9,Comptroller,,Ind,Hugh Dolan,13,11,2
Middletown,10,Comptroller,,Ind,Hugh Dolan,31,30,1
Middletown,11,Comptroller,,Ind,Hugh Dolan,33,31,2
Middletown,12,Comptroller,,Ind,Hugh Dolan,11,11,0
Middletown,13,Comptroller,,Ind,Hugh Dolan,6,4,2
Middletown,14,Comptroller,,Ind,Hugh Dolan,11,10,1
Middletown,1,Attorney General,,Rep,Martha Dean,151,139,12
Middletown,2,Attorney General,,Rep,Martha Dean,64,59,5
Middletown,3,Attorney General,,Rep,Martha Dean,854,806,48
Middletown,4,Attorney General,,Rep,Martha Dean,406,388,18
Middletown,5,Attorney General,,Rep,Martha Dean,398,365,33
Middletown,6,Attorney General,,Rep,Martha Dean,226,216,10
Middletown,7,Attorney General,,Rep,Martha Dean,233,212,21
Middletown,8,Attorney General,,Rep,Martha Dean,88,86,2
Middletown,9,Attorney General,,Rep,Martha Dean,354,332,22
Middletown,10,Attorney General,,Rep,Martha Dean,767,735,32
Middletown,11,Attorney General,,Rep,Martha Dean,666,612,54
Middletown,12,Attorney General,,Rep,Martha Dean,134,131,3
Middletown,13,Attorney General,,Rep,Martha Dean,59,46,13
Middletown,14,Attorney General,,Rep,Martha Dean,106,81,25
Middletown,1,Attorney General,,Dem,George Jepsen,438,404,34
Middletown,2,Attorney General,,Dem,George Jepsen,199,193,6
Middletown,3,Attorney General,,Dem,George Jepsen,1507,1458,49
Middletown,4,Attorney General,,Dem,George Jepsen,474,462,12
Middletown,5,Attorney General,,Dem,George Jepsen,478,451,27
Middletown,6,Attorney General,,Dem,George Jepsen,423,407,16
Middletown,7,Attorney General,,Dem,George Jepsen,549,496,53
Middletown,8,Attorney General,,Dem,George Jepsen,226,206,20
Middletown,9,Attorney General,,Dem,George Jepsen,746,710,36
Middletown,10,Attorney General,,Dem,George Jepsen,1028,985,43
Middletown,11,Attorney General,,Dem,George Jepsen,1260,1171,89
Middletown,12,Attorney General,,Dem,George Jepsen,257,248,9
Middletown,13,Attorney General,,Dem,George Jepsen,185,149,36
Middletown,14,Attorney General,,Dem,George Jepsen,550,515,35
Middletown,1,Attorney General,,Green,Stephen Fournier,19,18,1
Middletown,2,Attorney General,,Green,Stephen Fournier,5,5,0
Middletown,3,Attorney General,,Green,Stephen Fournier,28,26,2
Middletown,4,Attorney General,,Green,Stephen Fournier,15,15,0
Middletown,5,Attorney General,,Green,Stephen Fournier,14,14,0
Middletown,6,Attorney General,,Green,Stephen Fournier,14,14,0
Middletown,7,Attorney General,,Green,Stephen Fournier,23,22,1
Middletown,8,Attorney General,,Green,Stephen Fournier,11,10,1
Middletown,9,Attorney General,,Green,Stephen Fournier,11,10,1
Middletown,10,Attorney General,,Green,Stephen Fournier,33,33,0
Middletown,11,Attorney General,,Green,Stephen Fournier,31,29,2
Middletown,12,Attorney General,,Green,Stephen Fournier,11,11,0
Middletown,13,Attorney General,,Green,Stephen Fournier,4,2,2
Middletown,14,Attorney General,,Green,Stephen Fournier,26,25,1
Middletown,1,Attorney General,,WF,George Jepsen,34,34,0
Middletown,2,Attorney General,,WF,George Jepsen,8,8,0
Middletown,3,Attorney General,,WF,George Jepsen,71,69,2
Middletown,4,Attorney General,,WF,George Jepsen,18,17,1
Middletown,5,Attorney General,,WF,George Jepsen,22,20,2
Middletown,6,Attorney General,,WF,George Jepsen,19,18,1
Middletown,7,Attorney General,,WF,George Jepsen,26,24,2
Middletown,8,Attorney General,,WF,George Jepsen,23,21,2
Middletown,9,Attorney General,,WF,George Jepsen,42,39,3
Middletown,10,Attorney General,,WF,George Jepsen,65,64,1
Middletown,11,Attorney General,,WF,George Jepsen,78,77,1
Middletown,12,Attorney General,,WF,George Jepsen,25,25,0
Middletown,13,Attorney General,,WF,George Jepsen,13,12,1
Middletown,14,Attorney General,,WF,George Jepsen,38,38,0
Middletown,1,Attorney General,,Ind,Stephen Fournier,10,10,0
Middletown,2,Attorney General,,Ind,Stephen Fournier,4,4,0
Middletown,3,Attorney General,,Ind,Stephen Fournier,13,13,0
Middletown,4,Attorney General,,Ind,Stephen Fournier,10,10,0
Middletown,5,Attorney General,,Ind,Stephen Fournier,10,10,0
Middletown,6,Attorney General,,Ind,Stephen Fournier,10,10,0
Middletown,7,Attorney General,,Ind,Stephen Fournier,13,13,0
Middletown,8,Attorney General,,Ind,Stephen Fournier,1,1,0
Middletown,9,Attorney General,,Ind,Stephen Fournier,7,6,1
Middletown,10,Attorney General,,Ind,Stephen Fournier,33,32,1
Middletown,11,Attorney General,,Ind,Stephen Fournier,28,27,1
Middletown,12,Attorney General,,Ind,Stephen Fournier,7,7,0
Middletown,13,Attorney General,,Ind,Stephen Fournier,7,5,2
Middletown,14,Attorney General,,Ind,Stephen Fournier,9,8,1
