town,office,district,party,enrollment_list,registered_voters,voters
Hampton,President,,DEM,3,406,255
Hartford,President,,DEM,84,37056,10703
Hartland,President,,DEM,2,354,166
Harwinton,President,,DEM,8,974,460
Hebron,President,,DEM,15,1887,960
Kent,President,,DEM,1,775,544
Killingly,President,,DEM,23,2512,913
Killingworth,President,,DEM,7,1215,722
Lebanon,President,,DEM,8,1251,711
Ledyard,President,,DEM,10,2195,1171
Lisbon,President,,DEM,11,573,394
Litchfield,President,,DEM,9,1510,871
Lyme,President,,DEM,1,614,395
Madison,President,,DEM,13,3528,2075
Manchester,President,,DEM,88,11364,5665
Mansfield,President,,DEM,15,5569,3242
Marlborough,President,,DEM,11,1303,738
Meriden,President,,DEM,76,10538,3852
Middlebury,President,,DEM,12,1173,609
Middlefield,President,,DEM,5,980,477
Middletown,President,,DEM,80,11198,5434
Milford,President,,DEM,79,9873,4517
Monroe,President,,DEM,26,2603,1341
Montville,President,,DEM,35,2706,1278
Morris,President,,DEM,3,409,216
Naugatuck,President,,DEM,56,5717,2027
New Britain,President,,DEM,113,13985,5164
New Canaan,President,,DEM,9,2773,1353
New Fairfield,President,,DEM,0,2195,902
New Hartford,President,,DEM,17,1252,708
New Haven,President,,DEM,128,50262,16935
New London,President,,DEM,28,7445,2537
New Milford,President,,DEM,32,4201,2108
Newington,President,,DEM,85,7501,3374
Newtown,President,,DEM,35,4755,2584
Norfolk,President,,DEM,3,428,273
North Branford,President,,DEM,18,2189,1005
North Canaan,President,,DEM,3,540,289
North Haven,President,,DEM,27,3999,2112
North Stonington,President,,DEM,6,977,483
Norwalk,President,,DEM,60,17750,7518
Norwich,President,,DEM,47,6574,2904
Old Lyme,President,,DEM,14,1643,924
Old Saybrook,President,,DEM,8,2261,1240
Orange,President,,DEM,15,2574,1225
Oxford,President,,DEM,8,1495,718
Plainfield,President,,DEM,36,3055,1026
Plainville,President,,DEM,49,2808,1582
Plymouth,President,,DEM,23,1909,722
Pomfret,President,,DEM,5,800,483
Portland,President,,DEM,25,2047,1058
Preston,President,,DEM,8,766,343
Prospect,President,,DEM,12,1357,622
Putnam,President,,DEM,21,1780,650
Redding,President,,DEM,5,2198,1188
Ridgefield,President,,DEM,24,4924,2635
Rocky Hill,President,,DEM,40,4398,1965
Roxbury,President,,DEM,1,530,298
Salem,President,,DEM,8,817,436
Salisbury,President,,DEM,2,1157,772
Scotland,President,,DEM,7,332,151
Seymour,President,,DEM,21,2330,1022
Sharon,President,,DEM,2,616,375
Shelton,President,,DEM,81,5600,2631
Sherman,President,,DEM,4,658,327
Simsbury,President,,DEM,21,5200,2782
Somers,President,,DEM,13,1260,563
South Windsor,President,,DEM,51,5751,2835
Southbury,President,,DEM,21,3234,1815
Southington,President,,DEM,93,7736,3526
Sprague,President,,DEM,9,624,285
Stafford,President,,DEM,34,2712,1076
Stamford,President,,DEM,157,24920,11462
Sterling,President,,DEM,4,481,177
Stonington,President,,DEM,25,4336,2220
Stratford,President,,DEM,70,10897,4626
Suffield,President,,DEM,19,2327,1204
Thomaston,President,,DEM,18,1063,490
Thompson,President,,DEM,25,1681,667
Tolland,President,,DEM,19,2654,1420
Torrington,President,,DEM,58,6057,2211
Trumbull,President,,DEM,30,6576,2924
Union,President,,DEM,2,137,83
Vernon,President,,DEM,46,4788,2434
Voluntown,President,,DEM,12,410,204
Wallingford,President,,DEM,52,6731,3445
Warren,President,,DEM,0,242,145
Washington,President,,DEM,4,818,493
Waterbury,President,,DEM,171,27070,5843
Waterford,President,,DEM,25,4092,1928
Watertown,President,,DEM,48,3608,1362
West Hartford,President,,DEM,100,26018,10125
West Haven,President,,DEM,120,14856,4964
Westbrook,President,,DEM,11,1015,614
Weston,President,,DEM,8,2239,1346
Westport,President,,DEM,30,6227,3786
Wethersfield,President,,DEM,51,6292,3116
Will ington,President,,DEM,6,1079,647
Wilton,President,,DEM,15,3215,1859
Winchester,President,,DEM,11,1575,720
Windham,President,,DEM,37,4190,1953
Windsor,President,,DEM,47,9694,4493
Windsor Locks,President,,DEM,30,2464,1029
Wolcott,President,,DEM,29,2659,931
Woodbridge,President,,DEM,13,2473,1453
Woodbury,President,,DEM,11,1704,1004
Woodstock,President,,DEM,10,1439,812
,President,,DEM,4871,762085,328624
Andover,President,,REP,,552,296
Ansonia,President,,REP,,1414,727
Ashford,President,,REP,,533,295
Avon,President,,REP,,3943,2113
Barkhamsted,President,,REP,,793,449
Beacon Falls,President,,REP,,1006,518
Berlin,President,,REP,,3305,1909
Bethany,President,,REP,,1109,597
Bethel,President,,REP,,3205,1611
Bethlehem,President,,REP,,829,493
Bloomfield,President,,REP,,1399,713
Bolton,President,,REP,,947,536
Bozrah,President,,REP,,337,182
Branford,President,,REP,,3292,1696
Bridgeport,President,,REP,,3777,1221
Bridgewater,President,,REP,,422,256
Bristol,President,,REP,,3605,3087
Brookfield,President,,REP,,3605,1826
Brooklyn,President,,REP,,1095,502
Burlington,President,,REP,,1703,925
Canaan,President,,REP,,197,97
Canterbury,President,,REP,,1019,533
Canton,President,,REP,,2226,1132
Chaplin,President,,REP,,435,204
Cheshire,President,,REP,,4520,2412
Chester,President,,REP,,512,268
Clinton,President,,REP,,2306,1160
Colchester,President,,REP,,2435,1218
Colebrook,President,,REP,,280,144
Columbia,President,,REP,,898,504
Cornwall,President,,REP,,196,108
Coventry,President,,REP,,1725,889
Cromwell,President,,REP,,2140,1108
Danbury,President,,REP,,13263,3190
Darien,President,,REP,,6156,2576
Deep River,President,,REP,,655,305
Derby,President,,REP,,933,474
Durham,President,,REP,,1499,814
East Granby,President,,REP,,1026,563
East Haddam,President,,REP,,1478,810
East Hampton,President,,REP,,1811,1008
East Hartford,President,,REP,,2668,1186
East Haven,President,,REP,,2975,1285
East Lyme,President,,REP,,2781,1582
East Windsor,President,,REP,,1520,641
Eastford,President,,REP,,421,210
Easton,President,,REP,,1704,874
Ellington,President,,REP,,2561,1302
Enfield,President,,REP,,4813,2403
Essex,President,,REP,,1399,793
Fairfield,President,,REP,,11031,5361
Farmington,President,,REP,,4408,2235
Franklin,President,,REP,,321,173
Glastonbury,President,,REP,,6247,3238
Goshen,President,,REP,,773,416
Granby,President,,REP,,2388,1382
Greenwich,President,,REP,,12502,6253
Griswold,President,,REP,,1468,737
Groton,President,,REP,,3579,1831
Guilford,President,,REP,,3360,1848
Haddam,President,,REP,,1391,803
Hamden,President,,REP,,3758,2167
Hampton,President,,REP,,337,180
Hartford,President,,REP,,1884,544
Hartland,President,,REP,,625,340
Harwinton,President,,REP,,1250,678
Hebron,President,,REP,,1710,876
Kent,President,,REP,,443,261
Killingly,President,,REP,,1736,722
Killingworth,President,,REP,,1380,779
Lebanon,President,,REP,,1188,694
Ledyard,President,,REP,,2273,1235
Lisbon,President,,REP,,573,312
Litchfield,President,,REP,,1846,1008
Lyme,President,,REP,,532,308
Madison,President,,REP,,3885,2035
Manchester,President,,REP,,4965,2574
Mansfield,President,,REP,,1570,686
Marlborough,President,,REP,,1122,623
Meriden,President,,REP,,4268,1909
Middlebury,President,,REP,,2332,1180
Middlefield,President,,REP,,683,337
Middletown,President,,REP,,3762,1822
Milford,President,,REP,,7641,3624
Monroe,President,,REP,,3390,1795
Montville,President,,REP,,1826,971
Morris,President,,REP,,675,316
Naugatuck,President,,REP,,3449,1732
New Britain,President,,REP,,2957,1399
New Canaan,President,,REP,,6554,2855
New Fairfield,President,,REP,,3104,1307
New Hartford,President,,REP,,1443,832
New Haven,President,,REP,,2590,1121
New London,President,,REP,,1401,481
New Milford,President,,REP,,4451,2128
Newington,President,,REP,,3329,1728
Newtown,President,,REP,,5395,2918
Norfolk,President,,REP,,218,131
North Branford,President,,REP,,2072,1052
North Canaan,President,,REP,,568,252
North Haven,President,,REP,,4045,2050
North Stonington,President,,REP,,1119,552
Norwalk,President,,REP,,9240,3856
Norwich,President,,REP,,2534,1228
Old Lyme,President,,REP,,1663,903
Old Saybrook,President,,REP,,2392,1196
Orange,President,,REP,,2581,1270
Oxford,President,,REP,,2821,1460
Plainfield,President,,REP,,1643,703
Plainville,President,,REP,,2183,1112
Plymouth,President,,REP,,1774,897
Pomfret,President,,REP,,669,340
Portland,President,,REP,,1292,706
Preston,President,,REP,,833,414
Prospect,President,,REP,,1987,1059
Putnam,President,,REP,,977,378
Redding,President,,REP,,2147,1001
Ridgefield,President,,REP,,6013,2664
Rocky Hill,President,,REP,,2417,1247
Roxbury,President,,REP,,508,288
Salem,President,,REP,,640,361
Salisbury,President,,REP,,567,275
Scotland,President,,REP,,284,137
Seymour,President,,REP,,2286,1120
Sharon,President,,REP,,473,231
Shelton,President,,REP,,6558,3579
Sherman,President,,REP,,853,413
Simsbury,President,,REP,,5249,2740
Somers,President,,REP,,1863,1061
South Windsor,President,,REP,,3611,1865
Southbury,President,,REP,,4486,2454
Southington,President,,REP,,6431,3543
Sprague,President,,REP,,351,213
Stafford,President,,REP,,1484,728
Stamford,President,,REP,,12902,6039
Sterling,President,,REP,,505,232
Stonington,President,,REP,,2891,1373
Stratford,President,,REP,,6223,2910
Suffield,President,,REP,,2504,1308
Thomaston,President,,REP,,1241,662
Thompson,President,,REP,,1154,556
Tolland,President,,REP,,2349,1243
Torrington,President,,REP,,4682,2069
Trumbull,President,,REP,,6532,3233
Union,President,,REP,,221,125
Vernon,President,,REP,,2892,1585
Voluntown,President,,REP,,361,224
Wallingford,President,,REP,,5089,2619
Warren,President,,REP,,355,196
Washington,President,,REP,,743,361
Waterbury,President,,REP,,7222,2471
Waterford,President,,REP,,2776,1376
Watertown,President,,REP,,3989,2059
West Hartford,President,,REP,,26018,3371
West Haven,President,,REP,,2655,1292
Westbrook,President,,REP,,1247,680
Weston,President,,REP,,1857,977
Westport,President,,REP,,4544,2378
Wethersfield,President,,REP,,3533,1999
Will ington,President,,REP,,775,431
Wilton,President,,REP,,4228,2109
Winchester,President,,REP,,1393,660
Windham,President,,REP,,1281,600
Windsor,President,,REP,,2917,1440
Windsor Locks,President,,REP,,1385,696
Wolcott,President,,REP,,2975,1384
Woodbridge,President,,REP,,1434,746
Woodbury,President,,REP,,2491,1434
Woodstock,President,,REP,,1631,831
,President,,REP,,453045,213647
