candidate,party,office,district,town,votes,precinct
Dean Phillips,Democratic Party,President,,New Haven,0,Ross Woodward
Dean Phillips,Democratic Party,President,,New Haven,1,Ross Woodward
Cenk Uygur,Democratic Party,President,,New Haven,0,Ross Woodward
Cenk Uygur,Democratic Party,President,,New Haven,0,Ross Woodward
Joe Biden,Democratic Party,President,,New Haven,7,Ross Woodward
Joe Biden,Democratic Party,President,,New Haven,44,Ross Woodward
Uncommitted,Democratic Party,President,,New Haven,0,Ross Woodward
Uncommitted,Democratic Party,President,,New Haven,12,Ross Woodward
Marianne Williamson,Democratic Party,President,,New Haven,1,The Shack
Dean Phillips,Democratic Party,President,,New Haven,0,The Shack
Cenk Uygur,Democratic Party,President,,New Haven,0,The Shack
Joe Biden,Democratic Party,President,,New Haven,50,The Shack
Uncommitted,Democratic Party,President,,New Haven,4,The Shack
Marianne Williamson,Democratic Party,President,,New Haven,3,Troup Academy
Dean Phillips,Democratic Party,President,,New Haven,1,Troup Academy
Cenk Uygur,Democratic Party,President,,New Haven,1,Troup Academy
Joe Biden,Democratic Party,President,,New Haven,42,Troup Academy
Uncommitted,Democratic Party,President,,New Haven,17,Troup Academy
Marianne Williamson,Democratic Party,President,,New Haven,0,Troup Academy 3
Dean Phillips,Democratic Party,President,,New Haven,0,Troup Academy 3
Cenk Uygur,Democratic Party,President,,New Haven,1,Troup Academy 3
Joe Biden,Democratic Party,President,,New Haven,35,Troup Academy 3
Uncommitted,Democratic Party,President,,New Haven,5,Troup Academy 3
Marianne Williamson,Democratic Party,President,,New Haven,2,Truman School
Dean Phillips,Democratic Party,President,,New Haven,0,Truman School
Cenk Uygur,Democratic Party,President,,New Haven,0,Truman School
Joe Biden,Democratic Party,President,,New Haven,35,Truman School
Uncommitted,Democratic Party,President,,New Haven,4,Truman School
Marianne Williamson,Democratic Party,President,,New Haven,0,Wexler Grant School
Marianne Williamson,Democratic Party,President,,New Haven,1,Wexler Grant School
Dean Phillips,Democratic Party,President,,New Haven,0,Wexler Grant School
Dean Phillips,Democratic Party,President,,New Haven,1,Wexler Grant School
Cenk Uygur,Democratic Party,President,,New Haven,0,Wexler Grant School
Cenk Uygur,Democratic Party,President,,New Haven,0,Wexler Grant School
Joe Biden,Democratic Party,President,,New Haven,19,Wexler Grant School
Joe Biden,Democratic Party,President,,New Haven,40,Wexler Grant School
Uncommitted,Democratic Party,President,,New Haven,4,Wexler Grant School
Uncommitted,Democratic Party,President,,New Haven,11,Wexler Grant School
Marianne Williamson,Democratic Party,President,,New Haven,7,Wilbur Cross High School - Federal
Dean Phillips,Democratic Party,President,,New Haven,0,Wilbur Cross High School - Federal
Cenk Uygur,Democratic Party,President,,New Haven,0,Wilbur Cross High School - Federal
Joe Biden,Democratic Party,President,,New Haven,191,Wilbur Cross High School - Federal
Uncommitted,Democratic Party,President,,New Haven,94,Wilbur Cross High School - Federal
Marianne Williamson,Democratic Party,President,,Newington,3,District 1 Mortensen Community Center
Dean Phillips,Democratic Party,President,,Newington,4,District 1 Mortensen Community Center
Cenk Uygur,Democratic Party,President,,Newington,0,District 1 Mortensen Community Center
Joe Biden,Democratic Party,President,,Newington,101,District 1 Mortensen Community Center
Uncommitted,Democratic Party,President,,Newington,12,District 1 Mortensen Community Center
Marianne Williamson,Democratic Party,President,,Newington,2,District 2 Ruth Chaffee Elementary School
Dean Phillips,Democratic Party,President,,Newington,0,District 2 Ruth Chaffee Elementary School
Cenk Uygur,Democratic Party,President,,Newington,0,District 2 Ruth Chaffee Elementary School
Joe Biden,Democratic Party,President,,Newington,94,District 2 Ruth Chaffee Elementary School
Uncommitted,Democratic Party,President,,Newington,17,District 2 Ruth Chaffee Elementary School
Marianne Williamson,Democratic Party,President,,Newington,0,District 3 Anna Reynolds
Dean Phillips,Democratic Party,President,,Newington,0,District 3 Anna Reynolds
Cenk Uygur,Democratic Party,President,,Newington,0,District 3 Anna Reynolds
Joe Biden,Democratic Party,President,,Newington,50,District 3 Anna Reynolds
Uncommitted,Democratic Party,President,,Newington,5,District 3 Anna Reynolds
Marianne Williamson,Democratic Party,President,,Newington,3,District 4 Elizabeth Green Elementary School
Dean Phillips,Democratic Party,President,,Newington,0,District 4 Elizabeth Green Elementary School
Cenk Uygur,Democratic Party,President,,Newington,1,District 4 Elizabeth Green Elementary School
Joe Biden,Democratic Party,President,,Newington,48,District 4 Elizabeth Green Elementary School
Uncommitted,Democratic Party,President,,Newington,10,District 4 Elizabeth Green Elementary School
Marianne Williamson,Democratic Party,President,,Newington,3,District 5 John Paterson Elementary School
Dean Phillips,Democratic Party,President,,Newington,2,District 5 John Paterson Elementary School
Cenk Uygur,Democratic Party,President,,Newington,0,District 5 John Paterson Elementary School
Joe Biden,Democratic Party,President,,Newington,53,District 5 John Paterson Elementary School
Uncommitted,Democratic Party,President,,Newington,19,District 5 John Paterson Elementary School
Marianne Williamson,Democratic Party,President,,Newington,5,District 6 John Wallace Middle School
Dean Phillips,Democratic Party,President,,Newington,0,District 6 John Wallace Middle School
Cenk Uygur,Democratic Party,President,,Newington,1,District 6 John Wallace Middle School
Joe Biden,Democratic Party,President,,Newington,107,District 6 John Wallace Middle School
Uncommitted,Democratic Party,President,,Newington,9,District 6 John Wallace Middle School
Marianne Williamson,Democratic Party,President,,Newington,2,District 7 Martin Kellogg Middle School
Dean Phillips,Democratic Party,President,,Newington,1,District 7 Martin Kellogg Middle School
Cenk Uygur,Democratic Party,President,,Newington,0,District 7 Martin Kellogg Middle School
Joe Biden,Democratic Party,President,,Newington,63,District 7 Martin Kellogg Middle School
Uncommitted,Democratic Party,President,,Newington,13,District 7 Martin Kellogg Middle School
Marianne Williamson,Democratic Party,President,,New London,4,Harbor School
Dean Phillips,Democratic Party,President,,New London,0,Harbor School
Cenk Uygur,Democratic Party,President,,New London,3,Harbor School
Joe Biden,Democratic Party,President,,New London,80,Harbor School
Uncommitted,Democratic Party,President,,New London,25,Harbor School
Marianne Williamson,Democratic Party,President,,New London,5,Nathan Hale School
Dean Phillips,Democratic Party,President,,New London,1,Nathan Hale School
Cenk Uygur,Democratic Party,President,,New London,0,Nathan Hale School
Joe Biden,Democratic Party,President,,New London,103,Nathan Hale School
Uncommitted,Democratic Party,President,,New London,26,Nathan Hale School
Marianne Williamson,Democratic Party,President,,New London,2,New London Stm High School
Dean Phillips,Democratic Party,President,,New London,0,New London Stm High School
Cenk Uygur,Democratic Party,President,,New London,0,New London Stm High School
Joe Biden,Democratic Party,President,,New London,72,New London Stm High School
Uncommitted,Democratic Party,President,,New London,8,New London Stm High School
Marianne Williamson,Democratic Party,President,,New Milford,0,Gaylordsville Fire House
Dean Phillips,Democratic Party,President,,New Milford,1,Gaylordsville Fire House
Cenk Uygur,Democratic Party,President,,New Milford,0,Gaylordsville Fire House
Joe Biden,Democratic Party,President,,New Milford,16,Gaylordsville Fire House
Uncommitted,Democratic Party,President,,New Milford,0,Gaylordsville Fire House
Marianne Williamson,Democratic Party,President,,New Milford,3,Hill & Plain School
Dean Phillips,Democratic Party,President,,New Milford,0,Hill & Plain School
Cenk Uygur,Democratic Party,President,,New Milford,2,Hill & Plain School
Joe Biden,Democratic Party,President,,New Milford,63,Hill & Plain School
Uncommitted,Democratic Party,President,,New Milford,7,Hill & Plain School
Marianne Williamson,Democratic Party,President,,New Milford,4,Northville School
Dean Phillips,Democratic Party,President,,New Milford,0,Northville School
Cenk Uygur,Democratic Party,President,,New Milford,0,Northville School
Joe Biden,Democratic Party,President,,New Milford,75,Northville School
Uncommitted,Democratic Party,President,,New Milford,11,Northville School
Marianne Williamson,Democratic Party,President,,New Milford,2,Odd Fellows Lodge
Dean Phillips,Democratic Party,President,,New Milford,0,Odd Fellows Lodge
Cenk Uygur,Democratic Party,President,,New Milford,0,Odd Fellows Lodge
Joe Biden,Democratic Party,President,,New Milford,46,Odd Fellows Lodge
Uncommitted,Democratic Party,President,,New Milford,6,Odd Fellows Lodge
Marianne Williamson,Democratic Party,President,,New Milford,3,Sarah Noble Intermediate School
Dean Phillips,Democratic Party,President,,New Milford,1,Sarah Noble Intermediate School
Cenk Uygur,Democratic Party,President,,New Milford,1,Sarah Noble Intermediate School
Joe Biden,Democratic Party,President,,New Milford,40,Sarah Noble Intermediate School
Uncommitted,Democratic Party,President,,New Milford,6,Sarah Noble Intermediate School
Marianne Williamson,Democratic Party,President,,New Milford,2,Schaghticoke School
Dean Phillips,Democratic Party,President,,New Milford,0,Schaghticoke School
Cenk Uygur,Democratic Party,President,,New Milford,1,Schaghticoke School
Joe Biden,Democratic Party,President,,New Milford,70,Schaghticoke School
Uncommitted,Democratic Party,President,,New Milford,4,Schaghticoke School
Marianne Williamson,Democratic Party,President,,New Milford,5,Senior Center
Dean Phillips,Democratic Party,President,,New Milford,1,Senior Center
Cenk Uygur,Democratic Party,President,,New Milford,0,Senior Center
Joe Biden,Democratic Party,President,,New Milford,87,Senior Center
Uncommitted,Democratic Party,President,,New Milford,13,Senior Center
Marianne Williamson,Democratic Party,President,,New Milford,1,Walnut Hill Gymnasium
Dean Phillips,Democratic Party,President,,New Milford,0,Walnut Hill Gymnasium
Cenk Uygur,Democratic Party,President,,New Milford,2,Walnut Hill Gymnasium
Joe Biden,Democratic Party,President,,New Milford,47,Walnut Hill Gymnasium
Uncommitted,Democratic Party,President,,New Milford,3,Walnut Hill Gymnasium
Marianne Williamson,Democratic Party,President,,Newtown,2,Middle School Gym A
Dean Phillips,Democratic Party,President,,Newtown,1,Middle School Gym A
Cenk Uygur,Democratic Party,President,,Newtown,0,Middle School Gym A
Joe Biden,Democratic Party,President,,Newtown,50,Middle School Gym A
Uncommitted,Democratic Party,President,,Newtown,2,Middle School Gym A
Marianne Williamson,Democratic Party,President,,Newtown,5,Newtown High School
Dean Phillips,Democratic Party,President,,Newtown,0,Newtown High School
Cenk Uygur,Democratic Party,President,,Newtown,0,Newtown High School
Joe Biden,Democratic Party,President,,Newtown,228,Newtown High School
Uncommitted,Democratic Party,President,,Newtown,24,Newtown High School
Marianne Williamson,Democratic Party,President,,Newtown,3,Newtown Middle School
Dean Phillips,Democratic Party,President,,Newtown,2,Newtown Middle School
Cenk Uygur,Democratic Party,President,,Newtown,0,Newtown Middle School
Joe Biden,Democratic Party,President,,Newtown,195,Newtown Middle School
Uncommitted,Democratic Party,President,,Newtown,22,Newtown Middle School
Marianne Williamson,Democratic Party,President,,Newtown,7,Reed Intermediate School
Dean Phillips,Democratic Party,President,,Newtown,1,Reed Intermediate School
Cenk Uygur,Democratic Party,President,,Newtown,0,Reed Intermediate School
Joe Biden,Democratic Party,President,,Newtown,229,Reed Intermediate School
Uncommitted,Democratic Party,President,,Newtown,25,Reed Intermediate School
Marianne Williamson,Democratic Party,President,,Norfolk,1,Town Hall
Dean Phillips,Democratic Party,President,,Norfolk,0,Town Hall
Cenk Uygur,Democratic Party,President,,Norfolk,0,Town Hall
Joe Biden,Democratic Party,President,,Norfolk,69,Town Hall
Uncommitted,Democratic Party,President,,Norfolk,5,Town Hall
Marianne Williamson,Democratic Party,President,,North Branford,1,Jerome Harrison Elementary School
Dean Phillips,Democratic Party,President,,North Branford,0,Jerome Harrison Elementary School
Cenk Uygur,Democratic Party,President,,North Branford,1,Jerome Harrison Elementary School
Joe Biden,Democratic Party,President,,North Branford,87,Jerome Harrison Elementary School
Uncommitted,Democratic Party,President,,North Branford,6,Jerome Harrison Elementary School
Marianne Williamson,Democratic Party,President,,North Branford,3,Stanley T Williams Community Ctr Board Meeting Rm
Dean Phillips,Democratic Party,President,,North Branford,0,Stanley T Williams Community Ctr Board Meeting Rm
Cenk Uygur,Democratic Party,President,,North Branford,0,Stanley T Williams Community Ctr Board Meeting Rm
Joe Biden,Democratic Party,President,,North Branford,24,Stanley T Williams Community Ctr Board Meeting Rm
Uncommitted,Democratic Party,President,,North Branford,1,Stanley T Williams Community Ctr Board Meeting Rm
Marianne Williamson,Democratic Party,President,,North Branford,0,Stanley T. Williams Community Ctr Gymnasium
Dean Phillips,Democratic Party,President,,North Branford,1,Stanley T. Williams Community Ctr Gymnasium
Cenk Uygur,Democratic Party,President,,North Branford,0,Stanley T. Williams Community Ctr Gymnasium
Joe Biden,Democratic Party,President,,North Branford,28,Stanley T. Williams Community Ctr Gymnasium
Uncommitted,Democratic Party,President,,North Branford,2,Stanley T. Williams Community Ctr Gymnasium
Marianne Williamson,Democratic Party,President,,North Canaan,4,Town Hall - McCarthy Room
Dean Phillips,Democratic Party,President,,North Canaan,1,Town Hall - McCarthy Room
Cenk Uygur,Democratic Party,President,,North Canaan,0,Town Hall - McCarthy Room
Joe Biden,Democratic Party,President,,North Canaan,34,Town Hall - McCarthy Room
Uncommitted,Democratic Party,President,,North Canaan,9,Town Hall - McCarthy Room
Marianne Williamson,Democratic Party,President,,North Haven,0,Clintonville Elementary School
Dean Phillips,Democratic Party,President,,North Haven,0,Clintonville Elementary School
Cenk Uygur,Democratic Party,President,,North Haven,1,Clintonville Elementary School
Joe Biden,Democratic Party,President,,North Haven,51,Clintonville Elementary School
Uncommitted,Democratic Party,President,,North Haven,6,Clintonville Elementary School
Marianne Williamson,Democratic Party,President,,North Haven,0,Green Acres Elementary School
Dean Phillips,Democratic Party,President,,North Haven,0,Green Acres Elementary School
Cenk Uygur,Democratic Party,President,,North Haven,3,Green Acres Elementary School
Joe Biden,Democratic Party,President,,North Haven,49,Green Acres Elementary School
Uncommitted,Democratic Party,President,,North Haven,5,Green Acres Elementary School
Marianne Williamson,Democratic Party,President,,North Haven,1,Montowese Elementary School
Dean Phillips,Democratic Party,President,,North Haven,0,Montowese Elementary School
Cenk Uygur,Democratic Party,President,,North Haven,1,Montowese Elementary School
Joe Biden,Democratic Party,President,,North Haven,74,Montowese Elementary School
Uncommitted,Democratic Party,President,,North Haven,7,Montowese Elementary School
Marianne Williamson,Democratic Party,President,,North Haven,2,Recreation Center
Dean Phillips,Democratic Party,President,,North Haven,0,Recreation Center
Cenk Uygur,Democratic Party,President,,North Haven,1,Recreation Center
Joe Biden,Democratic Party,President,,North Haven,62,Recreation Center
Uncommitted,Democratic Party,President,,North Haven,6,Recreation Center
Marianne Williamson,Democratic Party,President,,North Haven,2,Ridge Road Elementary School
Dean Phillips,Democratic Party,President,,North Haven,0,Ridge Road Elementary School
Cenk Uygur,Democratic Party,President,,North Haven,0,Ridge Road Elementary School
Joe Biden,Democratic Party,President,,North Haven,159,Ridge Road Elementary School
Uncommitted,Democratic Party,President,,North Haven,24,Ridge Road Elementary School
Marianne Williamson,Democratic Party,President,,North Stonington,5,North Stonington Education Center
Dean Phillips,Democratic Party,President,,North Stonington,1,North Stonington Education Center
Cenk Uygur,Democratic Party,President,,North Stonington,2,North Stonington Education Center
Joe Biden,Democratic Party,President,,North Stonington,79,North Stonington Education Center
Uncommitted,Democratic Party,President,,North Stonington,4,North Stonington Education Center
Marianne Williamson,Democratic Party,President,,Norwalk,2,Brookside School
Dean Phillips,Democratic Party,President,,Norwalk,0,Brookside School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Brookside School
Joe Biden,Democratic Party,President,,Norwalk,65,Brookside School
Uncommitted,Democratic Party,President,,Norwalk,7,Brookside School
Marianne Williamson,Democratic Party,President,,Norwalk,0,Columbus School
Dean Phillips,Democratic Party,President,,Norwalk,1,Columbus School
Cenk Uygur,Democratic Party,President,,Norwalk,1,Columbus School
Joe Biden,Democratic Party,President,,Norwalk,63,Columbus School
Uncommitted,Democratic Party,President,,Norwalk,13,Columbus School
Marianne Williamson,Democratic Party,President,,Norwalk,3,Fox Run School
Dean Phillips,Democratic Party,President,,Norwalk,0,Fox Run School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Fox Run School
Joe Biden,Democratic Party,President,,Norwalk,104,Fox Run School
Uncommitted,Democratic Party,President,,Norwalk,13,Fox Run School
Marianne Williamson,Democratic Party,President,,Norwalk,1,Kendall School
Dean Phillips,Democratic Party,President,,Norwalk,0,Kendall School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Kendall School
Joe Biden,Democratic Party,President,,Norwalk,35,Kendall School
Uncommitted,Democratic Party,President,,Norwalk,4,Kendall School
Marianne Williamson,Democratic Party,President,,Norwalk,2,Marvin School
Dean Phillips,Democratic Party,President,,Norwalk,0,Marvin School
Cenk Uygur,Democratic Party,President,,Norwalk,2,Marvin School
Joe Biden,Democratic Party,President,,Norwalk,91,Marvin School
Uncommitted,Democratic Party,President,,Norwalk,22,Marvin School
Marianne Williamson,Democratic Party,President,,Norwalk,1,Nathan Hale Middle School
Dean Phillips,Democratic Party,President,,Norwalk,0,Nathan Hale Middle School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Nathan Hale Middle School
Joe Biden,Democratic Party,President,,Norwalk,84,Nathan Hale Middle School
Uncommitted,Democratic Party,President,,Norwalk,11,Nathan Hale Middle School
Marianne Williamson,Democratic Party,President,,Norwalk,0,Nathaniel Ely School
Dean Phillips,Democratic Party,President,,Norwalk,0,Nathaniel Ely School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Nathaniel Ely School
Joe Biden,Democratic Party,President,,Norwalk,22,Nathaniel Ely School
Uncommitted,Democratic Party,President,,Norwalk,2,Nathaniel Ely School
Marianne Williamson,Democratic Party,President,,Norwalk,0,Norwalk City Hall
Dean Phillips,Democratic Party,President,,Norwalk,0,Norwalk City Hall
Cenk Uygur,Democratic Party,President,,Norwalk,0,Norwalk City Hall
Joe Biden,Democratic Party,President,,Norwalk,0,Norwalk City Hall
Uncommitted,Democratic Party,President,,Norwalk,0,Norwalk City Hall
Marianne Williamson,Democratic Party,President,,Norwalk,1,Norwalk Main Library
Dean Phillips,Democratic Party,President,,Norwalk,0,Norwalk Main Library
Cenk Uygur,Democratic Party,President,,Norwalk,2,Norwalk Main Library
Joe Biden,Democratic Party,President,,Norwalk,56,Norwalk Main Library
Uncommitted,Democratic Party,President,,Norwalk,8,Norwalk Main Library
Marianne Williamson,Democratic Party,President,,Norwalk,2,Ponus Ridge Middle School
Dean Phillips,Democratic Party,President,,Norwalk,0,Ponus Ridge Middle School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Ponus Ridge Middle School
Joe Biden,Democratic Party,President,,Norwalk,114,Ponus Ridge Middle School
Uncommitted,Democratic Party,President,,Norwalk,13,Ponus Ridge Middle School
Marianne Williamson,Democratic Party,President,,Norwalk,0,Rowayton School
Dean Phillips,Democratic Party,President,,Norwalk,0,Rowayton School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Rowayton School
Joe Biden,Democratic Party,President,,Norwalk,59,Rowayton School
Uncommitted,Democratic Party,President,,Norwalk,0,Rowayton School
Marianne Williamson,Democratic Party,President,,Norwalk,3,Tracey School
Dean Phillips,Democratic Party,President,,Norwalk,0,Tracey School
Cenk Uygur,Democratic Party,President,,Norwalk,1,Tracey School
Joe Biden,Democratic Party,President,,Norwalk,71,Tracey School
Uncommitted,Democratic Party,President,,Norwalk,15,Tracey School
Marianne Williamson,Democratic Party,President,,Norwalk,2,West Rocks Middle School
Dean Phillips,Democratic Party,President,,Norwalk,0,West Rocks Middle School
Cenk Uygur,Democratic Party,President,,Norwalk,0,West Rocks Middle School
Joe Biden,Democratic Party,President,,Norwalk,110,West Rocks Middle School
Uncommitted,Democratic Party,President,,Norwalk,15,West Rocks Middle School
Marianne Williamson,Democratic Party,President,,Norwalk,1,Wolfpit School
Dean Phillips,Democratic Party,President,,Norwalk,0,Wolfpit School
Cenk Uygur,Democratic Party,President,,Norwalk,0,Wolfpit School
Joe Biden,Democratic Party,President,,Norwalk,89,Wolfpit School
Uncommitted,Democratic Party,President,,Norwalk,9,Wolfpit School
Marianne Williamson,Democratic Party,President,,Norwich,0,Ahepa-110 Community Room
Dean Phillips,Democratic Party,President,,Norwich,1,Ahepa-110 Community Room
Cenk Uygur,Democratic Party,President,,Norwich,0,Ahepa-110 Community Room
Joe Biden,Democratic Party,President,,Norwich,17,Ahepa-110 Community Room
Uncommitted,Democratic Party,President,,Norwich,6,Ahepa-110 Community Room
Marianne Williamson,Democratic Party,President,,Norwich,1,Beth Jacob Synagogue
Dean Phillips,Democratic Party,President,,Norwich,3,Beth Jacob Synagogue
Cenk Uygur,Democratic Party,President,,Norwich,2,Beth Jacob Synagogue
Joe Biden,Democratic Party,President,,Norwich,62,Beth Jacob Synagogue
Uncommitted,Democratic Party,President,,Norwich,11,Beth Jacob Synagogue
Marianne Williamson,Democratic Party,President,,Norwich,4,Holy Trinity Greek Orthodox Church
Dean Phillips,Democratic Party,President,,Norwich,3,Holy Trinity Greek Orthodox Church
Cenk Uygur,Democratic Party,President,,Norwich,0,Holy Trinity Greek Orthodox Church
Joe Biden,Democratic Party,President,,Norwich,70,Holy Trinity Greek Orthodox Church
Uncommitted,Democratic Party,President,,Norwich,6,Holy Trinity Greek Orthodox Church
Marianne Williamson,Democratic Party,President,,Norwich,0,Norwich Worship Center
Dean Phillips,Democratic Party,President,,Norwich,0,Norwich Worship Center
Cenk Uygur,Democratic Party,President,,Norwich,1,Norwich Worship Center
Joe Biden,Democratic Party,President,,Norwich,84,Norwich Worship Center
Uncommitted,Democratic Party,President,,Norwich,15,Norwich Worship Center
Marianne Williamson,Democratic Party,President,,Norwich,0,Rose City Senior Center
Dean Phillips,Democratic Party,President,,Norwich,2,Rose City Senior Center
Cenk Uygur,Democratic Party,President,,Norwich,2,Rose City Senior Center
Joe Biden,Democratic Party,President,,Norwich,90,Rose City Senior Center
Uncommitted,Democratic Party,President,,Norwich,16,Rose City Senior Center
Marianne Williamson,Democratic Party,President,,Norwich,0,VFW - Norwich Industrial Park
Dean Phillips,Democratic Party,President,,Norwich,0,VFW - Norwich Industrial Park
Cenk Uygur,Democratic Party,President,,Norwich,1,VFW - Norwich Industrial Park
Joe Biden,Democratic Party,President,,Norwich,48,VFW - Norwich Industrial Park
Uncommitted,Democratic Party,President,,Norwich,8,VFW - Norwich Industrial Park
Marianne Williamson,Democratic Party,President,,Old Lyme,3,Lol Middle School Gymnasium
Dean Phillips,Democratic Party,President,,Old Lyme,2,Lol Middle School Gymnasium
Cenk Uygur,Democratic Party,President,,Old Lyme,3,Lol Middle School Gymnasium
Joe Biden,Democratic Party,President,,Old Lyme,254,Lol Middle School Gymnasium
Uncommitted,Democratic Party,President,,Old Lyme,22,Lol Middle School Gymnasium
Marianne Williamson,Democratic Party,President,,Old Saybrook,1,Old Saybrook High School Gymnasium
Dean Phillips,Democratic Party,President,,Old Saybrook,2,Old Saybrook High School Gymnasium
Cenk Uygur,Democratic Party,President,,Old Saybrook,0,Old Saybrook High School Gymnasium
Joe Biden,Democratic Party,President,,Old Saybrook,109,Old Saybrook High School Gymnasium
Uncommitted,Democratic Party,President,,Old Saybrook,6,Old Saybrook High School Gymnasium
Marianne Williamson,Democratic Party,President,,Old Saybrook,0,Old Saybrook Middle School Gymnasium
Dean Phillips,Democratic Party,President,,Old Saybrook,0,Old Saybrook Middle School Gymnasium
Cenk Uygur,Democratic Party,President,,Old Saybrook,0,Old Saybrook Middle School Gymnasium
Joe Biden,Democratic Party,President,,Old Saybrook,125,Old Saybrook Middle School Gymnasium
Uncommitted,Democratic Party,President,,Old Saybrook,4,Old Saybrook Middle School Gymnasium
Marianne Williamson,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Marianne Williamson,Democratic Party,President,,Orange,1,High Plains Community Center - Gym
Marianne Williamson,Democratic Party,President,,Orange,2,High Plains Community Center - Gym
Dean Phillips,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Dean Phillips,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Dean Phillips,Democratic Party,President,,Orange,1,High Plains Community Center - Gym
Cenk Uygur,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Cenk Uygur,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Cenk Uygur,Democratic Party,President,,Orange,0,High Plains Community Center - Gym
Joe Biden,Democratic Party,President,,Orange,41,High Plains Community Center - Gym
Joe Biden,Democratic Party,President,,Orange,63,High Plains Community Center - Gym
Joe Biden,Democratic Party,President,,Orange,121,High Plains Community Center - Gym
Uncommitted,Democratic Party,President,,Orange,5,High Plains Community Center - Gym
Uncommitted,Democratic Party,President,,Orange,8,High Plains Community Center - Gym
Uncommitted,Democratic Party,President,,Orange,10,High Plains Community Center - Gym
Marianne Williamson,Democratic Party,President,,Oxford,4,Quaker Farms School
Dean Phillips,Democratic Party,President,,Oxford,1,Quaker Farms School
Cenk Uygur,Democratic Party,President,,Oxford,1,Quaker Farms School
Joe Biden,Democratic Party,President,,Oxford,112,Quaker Farms School
Uncommitted,Democratic Party,President,,Oxford,12,Quaker Farms School
Marianne Williamson,Democratic Party,President,,Plainfield,0,1 Town Hall
Marianne Williamson,Democratic Party,President,,Plainfield,2,1 Town Hall
Dean Phillips,Democratic Party,President,,Plainfield,1,1 Town Hall
Dean Phillips,Democratic Party,President,,Plainfield,3,1 Town Hall
Cenk Uygur,Democratic Party,President,,Plainfield,0,1 Town Hall
Cenk Uygur,Democratic Party,President,,Plainfield,0,1 Town Hall
Joe Biden,Democratic Party,President,,Plainfield,20,1 Town Hall
Joe Biden,Democratic Party,President,,Plainfield,43,1 Town Hall
Uncommitted,Democratic Party,President,,Plainfield,2,1 Town Hall
Uncommitted,Democratic Party,President,,Plainfield,8,1 Town Hall
Marianne Williamson,Democratic Party,President,,Plainfield,2,3 Moosup Fire Station
Dean Phillips,Democratic Party,President,,Plainfield,3,3 Moosup Fire Station
Cenk Uygur,Democratic Party,President,,Plainfield,0,3 Moosup Fire Station
Joe Biden,Democratic Party,President,,Plainfield,36,3 Moosup Fire Station
Uncommitted,Democratic Party,President,,Plainfield,5,3 Moosup Fire Station
Marianne Williamson,Democratic Party,President,,Plainville,3,Linden Street School
Dean Phillips,Democratic Party,President,,Plainville,1,Linden Street School
Cenk Uygur,Democratic Party,President,,Plainville,1,Linden Street School
Joe Biden,Democratic Party,President,,Plainville,45,Linden Street School
Uncommitted,Democratic Party,President,,Plainville,7,Linden Street School
Marianne Williamson,Democratic Party,President,,Plainville,2,Our Lady Of Mercy Parish Center
Dean Phillips,Democratic Party,President,,Plainville,0,Our Lady Of Mercy Parish Center
Cenk Uygur,Democratic Party,President,,Plainville,0,Our Lady Of Mercy Parish Center
Joe Biden,Democratic Party,President,,Plainville,27,Our Lady Of Mercy Parish Center
Uncommitted,Democratic Party,President,,Plainville,10,Our Lady Of Mercy Parish Center
Marianne Williamson,Democratic Party,President,,Plainville,0,Toffolon School
Dean Phillips,Democratic Party,President,,Plainville,1,Toffolon School
Cenk Uygur,Democratic Party,President,,Plainville,0,Toffolon School
Joe Biden,Democratic Party,President,,Plainville,26,Toffolon School
Uncommitted,Democratic Party,President,,Plainville,11,Toffolon School
Marianne Williamson,Democratic Party,President,,Plainville,1,Wheeler School
Dean Phillips,Democratic Party,President,,Plainville,1,Wheeler School
Cenk Uygur,Democratic Party,President,,Plainville,0,Wheeler School
Joe Biden,Democratic Party,President,,Plainville,49,Wheeler School
Uncommitted,Democratic Party,President,,Plainville,7,Wheeler School
Marianne Williamson,Democratic Party,President,,Plymouth,1,Town Hall
Dean Phillips,Democratic Party,President,,Plymouth,3,Town Hall
Cenk Uygur,Democratic Party,President,,Plymouth,0,Town Hall
Joe Biden,Democratic Party,President,,Plymouth,72,Town Hall
Uncommitted,Democratic Party,President,,Plymouth,16,Town Hall
Marianne Williamson,Democratic Party,President,,Pomfret,2,Pomfret Community School
Dean Phillips,Democratic Party,President,,Pomfret,1,Pomfret Community School
Cenk Uygur,Democratic Party,President,,Pomfret,0,Pomfret Community School
Joe Biden,Democratic Party,President,,Pomfret,102,Pomfret Community School
Uncommitted,Democratic Party,President,,Pomfret,14,Pomfret Community School
Marianne Williamson,Democratic Party,President,,Portland,5,Portland Middle School
