candidate,party,office,district,town,votes,precinct
Ned Lamont,DEM,Governor,,Ansonia,41,Ward 4 Ansonia Middle School
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,45,Ward 4 Ansonia Middle School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,28,Ward 4 Ansonia Middle School
Jorge Cabrera,DEM,State Senate,17,Ansonia,30,Ward 4 Ansonia Middle School
Sean Grace,DEM,State Senate,17,Ansonia,17,Ward 4 Ansonia Middle School
Valerie Horsley,DEM,State Senate,17,Ansonia,27,Ward 4 Ansonia Middle School
Dita Bhargava,DEM,Treasurer,,Ansonia,31,Ward 4 Ansonia Middle School
Shawn Wooden,DEM,Treasurer,,Ansonia,41,Ward 4 Ansonia Middle School
Paul R Doyle,DEM,Attorney General,,Ansonia,16,Ward 4 Ansonia Middle School
Chris Mattei,DEM,Attorney General,,Ansonia,19,Ward 4 Ansonia Middle School
William Tong,DEM,Attorney General,,Ansonia,38,Ward 4 Ansonia Middle School
Joe Ganim,DEM,Governor,,Ansonia,38,Ward 5 Ansonia Middle School
Ned Lamont,DEM,Governor,,Ansonia,61,Ward 5 Ansonia Middle School
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,63,Ward 5 Ansonia Middle School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,38,Ward 5 Ansonia Middle School
Jorge Cabrera,DEM,State Senate,17,Ansonia,39,Ward 5 Ansonia Middle School
Sean Grace,DEM,State Senate,17,Ansonia,28,Ward 5 Ansonia Middle School
Valerie Horsley,DEM,State Senate,17,Ansonia,33,Ward 5 Ansonia Middle School
Dita Bhargava,DEM,Treasurer,,Ansonia,40,Ward 5 Ansonia Middle School
Shawn Wooden,DEM,Treasurer,,Ansonia,58,Ward 5 Ansonia Middle School
Paul R Doyle,DEM,Attorney General,,Ansonia,25,Ward 5 Ansonia Middle School
Chris Mattei,DEM,Attorney General,,Ansonia,27,Ward 5 Ansonia Middle School
William Tong,DEM,Attorney General,,Ansonia,47,Ward 5 Ansonia Middle School
Joe Ganim,DEM,Governor,,Ansonia,41,Ward 6 Prendergast School
Ned Lamont,DEM,Governor,,Ansonia,75,Ward 6 Prendergast School
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,77,Ward 6 Prendergast School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,39,Ward 6 Prendergast School
Jorge Cabrera,DEM,State Senate,17,Ansonia,31,Ward 6 Prendergast School
Sean Grace,DEM,State Senate,17,Ansonia,46,Ward 6 Prendergast School
Valerie Horsley,DEM,State Senate,17,Ansonia,36,Ward 6 Prendergast School
Dita Bhargava,DEM,Treasurer,,Ansonia,52,Ward 6 Prendergast School
Shawn Wooden,DEM,Treasurer,,Ansonia,61,Ward 6 Prendergast School
Paul R Doyle,DEM,Attorney General,,Ansonia,14,Ward 6 Prendergast School
Chris Mattei,DEM,Attorney General,,Ansonia,38,Ward 6 Prendergast School
William Tong,DEM,Attorney General,,Ansonia,63,Ward 6 Prendergast School
Joe Ganim,DEM,Governor,,Ansonia,74,Ward 7 Mead School
Ned Lamont,DEM,Governor,,Ansonia,117,Ward 7 Mead School
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,123,Ward 7 Mead School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,66,Ward 7 Mead School
Jorge Cabrera,DEM,State Senate,17,Ansonia,60,Ward 7 Mead School
Sean Grace,DEM,State Senate,17,Ansonia,61,Ward 7 Mead School
Valerie Horsley,DEM,State Senate,17,Ansonia,70,Ward 7 Mead School
Dita Bhargava,DEM,Treasurer,,Ansonia,75,Ward 7 Mead School
Shawn Wooden,DEM,Treasurer,,Ansonia,108,Ward 7 Mead School
Paul R Doyle,DEM,Attorney General,,Ansonia,37,Ward 7 Mead School
Chris Mattei,DEM,Attorney General,,Ansonia,89,Ward 7 Mead School
William Tong,DEM,Attorney General,,Ansonia,63,Ward 7 Mead School
Joe Ganim,DEM,Governor,,Ashford,45,Knowlton Memorial Hall
Ned Lamont,DEM,Governor,,Ashford,344,Knowlton Memorial Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Ashford,247,Knowlton Memorial Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ashford,142,Knowlton Memorial Hall
Dita Bhargava,DEM,Treasurer,,Ashford,173,Knowlton Memorial Hall
Shawn Wooden,DEM,Treasurer,,Ashford,208,Knowlton Memorial Hall
Paul R Doyle,DEM,Attorney General,,Ashford,35,Knowlton Memorial Hall
Chris Mattei,DEM,Attorney General,,Ashford,96,Knowlton Memorial Hall
William Tong,DEM,Attorney General,,Ashford,251,Knowlton Memorial Hall
Joe Ganim,DEM,Governor,,Avon,46,Avon High School - Gymnasium
Ned Lamont,DEM,Governor,,Avon,516,Avon High School - Gymnasium
Susan Bysiewicz,DEM,Lieutenant Governor,,Avon,375,Avon High School - Gymnasium
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Avon,187,Avon High School - Gymnasium
Mary Messina Glassman,DEM,U.S. House,5,Avon,341,Avon High School - Gymnasium
Jahana Hayes,DEM,U.S. House,5,Avon,224,Avon High School - Gymnasium
Dita Bhargava,DEM,Treasurer,,Avon,260,Avon High School - Gymnasium
Shawn Wooden,DEM,Treasurer,,Avon,282,Avon High School - Gymnasium
Paul R Doyle,DEM,Attorney General,,Avon,54,Avon High School - Gymnasium
Chris Mattei,DEM,Attorney General,,Avon,151,Avon High School - Gymnasium
William Tong,DEM,Attorney General,,Avon,348,Avon High School - Gymnasium
Joe Ganim,DEM,Governor,,Avon,35,Firehouse Company #1
Ned Lamont,DEM,Governor,,Avon,412,Firehouse Company #1
Susan Bysiewicz,DEM,Lieutenant Governor,,Avon,301,Firehouse Company #1
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Avon,151,Firehouse Company #1
Mary Messina Glassman,DEM,U.S. House,5,Avon,274,Firehouse Company #1
Jahana Hayes,DEM,U.S. House,5,Avon,177,Firehouse Company #1
Dita Bhargava,DEM,Treasurer,,Avon,162,Firehouse Company #1
Shawn Wooden,DEM,Treasurer,,Avon,278,Firehouse Company #1
Paul R Doyle,DEM,Attorney General,,Avon,40,Firehouse Company #1
Chris Mattei,DEM,Attorney General,,Avon,116,Firehouse Company #1
William Tong,DEM,Attorney General,,Avon,287,Firehouse Company #1
Joe Ganim,DEM,Governor,,Avon,23,Roaring Brook School
Ned Lamont,DEM,Governor,,Avon,402,Roaring Brook School
Susan Bysiewicz,DEM,Lieutenant Governor,,Avon,267,Roaring Brook School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Avon,150,Roaring Brook School
Mary Messina Glassman,DEM,U.S. House,5,Avon,229,Roaring Brook School
Jahana Hayes,DEM,U.S. House,5,Avon,199,Roaring Brook School
Dita Bhargava,DEM,Treasurer,,Avon,199,Roaring Brook School
Shawn Wooden,DEM,Treasurer,,Avon,208,Roaring Brook School
Paul R Doyle,DEM,Attorney General,,Avon,34,Roaring Brook School
Chris Mattei,DEM,Attorney General,,Avon,111,Roaring Brook School
William Tong,DEM,Attorney General,,Avon,271,Roaring Brook School
Joe Ganim,DEM,Governor,,Barkhamsted,19,Barkhamsted Elementary School
Ned Lamont,DEM,Governor,,Barkhamsted,179,Barkhamsted Elementary School
Susan Bysiewicz,DEM,Lieutenant Governor,,Barkhamsted,137,Barkhamsted Elementary School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Barkhamsted,65,Barkhamsted Elementary School
Dita Bhargava,DEM,Treasurer,,Barkhamsted,89,Barkhamsted Elementary School
Shawn Wooden,DEM,Treasurer,,Barkhamsted,105,Barkhamsted Elementary School
Paul R Doyle,DEM,Attorney General,,Barkhamsted,19,Barkhamsted Elementary School
Chris Mattei,DEM,Attorney General,,Barkhamsted,61,Barkhamsted Elementary School
William Tong,DEM,Attorney General,,Barkhamsted,120,Barkhamsted Elementary School
Joe Ganim,DEM,Governor,,Beacon Falls,88,Laurel Ledge School
Ned Lamont,DEM,Governor,,Beacon Falls,255,Laurel Ledge School
Susan Bysiewicz,DEM,Lieutenant Governor,,Beacon Falls,244,Laurel Ledge School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Beacon Falls,96,Laurel Ledge School
Jorge Cabrera,DEM,State Senate,17,Beacon Falls,76,Laurel Ledge School
Sean Grace,DEM,State Senate,17,Beacon Falls,200,Laurel Ledge School
Valerie Horsley,DEM,State Senate,17,Beacon Falls,65,Laurel Ledge School
Dita Bhargava,DEM,Treasurer,,Beacon Falls,134,Laurel Ledge School
Shawn Wooden,DEM,Treasurer,,Beacon Falls,195,Laurel Ledge School
Paul R Doyle,DEM,Attorney General,,Beacon Falls,50,Laurel Ledge School
Chris Mattei,DEM,Attorney General,,Beacon Falls,102,Laurel Ledge School
William Tong,DEM,Attorney General,,Beacon Falls,185,Laurel Ledge School
Joe Ganim,DEM,Governor,,Berlin,67,American Legion
Ned Lamont,DEM,Governor,,Berlin,279,American Legion
Susan Bysiewicz,DEM,Lieutenant Governor,,Berlin,247,American Legion
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Berlin,98,American Legion
Dita Bhargava,DEM,Treasurer,,Berlin,137,American Legion
Shawn Wooden,DEM,Treasurer,,Berlin,201,American Legion
Paul R Doyle,DEM,Attorney General,,Berlin,68,American Legion
Chris Mattei,DEM,Attorney General,,Berlin,54,American Legion
William Tong,DEM,Attorney General,,Berlin,214,American Legion
Joe Ganim,DEM,Governor,,Berlin,65,Griswold School
Ned Lamont,DEM,Governor,,Berlin,314,Griswold School
Susan Bysiewicz,DEM,Lieutenant Governor,,Berlin,257,Griswold School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Berlin,122,Griswold School
Dita Bhargava,DEM,Treasurer,,Berlin,152,Griswold School
Shawn Wooden,DEM,Treasurer,,Berlin,203,Griswold School
Paul R Doyle,DEM,Attorney General,,Berlin,76,Griswold School
Chris Mattei,DEM,Attorney General,,Berlin,109,Griswold School
William Tong,DEM,Attorney General,,Berlin,187,Griswold School
Joe Ganim,DEM,Governor,,Berlin,52,Hubbard School
Ned Lamont,DEM,Governor,,Berlin,219,Hubbard School
Susan Bysiewicz,DEM,Lieutenant Governor,,Berlin,180,Hubbard School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Berlin,90,Hubbard School
Dita Bhargava,DEM,Treasurer,,Berlin,107,Hubbard School
Shawn Wooden,DEM,Treasurer,,Berlin,158,Hubbard School
Paul R Doyle,DEM,Attorney General,,Berlin,60,Hubbard School
Chris Mattei,DEM,Attorney General,,Berlin,64,Hubbard School
William Tong,DEM,Attorney General,,Berlin,145,Hubbard School
Joe Ganim,DEM,Governor,,Berlin,43,Senior Center
Ned Lamont,DEM,Governor,,Berlin,173,Senior Center
Susan Bysiewicz,DEM,Lieutenant Governor,,Berlin,143,Senior Center
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Berlin,68,Senior Center
Dita Bhargava,DEM,Treasurer,,Berlin,90,Senior Center
Shawn Wooden,DEM,Treasurer,,Berlin,114,Senior Center
Paul R Doyle,DEM,Attorney General,,Berlin,32,Senior Center
Chris Mattei,DEM,Attorney General,,Berlin,62,Senior Center
William Tong,DEM,Attorney General,,Berlin,119,Senior Center
Joe Ganim,DEM,Governor,,Berlin,20,Willard School
Ned Lamont,DEM,Governor,,Berlin,122,Willard School
Susan Bysiewicz,DEM,Lieutenant Governor,,Berlin,96,Willard School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Berlin,49,Willard School
Dita Bhargava,DEM,Treasurer,,Berlin,53,Willard School
Shawn Wooden,DEM,Treasurer,,Berlin,83,Willard School
Paul R Doyle,DEM,Attorney General,,Berlin,28,Willard School
Chris Mattei,DEM,Attorney General,,Berlin,27,Willard School
William Tong,DEM,Attorney General,,Berlin,85,Willard School
Joe Ganim,DEM,Governor,,Bethany,61,Town Hall
Ned Lamont,DEM,Governor,,Bethany,409,Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethany,299,Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethany,171,Town Hall
Jorge Cabrera,DEM,State Senate,17,Bethany,248,Town Hall
Sean Grace,DEM,State Senate,17,Bethany,63,Town Hall
Valerie Horsley,DEM,State Senate,17,Bethany,155,Town Hall
Dita Bhargava,DEM,Treasurer,,Bethany,209,Town Hall
Shawn Wooden,DEM,Treasurer,,Bethany,251,Town Hall
Paul R Doyle,DEM,Attorney General,,Bethany,22,Town Hall
Chris Mattei,DEM,Attorney General,,Bethany,141,Town Hall
William Tong,DEM,Attorney General,,Bethany,293,Town Hall
Joe Ganim,DEM,Governor,,Bethel,32,Bethel Municipal Center 1
Ned Lamont,DEM,Governor,,Bethel,124,Bethel Municipal Center 1
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethel,91,Bethel Municipal Center 1
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethel,59,Bethel Municipal Center 1
Mary Messina Glassman,DEM,U.S. House,5,Bethel,47,Bethel Municipal Center 1
Jahana Hayes,DEM,U.S. House,5,Bethel,107,Bethel Municipal Center 1
Dita Bhargava,DEM,Treasurer,,Bethel,87,Bethel Municipal Center 1
Shawn Wooden,DEM,Treasurer,,Bethel,61,Bethel Municipal Center 1
Paul R Doyle,DEM,Attorney General,,Bethel,12,Bethel Municipal Center 1
Chris Mattei,DEM,Attorney General,,Bethel,45,Bethel Municipal Center 1
William Tong,DEM,Attorney General,,Bethel,94,Bethel Municipal Center 1
Joe Ganim,DEM,Governor,,Bethel,46,Bethel Municipal Center 4
Ned Lamont,DEM,Governor,,Bethel,231,Bethel Municipal Center 4
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethel,162,Bethel Municipal Center 4
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethel,109,Bethel Municipal Center 4
Mary Messina Glassman,DEM,U.S. House,5,Bethel,94,Bethel Municipal Center 4
Jahana Hayes,DEM,U.S. House,5,Bethel,178,Bethel Municipal Center 4
Dita Bhargava,DEM,Treasurer,,Bethel,145,Bethel Municipal Center 4
Shawn Wooden,DEM,Treasurer,,Bethel,124,Bethel Municipal Center 4
Paul R Doyle,DEM,Attorney General,,Bethel,29,Bethel Municipal Center 4
Chris Mattei,DEM,Attorney General,,Bethel,71,Bethel Municipal Center 4
William Tong,DEM,Attorney General,,Bethel,168,Bethel Municipal Center 4
Joe Ganim,DEM,Governor,,Bethel,47,Frank A. Berry School - 3
Ned Lamont,DEM,Governor,,Bethel,319,Frank A. Berry School - 3
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethel,250,Frank A. Berry School - 3
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethel,114,Frank A. Berry School - 3
Mary Messina Glassman,DEM,U.S. House,5,Bethel,127,Frank A. Berry School - 3
Jahana Hayes,DEM,U.S. House,5,Bethel,241,Frank A. Berry School - 3
Dita Bhargava,DEM,Treasurer,,Bethel,174,Frank A. Berry School - 3
Shawn Wooden,DEM,Treasurer,,Bethel,188,Frank A. Berry School - 3
Paul R Doyle,DEM,Attorney General,,Bethel,48,Frank A. Berry School - 3
Chris Mattei,DEM,Attorney General,,Bethel,85,Frank A. Berry School - 3
William Tong,DEM,Attorney General,,Bethel,230,Frank A. Berry School - 3
Joe Ganim,DEM,Governor,,Bethel,5,Frank A. Berry School - 5
Ned Lamont,DEM,Governor,,Bethel,35,Frank A. Berry School - 5
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethel,26,Frank A. Berry School - 5
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethel,14,Frank A. Berry School - 5
Mary Messina Glassman,DEM,U.S. House,5,Bethel,14,Frank A. Berry School - 5
Jahana Hayes,DEM,U.S. House,5,Bethel,26,Frank A. Berry School - 5
Dita Bhargava,DEM,Treasurer,,Bethel,24,Frank A. Berry School - 5
Shawn Wooden,DEM,Treasurer,,Bethel,15,Frank A. Berry School - 5
Paul R Doyle,DEM,Attorney General,,Bethel,7,Frank A. Berry School - 5
Chris Mattei,DEM,Attorney General,,Bethel,9,Frank A. Berry School - 5
William Tong,DEM,Attorney General,,Bethel,24,Frank A. Berry School - 5
Joe Ganim,DEM,Governor,,Bethel,20,Stony Hill Fire House -2
Ned Lamont,DEM,Governor,,Bethel,177,Stony Hill Fire House -2
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethel,131,Stony Hill Fire House -2
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethel,68,Stony Hill Fire House -2
Mary Messina Glassman,DEM,U.S. House,5,Bethel,72,Stony Hill Fire House -2
Jahana Hayes,DEM,U.S. House,5,Bethel,128,Stony Hill Fire House -2
Dita Bhargava,DEM,Treasurer,,Bethel,103,Stony Hill Fire House -2
Shawn Wooden,DEM,Treasurer,,Bethel,87,Stony Hill Fire House -2
Paul R Doyle,DEM,Attorney General,,Bethel,26,Stony Hill Fire House -2
Chris Mattei,DEM,Attorney General,,Bethel,58,Stony Hill Fire House -2
William Tong,DEM,Attorney General,,Bethel,110,Stony Hill Fire House -2
Joe Ganim,DEM,Governor,,Bethlehem,58,Bethlehem Town Office Building
Ned Lamont,DEM,Governor,,Bethlehem,245,Bethlehem Town Office Building
Susan Bysiewicz,DEM,Lieutenant Governor,,Bethlehem,204,Bethlehem Town Office Building
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bethlehem,92,Bethlehem Town Office Building
Mary Messina Glassman,DEM,U.S. House,5,Bethlehem,82,Bethlehem Town Office Building
Jahana Hayes,DEM,U.S. House,5,Bethlehem,219,Bethlehem Town Office Building
Dita Bhargava,DEM,Treasurer,,Bethlehem,135,Bethlehem Town Office Building
Shawn Wooden,DEM,Treasurer,,Bethlehem,153,Bethlehem Town Office Building
Paul R Doyle,DEM,Attorney General,,Bethlehem,41,Bethlehem Town Office Building
Chris Mattei,DEM,Attorney General,,Bethlehem,65,Bethlehem Town Office Building
William Tong,DEM,Attorney General,,Bethlehem,185,Bethlehem Town Office Building
Joe Ganim,DEM,Governor,,Bloomfield,140,Bloomfield High School
Ned Lamont,DEM,Governor,,Bloomfield,530,Bloomfield High School
Susan Bysiewicz,DEM,Lieutenant Governor,,Bloomfield,402,Bloomfield High School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bloomfield,280,Bloomfield High School
Dita Bhargava,DEM,Treasurer,,Bloomfield,167,Bloomfield High School
Shawn Wooden,DEM,Treasurer,,Bloomfield,500,Bloomfield High School
Paul R Doyle,DEM,Attorney General,,Bloomfield,55,Bloomfield High School
Chris Mattei,DEM,Attorney General,,Bloomfield,185,Bloomfield High School
William Tong,DEM,Attorney General,,Bloomfield,435,Bloomfield High School
Joe Ganim,DEM,Governor,,Bloomfield,118,Carmen Arace Middle School
Ned Lamont,DEM,Governor,,Bloomfield,380,Carmen Arace Middle School
Susan Bysiewicz,DEM,Lieutenant Governor,,Bloomfield,335,Carmen Arace Middle School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bloomfield,149,Carmen Arace Middle School
Dita Bhargava,DEM,Treasurer,,Bloomfield,74,Carmen Arace Middle School
Shawn Wooden,DEM,Treasurer,,Bloomfield,411,Carmen Arace Middle School
Paul R Doyle,DEM,Attorney General,,Bloomfield,53,Carmen Arace Middle School
Chris Mattei,DEM,Attorney General,,Bloomfield,95,Carmen Arace Middle School
William Tong,DEM,Attorney General,,Bloomfield,332,Carmen Arace Middle School
Joe Ganim,DEM,Governor,,Bloomfield,156,Laurel Elementary School
Ned Lamont,DEM,Governor,,Bloomfield,571,Laurel Elementary School
Susan Bysiewicz,DEM,Lieutenant Governor,,Bloomfield,447,Laurel Elementary School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bloomfield,287,Laurel Elementary School
Dita Bhargava,DEM,Treasurer,,Bloomfield,182,Laurel Elementary School
Shawn Wooden,DEM,Treasurer,,Bloomfield,543,Laurel Elementary School
Paul R Doyle,DEM,Attorney General,,Bloomfield,80,Laurel Elementary School
Chris Mattei,DEM,Attorney General,,Bloomfield,191,Laurel Elementary School
William Tong,DEM,Attorney General,,Bloomfield,451,Laurel Elementary School
Joe Ganim,DEM,Governor,,Bloomfield,44,Leisure Services Gym
Ned Lamont,DEM,Governor,,Bloomfield,459,Leisure Services Gym
Susan Bysiewicz,DEM,Lieutenant Governor,,Bloomfield,292,Leisure Services Gym
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bloomfield,208,Leisure Services Gym
Dita Bhargava,DEM,Treasurer,,Bloomfield,194,Leisure Services Gym
Shawn Wooden,DEM,Treasurer,,Bloomfield,298,Leisure Services Gym
Paul R Doyle,DEM,Attorney General,,Bloomfield,40,Leisure Services Gym
Chris Mattei,DEM,Attorney General,,Bloomfield,175,Leisure Services Gym
William Tong,DEM,Attorney General,,Bloomfield,283,Leisure Services Gym
Joe Ganim,DEM,Governor,,Bloomfield,88,Metacomet Elementary School
Ned Lamont,DEM,Governor,,Bloomfield,511,Metacomet Elementary School
Susan Bysiewicz,DEM,Lieutenant Governor,,Bloomfield,310,Metacomet Elementary School
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bloomfield,291,Metacomet Elementary School
Dita Bhargava,DEM,Treasurer,,Bloomfield,153,Metacomet Elementary School
Shawn Wooden,DEM,Treasurer,,Bloomfield,430,Metacomet Elementary School
Paul R Doyle,DEM,Attorney General,,Bloomfield,60,Metacomet Elementary School
Chris Mattei,DEM,Attorney General,,Bloomfield,209,Metacomet Elementary School
William Tong,DEM,Attorney General,,Bloomfield,323,Metacomet Elementary School
Joe Ganim,DEM,Governor,,Bolton,46,Town Hall
Ned Lamont,DEM,Governor,,Bolton,330,Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Bolton,238,Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bolton,139,Town Hall
Dita Bhargava,DEM,Treasurer,,Bolton,172,Town Hall
Shawn Wooden,DEM,Treasurer,,Bolton,181,Town Hall
Paul R Doyle,DEM,Attorney General,,Bolton,41,Town Hall
Chris Mattei,DEM,Attorney General,,Bolton,115,Town Hall
William Tong,DEM,Attorney General,,Bolton,209,Town Hall
Joe Ganim,DEM,Governor,,Bozrah,32,Bozrah Centre Congregational Church
Ned Lamont,DEM,Governor,,Bozrah,112,Bozrah Centre Congregational Church
Susan Bysiewicz,DEM,Lieutenant Governor,,Bozrah,103,Bozrah Centre Congregational Church
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Bozrah,49,Bozrah Centre Congregational Church
Dita Bhargava,DEM,Treasurer,,Bozrah,59,Bozrah Centre Congregational Church
Shawn Wooden,DEM,Treasurer,,Bozrah,90,Bozrah Centre Congregational Church
Paul R Doyle,DEM,Attorney General,,Bozrah,17,Bozrah Centre Congregational Church
Chris Mattei,DEM,Attorney General,,Bozrah,45,Bozrah Centre Congregational Church
William Tong,DEM,Attorney General,,Bozrah,88,Bozrah Centre Congregational Church
Joe Ganim,DEM,Governor,,Branford,60,Branford Fire Headquarters
Ned Lamont,DEM,Governor,,Branford,323,Branford Fire Headquarters
Susan Bysiewicz,DEM,Lieutenant Governor,,Branford,234,Branford Fire Headquarters
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Branford,148,Branford Fire Headquarters
Dita Bhargava,DEM,Treasurer,,Branford,179,Branford Fire Headquarters
Shawn Wooden,DEM,Treasurer,,Branford,198,Branford Fire Headquarters
Paul R Doyle,DEM,Attorney General,,Branford,40,Branford Fire Headquarters
Chris Mattei,DEM,Attorney General,,Branford,120,Branford Fire Headquarters
William Tong,DEM,Attorney General,,Branford,218,Branford Fire Headquarters
Joe Ganim,DEM,Governor,,Branford,55,Branford High School
Ned Lamont,DEM,Governor,,Branford,301,Branford High School
Susan Bysiewicz,DEM,Lieutenant Governor,,Branford,230,Branford High School
