candidate,party,office,district,town,votes,precinct
Kurt Miller,Independent Party,Comptroller,,New London,38,Harbor School
Paul Passarelli,Libertarian Party,Comptroller,,New London,36,Harbor School
Edward G Heflin,Green Party,Comptroller,,New London,51,Harbor School
Kevin Lembo,Democratic Party,Comptroller,,New London,1076,Nathan Hale School
Kurt Miller,Republican Party,Comptroller,,New London,451,Nathan Hale School
Kevin Lembo,Working Families Party,Comptroller,,New London,49,Nathan Hale School
Kurt Miller,Independent Party,Comptroller,,New London,20,Nathan Hale School
Paul Passarelli,Libertarian Party,Comptroller,,New London,26,Nathan Hale School
Edward G Heflin,Green Party,Comptroller,,New London,19,Nathan Hale School
Kevin Lembo,Democratic Party,Comptroller,,New London,1863,New London High School
Kurt Miller,Republican Party,Comptroller,,New London,386,New London High School
Kevin Lembo,Working Families Party,Comptroller,,New London,70,New London High School
Kurt Miller,Independent Party,Comptroller,,New London,34,New London High School
Paul Passarelli,Libertarian Party,Comptroller,,New London,23,New London High School
Edward G Heflin,Green Party,Comptroller,,New London,61,New London High School
Kevin Lembo,Democratic Party,Comptroller,,New Millford,847,Catherine E Lillis Building
Kurt Miller,Republican Party,Comptroller,,New Millford,711,Catherine E Lillis Building
Kevin Lembo,Working Families Party,Comptroller,,New Millford,57,Catherine E Lillis Building
Kurt Miller,Independent Party,Comptroller,,New Millford,40,Catherine E Lillis Building
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,25,Catherine E Lillis Building
Edward G Heflin,Green Party,Comptroller,,New Millford,18,Catherine E Lillis Building
Kevin Lembo,Democratic Party,Comptroller,,New Millford,343,Gaylordsville Fire House
Kurt Miller,Republican Party,Comptroller,,New Millford,320,Gaylordsville Fire House
Kevin Lembo,Working Families Party,Comptroller,,New Millford,14,Gaylordsville Fire House
Kurt Miller,Independent Party,Comptroller,,New Millford,19,Gaylordsville Fire House
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,11,Gaylordsville Fire House
Edward G Heflin,Green Party,Comptroller,,New Millford,4,Gaylordsville Fire House
Kevin Lembo,Democratic Party,Comptroller,,New Millford,808,Hill & Plain School
Kurt Miller,Republican Party,Comptroller,,New Millford,1003,Hill & Plain School
Kevin Lembo,Working Families Party,Comptroller,,New Millford,27,Hill & Plain School
Kurt Miller,Independent Party,Comptroller,,New Millford,56,Hill & Plain School
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,19,Hill & Plain School
Edward G Heflin,Green Party,Comptroller,,New Millford,13,Hill & Plain School
Kevin Lembo,Democratic Party,Comptroller,,New Millford,985,Northville School
Kurt Miller,Republican Party,Comptroller,,New Millford,1192,Northville School
Kevin Lembo,Working Families Party,Comptroller,,New Millford,35,Northville School
Kurt Miller,Independent Party,Comptroller,,New Millford,57,Northville School
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,20,Northville School
Edward G Heflin,Green Party,Comptroller,,New Millford,12,Northville School
Kevin Lembo,Democratic Party,Comptroller,,New Millford,516,Odd Fellows Lodge
Kurt Miller,Republican Party,Comptroller,,New Millford,548,Odd Fellows Lodge
Kevin Lembo,Working Families Party,Comptroller,,New Millford,19,Odd Fellows Lodge
Kurt Miller,Independent Party,Comptroller,,New Millford,34,Odd Fellows Lodge
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,17,Odd Fellows Lodge
Edward G Heflin,Green Party,Comptroller,,New Millford,12,Odd Fellows Lodge
Kevin Lembo,Democratic Party,Comptroller,,New Millford,873,Sarah Noble Intermediate School
Kurt Miller,Republican Party,Comptroller,,New Millford,819,Sarah Noble Intermediate School
Kevin Lembo,Working Families Party,Comptroller,,New Millford,36,Sarah Noble Intermediate School
Kurt Miller,Independent Party,Comptroller,,New Millford,37,Sarah Noble Intermediate School
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,17,Sarah Noble Intermediate School
Edward G Heflin,Green Party,Comptroller,,New Millford,19,Sarah Noble Intermediate School
Kevin Lembo,Democratic Party,Comptroller,,New Millford,761,Schaghticoke School
Kurt Miller,Republican Party,Comptroller,,New Millford,937,Schaghticoke School
Kevin Lembo,Working Families Party,Comptroller,,New Millford,46,Schaghticoke School
Kurt Miller,Independent Party,Comptroller,,New Millford,33,Schaghticoke School
Paul Passarelli,Libertarian Party,Comptroller,,New Millford,31,Schaghticoke School
Edward G Heflin,Green Party,Comptroller,,New Millford,9,Schaghticoke School
Kevin Lembo,Democratic Party,Comptroller,,Newtown,150,Head O Meadow School Cafetorium
Kevin Lembo,Democratic Party,Comptroller,,Newtown,1192,Head O Meadow School Cafetorium
Kurt Miller,Republican Party,Comptroller,,Newtown,164,Head O Meadow School Cafetorium
Kurt Miller,Republican Party,Comptroller,,Newtown,1087,Head O Meadow School Cafetorium
Kevin Lembo,Working Families Party,Comptroller,,Newtown,3,Head O Meadow School Cafetorium
Kevin Lembo,Working Families Party,Comptroller,,Newtown,38,Head O Meadow School Cafetorium
Kurt Miller,Independent Party,Comptroller,,Newtown,1,Head O Meadow School Cafetorium
Kurt Miller,Independent Party,Comptroller,,Newtown,31,Head O Meadow School Cafetorium
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,2,Head O Meadow School Cafetorium
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,25,Head O Meadow School Cafetorium
Edward G Heflin,Green Party,Comptroller,,Newtown,9,Head O Meadow School Cafetorium
Edward G Heflin,Green Party,Comptroller,,Newtown,24,Head O Meadow School Cafetorium
Kevin Lembo,Democratic Party,Comptroller,,Newtown,101,Middle School Gym A
Kevin Lembo,Democratic Party,Comptroller,,Newtown,2031,Middle School Gym A
Kurt Miller,Republican Party,Comptroller,,Newtown,80,Middle School Gym A
Kurt Miller,Republican Party,Comptroller,,Newtown,1918,Middle School Gym A
Kevin Lembo,Working Families Party,Comptroller,,Newtown,2,Middle School Gym A
Kevin Lembo,Working Families Party,Comptroller,,Newtown,61,Middle School Gym A
Kurt Miller,Independent Party,Comptroller,,Newtown,1,Middle School Gym A
Kurt Miller,Independent Party,Comptroller,,Newtown,84,Middle School Gym A
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,1,Middle School Gym A
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,40,Middle School Gym A
Edward G Heflin,Green Party,Comptroller,,Newtown,2,Middle School Gym A
Edward G Heflin,Green Party,Comptroller,,Newtown,27,Middle School Gym A
Kevin Lembo,Democratic Party,Comptroller,,Newtown,692,Reed Intermediate School
Kevin Lembo,Democratic Party,Comptroller,,Newtown,2146,Reed Intermediate School
Kurt Miller,Republican Party,Comptroller,,Newtown,761,Reed Intermediate School
Kurt Miller,Republican Party,Comptroller,,Newtown,2130,Reed Intermediate School
Kevin Lembo,Working Families Party,Comptroller,,Newtown,17,Reed Intermediate School
Kevin Lembo,Working Families Party,Comptroller,,Newtown,81,Reed Intermediate School
Kurt Miller,Independent Party,Comptroller,,Newtown,34,Reed Intermediate School
Kurt Miller,Independent Party,Comptroller,,Newtown,67,Reed Intermediate School
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,20,Reed Intermediate School
Paul Passarelli,Libertarian Party,Comptroller,,Newtown,44,Reed Intermediate School
Edward G Heflin,Green Party,Comptroller,,Newtown,11,Reed Intermediate School
Edward G Heflin,Green Party,Comptroller,,Newtown,40,Reed Intermediate School
Kevin Lembo,Democratic Party,Comptroller,,Norfolk,509,Town Hall
Kurt Miller,Republican Party,Comptroller,,Norfolk,321,Town Hall
Kevin Lembo,Working Families Party,Comptroller,,Norfolk,19,Town Hall
Kurt Miller,Independent Party,Comptroller,,Norfolk,11,Town Hall
Paul Passarelli,Libertarian Party,Comptroller,,Norfolk,5,Town Hall
Edward G Heflin,Green Party,Comptroller,,Norfolk,7,Town Hall
Kevin Lembo,Democratic Party,Comptroller,,North Branford,1391,Jerome Harrison Elementary School
Kurt Miller,Republican Party,Comptroller,,North Branford,1759,Jerome Harrison Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Branford,69,Jerome Harrison Elementary School
Kurt Miller,Independent Party,Comptroller,,North Branford,75,Jerome Harrison Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Branford,35,Jerome Harrison Elementary School
Edward G Heflin,Green Party,Comptroller,,North Branford,19,Jerome Harrison Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Branford,987,Stanley T. Williams School
Kurt Miller,Republican Party,Comptroller,,North Branford,1766,Stanley T. Williams School
Kevin Lembo,Working Families Party,Comptroller,,North Branford,58,Stanley T. Williams School
Kurt Miller,Independent Party,Comptroller,,North Branford,59,Stanley T. Williams School
Paul Passarelli,Libertarian Party,Comptroller,,North Branford,25,Stanley T. Williams School
Edward G Heflin,Green Party,Comptroller,,North Branford,19,Stanley T. Williams School
Kevin Lembo,Democratic Party,Comptroller,,North Canaan,642,Town Hall - McCarthy Room
Kurt Miller,Republican Party,Comptroller,,North Canaan,728,Town Hall - McCarthy Room
Kevin Lembo,Working Families Party,Comptroller,,North Canaan,28,Town Hall - McCarthy Room
Kurt Miller,Independent Party,Comptroller,,North Canaan,34,Town Hall - McCarthy Room
Paul Passarelli,Libertarian Party,Comptroller,,North Canaan,10,Town Hall - McCarthy Room
Edward G Heflin,Green Party,Comptroller,,North Canaan,21,Town Hall - McCarthy Room
Kevin Lembo,Democratic Party,Comptroller,,North Haven,1038,Clintonville Elementary School
Kurt Miller,Republican Party,Comptroller,,North Haven,1602,Clintonville Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Haven,47,Clintonville Elementary School
Kurt Miller,Independent Party,Comptroller,,North Haven,50,Clintonville Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,35,Clintonville Elementary School
Edward G Heflin,Green Party,Comptroller,,North Haven,13,Clintonville Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Haven,543,Green Acres Elementary School
Kurt Miller,Republican Party,Comptroller,,North Haven,696,Green Acres Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Haven,21,Green Acres Elementary School
Kurt Miller,Independent Party,Comptroller,,North Haven,18,Green Acres Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,11,Green Acres Elementary School
Edward G Heflin,Green Party,Comptroller,,North Haven,13,Green Acres Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Haven,955,Montowese Elementary School
Kurt Miller,Republican Party,Comptroller,,North Haven,1460,Montowese Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Haven,52,Montowese Elementary School
Kurt Miller,Independent Party,Comptroller,,North Haven,47,Montowese Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,26,Montowese Elementary School
Edward G Heflin,Green Party,Comptroller,,North Haven,8,Montowese Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Haven,857,Recreation Center
Kurt Miller,Republican Party,Comptroller,,North Haven,1156,Recreation Center
Kevin Lembo,Working Families Party,Comptroller,,North Haven,55,Recreation Center
Kurt Miller,Independent Party,Comptroller,,North Haven,52,Recreation Center
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,21,Recreation Center
Edward G Heflin,Green Party,Comptroller,,North Haven,14,Recreation Center
Kevin Lembo,Democratic Party,Comptroller,,North Haven,759,Ridge Road Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Haven,765,Ridge Road Elementary School
Kurt Miller,Republican Party,Comptroller,,North Haven,477,Ridge Road Elementary School
Kurt Miller,Republican Party,Comptroller,,North Haven,747,Ridge Road Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Haven,17,Ridge Road Elementary School
Kevin Lembo,Working Families Party,Comptroller,,North Haven,21,Ridge Road Elementary School
Kurt Miller,Independent Party,Comptroller,,North Haven,17,Ridge Road Elementary School
Kurt Miller,Independent Party,Comptroller,,North Haven,23,Ridge Road Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,10,Ridge Road Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,North Haven,14,Ridge Road Elementary School
Edward G Heflin,Green Party,Comptroller,,North Haven,5,Ridge Road Elementary School
Edward G Heflin,Green Party,Comptroller,,North Haven,10,Ridge Road Elementary School
Kevin Lembo,Democratic Party,Comptroller,,North Stonington,1081,New Town Hall
Kurt Miller,Republican Party,Comptroller,,North Stonington,1225,New Town Hall
Kevin Lembo,Working Families Party,Comptroller,,North Stonington,52,New Town Hall
Kurt Miller,Independent Party,Comptroller,,North Stonington,58,New Town Hall
Paul Passarelli,Libertarian Party,Comptroller,,North Stonington,30,New Town Hall
Edward G Heflin,Green Party,Comptroller,,North Stonington,23,New Town Hall
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1919,Columbus School
Kurt Miller,Republican Party,Comptroller,,Norwalk,330,Columbus School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,76,Columbus School
Kurt Miller,Independent Party,Comptroller,,Norwalk,27,Columbus School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,21,Columbus School
Edward G Heflin,Green Party,Comptroller,,Norwalk,16,Columbus School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1837,Fox Run School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1290,Fox Run School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,51,Fox Run School
Kurt Miller,Independent Party,Comptroller,,Norwalk,46,Fox Run School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,40,Fox Run School
Edward G Heflin,Green Party,Comptroller,,Norwalk,26,Fox Run School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1392,Kendall School
Kurt Miller,Republican Party,Comptroller,,Norwalk,493,Kendall School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,38,Kendall School
Kurt Miller,Independent Party,Comptroller,,Norwalk,31,Kendall School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,17,Kendall School
Edward G Heflin,Green Party,Comptroller,,Norwalk,22,Kendall School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,2516,Marvin School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1325,Marvin School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,85,Marvin School
Kurt Miller,Independent Party,Comptroller,,Norwalk,57,Marvin School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,51,Marvin School
Edward G Heflin,Green Party,Comptroller,,Norwalk,34,Marvin School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1176,Nathan Hale Middle School
Kurt Miller,Republican Party,Comptroller,,Norwalk,823,Nathan Hale Middle School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,49,Nathan Hale Middle School
Kurt Miller,Independent Party,Comptroller,,Norwalk,36,Nathan Hale Middle School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,28,Nathan Hale Middle School
Edward G Heflin,Green Party,Comptroller,,Norwalk,14,Nathan Hale Middle School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,728,Nathaniel Ely School
Kurt Miller,Republican Party,Comptroller,,Norwalk,190,Nathaniel Ely School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,24,Nathaniel Ely School
Kurt Miller,Independent Party,Comptroller,,Norwalk,12,Nathaniel Ely School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,7,Nathaniel Ely School
Edward G Heflin,Green Party,Comptroller,,Norwalk,6,Nathaniel Ely School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1808,Ponus Ridge Middle School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1242,Ponus Ridge Middle School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,54,Ponus Ridge Middle School
Kurt Miller,Independent Party,Comptroller,,Norwalk,47,Ponus Ridge Middle School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,30,Ponus Ridge Middle School
Edward G Heflin,Green Party,Comptroller,,Norwalk,21,Ponus Ridge Middle School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1682,Roton Middle School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1119,Roton Middle School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,29,Roton Middle School
Kurt Miller,Independent Party,Comptroller,,Norwalk,63,Roton Middle School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,26,Roton Middle School
Edward G Heflin,Green Party,Comptroller,,Norwalk,16,Roton Middle School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1320,St. Mary's Community Hall
Kurt Miller,Republican Party,Comptroller,,Norwalk,391,St. Mary's Community Hall
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,34,St. Mary's Community Hall
Kurt Miller,Independent Party,Comptroller,,Norwalk,18,St. Mary's Community Hall
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,16,St. Mary's Community Hall
Edward G Heflin,Green Party,Comptroller,,Norwalk,11,St. Mary's Community Hall
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1999,Tracey School
Kurt Miller,Republican Party,Comptroller,,Norwalk,937,Tracey School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,69,Tracey School
Kurt Miller,Independent Party,Comptroller,,Norwalk,47,Tracey School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,40,Tracey School
Edward G Heflin,Green Party,Comptroller,,Norwalk,19,Tracey School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1561,West Rocks Middle School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1014,West Rocks Middle School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,53,West Rocks Middle School
Kurt Miller,Independent Party,Comptroller,,Norwalk,43,West Rocks Middle School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,40,West Rocks Middle School
Edward G Heflin,Green Party,Comptroller,,Norwalk,13,West Rocks Middle School
Kevin Lembo,Democratic Party,Comptroller,,Norwalk,1412,Wolfpit School
Kurt Miller,Republican Party,Comptroller,,Norwalk,1201,Wolfpit School
Kevin Lembo,Working Families Party,Comptroller,,Norwalk,36,Wolfpit School
Kurt Miller,Independent Party,Comptroller,,Norwalk,34,Wolfpit School
Paul Passarelli,Libertarian Party,Comptroller,,Norwalk,41,Wolfpit School
Edward G Heflin,Green Party,Comptroller,,Norwalk,7,Wolfpit School
Kevin Lembo,Democratic Party,Comptroller,,Norwich,569,AHEPA 110 II Apartments
Kurt Miller,Republican Party,Comptroller,,Norwich,343,AHEPA 110 II Apartments
Kevin Lembo,Working Families Party,Comptroller,,Norwich,32,AHEPA 110 II Apartments
Kurt Miller,Independent Party,Comptroller,,Norwich,29,AHEPA 110 II Apartments
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,20,AHEPA 110 II Apartments
Edward G Heflin,Green Party,Comptroller,,Norwich,19,AHEPA 110 II Apartments
Kevin Lembo,Democratic Party,Comptroller,,Norwich,1682,John B Stanton Elementary School
Kurt Miller,Republican Party,Comptroller,,Norwich,1082,John B Stanton Elementary School
Kevin Lembo,Working Families Party,Comptroller,,Norwich,91,John B Stanton Elementary School
Kurt Miller,Independent Party,Comptroller,,Norwich,53,John B Stanton Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,39,John B Stanton Elementary School
Edward G Heflin,Green Party,Comptroller,,Norwich,26,John B Stanton Elementary School
Kevin Lembo,Democratic Party,Comptroller,,Norwich,670,John M. Moriarty School
Kurt Miller,Republican Party,Comptroller,,Norwich,576,John M. Moriarty School
Kevin Lembo,Working Families Party,Comptroller,,Norwich,33,John M. Moriarty School
Kurt Miller,Independent Party,Comptroller,,Norwich,25,John M. Moriarty School
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,20,John M. Moriarty School
Edward G Heflin,Green Party,Comptroller,,Norwich,14,John M. Moriarty School
Kevin Lembo,Democratic Party,Comptroller,,Norwich,1424,Rose City Senior Center
Kurt Miller,Republican Party,Comptroller,,Norwich,957,Rose City Senior Center
Kevin Lembo,Working Families Party,Comptroller,,Norwich,89,Rose City Senior Center
Kurt Miller,Independent Party,Comptroller,,Norwich,59,Rose City Senior Center
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,34,Rose City Senior Center
Edward G Heflin,Green Party,Comptroller,,Norwich,37,Rose City Senior Center
Kevin Lembo,Democratic Party,Comptroller,,Norwich,592,Samuel Huntington Elementary School
Kurt Miller,Republican Party,Comptroller,,Norwich,382,Samuel Huntington Elementary School
Kevin Lembo,Working Families Party,Comptroller,,Norwich,32,Samuel Huntington Elementary School
Kurt Miller,Independent Party,Comptroller,,Norwich,19,Samuel Huntington Elementary School
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,15,Samuel Huntington Elementary School
Edward G Heflin,Green Party,Comptroller,,Norwich,4,Samuel Huntington Elementary School
Kevin Lembo,Democratic Party,Comptroller,,Norwich,1042,St Mark Lutheran Church
Kurt Miller,Republican Party,Comptroller,,Norwich,411,St Mark Lutheran Church
Kevin Lembo,Working Families Party,Comptroller,,Norwich,60,St Mark Lutheran Church
Kurt Miller,Independent Party,Comptroller,,Norwich,26,St Mark Lutheran Church
Paul Passarelli,Libertarian Party,Comptroller,,Norwich,30,St Mark Lutheran Church
Edward G Heflin,Green Party,Comptroller,,Norwich,23,St Mark Lutheran Church
Kevin Lembo,Democratic Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Kevin Lembo,Democratic Party,Comptroller,,Old Lyme,2080,Cross Lane Firehouse
Kurt Miller,Republican Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Kurt Miller,Republican Party,Comptroller,,Old Lyme,1835,Cross Lane Firehouse
Kevin Lembo,Working Families Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Kevin Lembo,Working Families Party,Comptroller,,Old Lyme,64,Cross Lane Firehouse
Kurt Miller,Independent Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Kurt Miller,Independent Party,Comptroller,,Old Lyme,65,Cross Lane Firehouse
Paul Passarelli,Libertarian Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Paul Passarelli,Libertarian Party,Comptroller,,Old Lyme,25,Cross Lane Firehouse
Edward G Heflin,Green Party,Comptroller,,Old Lyme,0,Cross Lane Firehouse
Edward G Heflin,Green Party,Comptroller,,Old Lyme,37,Cross Lane Firehouse
Kevin Lembo,Democratic Party,Comptroller,,Old Saybrook,1649,Old Saybrook High School Gymnasium
Kurt Miller,Republican Party,Comptroller,,Old Saybrook,1508,Old Saybrook High School Gymnasium
Kevin Lembo,Working Families Party,Comptroller,,Old Saybrook,48,Old Saybrook High School Gymnasium
Kurt Miller,Independent Party,Comptroller,,Old Saybrook,60,Old Saybrook High School Gymnasium
Paul Passarelli,Libertarian Party,Comptroller,,Old Saybrook,26,Old Saybrook High School Gymnasium
Edward G Heflin,Green Party,Comptroller,,Old Saybrook,20,Old Saybrook High School Gymnasium
Kevin Lembo,Democratic Party,Comptroller,,Old Saybrook,1163,Old Saybrook Middle School Gymnasium
Kurt Miller,Republican Party,Comptroller,,Old Saybrook,1147,Old Saybrook Middle School Gymnasium
Kevin Lembo,Working Families Party,Comptroller,,Old Saybrook,27,Old Saybrook Middle School Gymnasium
Kurt Miller,Independent Party,Comptroller,,Old Saybrook,45,Old Saybrook Middle School Gymnasium
Paul Passarelli,Libertarian Party,Comptroller,,Old Saybrook,14,Old Saybrook Middle School Gymnasium
Edward G Heflin,Green Party,Comptroller,,Old Saybrook,10,Old Saybrook Middle School Gymnasium
Kevin Lembo,Democratic Party,Comptroller,,Orange,667,High Plains Community Center
Kevin Lembo,Democratic Party,Comptroller,,Orange,756,High Plains Community Center
Kurt Miller,Republican Party,Comptroller,,Orange,786,High Plains Community Center
Kurt Miller,Republican Party,Comptroller,,Orange,873,High Plains Community Center
Kevin Lembo,Working Families Party,Comptroller,,Orange,23,High Plains Community Center
Kevin Lembo,Working Families Party,Comptroller,,Orange,23,High Plains Community Center
Kurt Miller,Independent Party,Comptroller,,Orange,16,High Plains Community Center
Kurt Miller,Independent Party,Comptroller,,Orange,17,High Plains Community Center
Paul Passarelli,Libertarian Party,Comptroller,,Orange,10,High Plains Community Center
Paul Passarelli,Libertarian Party,Comptroller,,Orange,17,High Plains Community Center
Edward G Heflin,Green Party,Comptroller,,Orange,8,High Plains Community Center
Edward G Heflin,Green Party,Comptroller,,Orange,9,High Plains Community Center
Kevin Lembo,Democratic Party,Comptroller,,Orange,1813,Mary L Tracy School
Kurt Miller,Republican Party,Comptroller,,Orange,2166,Mary L Tracy School
Kevin Lembo,Working Families Party,Comptroller,,Orange,71,Mary L Tracy School
Kurt Miller,Independent Party,Comptroller,,Orange,51,Mary L Tracy School
Paul Passarelli,Libertarian Party,Comptroller,,Orange,22,Mary L Tracy School
Edward G Heflin,Green Party,Comptroller,,Orange,17,Mary L Tracy School
Kevin Lembo,Democratic Party,Comptroller,,Oxford,1997,Quaker Farms School
Kurt Miller,Republican Party,Comptroller,,Oxford,4163,Quaker Farms School
Kevin Lembo,Working Families Party,Comptroller,,Oxford,86,Quaker Farms School
Kurt Miller,Independent Party,Comptroller,,Oxford,121,Quaker Farms School
Paul Passarelli,Libertarian Party,Comptroller,,Oxford,47,Quaker Farms School
Edward G Heflin,Green Party,Comptroller,,Oxford,27,Quaker Farms School
Kevin Lembo,Democratic Party,Comptroller,,Plainfield,494,1 Town Hall
Kurt Miller,Republican Party,Comptroller,,Plainfield,590,1 Town Hall
Kevin Lembo,Working Families Party,Comptroller,,Plainfield,43,1 Town Hall
Kurt Miller,Independent Party,Comptroller,,Plainfield,35,1 Town Hall
Paul Passarelli,Libertarian Party,Comptroller,,Plainfield,20,1 Town Hall
Edward G Heflin,Green Party,Comptroller,,Plainfield,15,1 Town Hall
Kevin Lembo,Democratic Party,Comptroller,,Plainfield,431,1a Town Hall
Kurt Miller,Republican Party,Comptroller,,Plainfield,485,1a Town Hall
Kevin Lembo,Working Families Party,Comptroller,,Plainfield,24,1a Town Hall
Kurt Miller,Independent Party,Comptroller,,Plainfield,18,1a Town Hall
Paul Passarelli,Libertarian Party,Comptroller,,Plainfield,13,1a Town Hall
Edward G Heflin,Green Party,Comptroller,,Plainfield,10,1a Town Hall
Kevin Lembo,Democratic Party,Comptroller,,Plainfield,225,2 Central Village Fire Station
Kurt Miller,Republican Party,Comptroller,,Plainfield,338,2 Central Village Fire Station
Kevin Lembo,Working Families Party,Comptroller,,Plainfield,16,2 Central Village Fire Station
Kurt Miller,Independent Party,Comptroller,,Plainfield,15,2 Central Village Fire Station
Paul Passarelli,Libertarian Party,Comptroller,,Plainfield,10,2 Central Village Fire Station
Edward G Heflin,Green Party,Comptroller,,Plainfield,11,2 Central Village Fire Station
Kevin Lembo,Democratic Party,Comptroller,,Plainfield,658,3 Moosup Fire Station
Kurt Miller,Republican Party,Comptroller,,Plainfield,776,3 Moosup Fire Station
Kevin Lembo,Working Families Party,Comptroller,,Plainfield,54,3 Moosup Fire Station
Kurt Miller,Independent Party,Comptroller,,Plainfield,42,3 Moosup Fire Station
Paul Passarelli,Libertarian Party,Comptroller,,Plainfield,37,3 Moosup Fire Station
Edward G Heflin,Green Party,Comptroller,,Plainfield,17,3 Moosup Fire Station
Kevin Lembo,Democratic Party,Comptroller,,Plainfield,140,4 Atwood Hose Station
Kurt Miller,Republican Party,Comptroller,,Plainfield,246,4 Atwood Hose Station
Kevin Lembo,Working Families Party,Comptroller,,Plainfield,16,4 Atwood Hose Station
Kurt Miller,Independent Party,Comptroller,,Plainfield,11,4 Atwood Hose Station
Paul Passarelli,Libertarian Party,Comptroller,,Plainfield,6,4 Atwood Hose Station
Edward G Heflin,Green Party,Comptroller,,Plainfield,1,4 Atwood Hose Station
Kevin Lembo,Democratic Party,Comptroller,,Plainville,889,Linden Street School
Kurt Miller,Republican Party,Comptroller,,Plainville,1008,Linden Street School
Kevin Lembo,Working Families Party,Comptroller,,Plainville,56,Linden Street School
Kurt Miller,Independent Party,Comptroller,,Plainville,64,Linden Street School
