county,town,office,district,party,candidate,poll,absentee,edr,votes
Middlesex,Middletown 08,Attorney General,,REP,Kie Westby,43,0,0,43
Middlesex,Middletown 08,Attorney General,,IND,Kie Westby,3,0,0,3
Middlesex,Middletown 08,Attorney General,,UNK,Kie Westby,1,0,0,1
Middlesex,Middletown 08,Attorney General,,DEM,George Jepsen,164,13,5,182
Middlesex,Middletown 08,Attorney General,,WF,George Jepsen,12,0,1,13
Middlesex,Middletown 08,Attorney General,,UNK,George Jepsen,3,0,0,3
Middlesex,Middletown 08,Attorney General,,Green,Stephen Fournier,5,0,0,5
Middlesex,Middletown 09,Governor,,REP,Thomas C. Foley,542,19,4,565
Middlesex,Middletown 09,Governor,,IND,Thomas C. Foley,22,0,0,22
Middlesex,Middletown 09,Governor,,UNK,Thomas C. Foley,6,0,0,6
Middlesex,Middletown 09,Governor,,DEM,Dannel P. Malloy,756,44,3,803
Middlesex,Middletown 09,Governor,,WF,Dannel P. Malloy,73,5,0,78
Middlesex,Middletown 09,Governor,,UNK,Dannel P. Malloy,18,0,0,18
Middlesex,Middletown 09,Governor,,PC,Joe Visconti,19,4,0,23
Middlesex,Middletown 09,U.S. House,3,REP,James Brown,460,18,3,481
Middlesex,Middletown 09,U.S. House,3,DEM,Rosa DeLauro,838,48,4,890
Middlesex,Middletown 09,U.S. House,3,WF,Rosa DeLauro,100,5,0,105
Middlesex,Middletown 09,U.S. House,3,UNK,Rosa DeLauro,11,0,0,11
Middlesex,Middletown 09,State Senate,13,REP,Len Suzio,573,22,4,599
Middlesex,Middletown 09,State Senate,13,IND,Len Suzio,29,2,0,31
Middlesex,Middletown 09,State Senate,13,UNK,Len Suzio,4,0,0,4
Middlesex,Middletown 09,State Senate,13,DEM,Dante Bartolomeo,724,42,3,769
Middlesex,Middletown 09,State Senate,13,WF,Dante Bartolomeo,78,6,0,84
Middlesex,Middletown 09,State Senate,13,UNK,Dante Bartolomeo,5,0,0,5
Middlesex,Middletown 09,State Assembly,100,REP,Angel Fernandez,424,16,5,445
Middlesex,Middletown 09,State Assembly,100,DEM,Matt Lesser,870,51,2,923
Middlesex,Middletown 09,State Assembly,100,WF,Matt Lesser,109,1,0,110
Middlesex,Middletown 09,State Assembly,100,UNK,Matt Lesser,8,0,0,8
Middlesex,Middletown 09,Secretary of State,,REP,Peter Lumaj,504,20,3,527
Middlesex,Middletown 09,Secretary of State,,IND,Peter Lumaj,29,0,0,29
Middlesex,Middletown 09,Secretary of State,,UNK,Peter Lumaj,3,0,0,3
Middlesex,Middletown 09,Secretary of State,,DEM,Denise Merrill,750,44,4,798
Middlesex,Middletown 09,Secretary of State,,WF,Denise Merrill,81,5,0,86
Middlesex,Middletown 09,Secretary of State,,UNK,Denise Merrill,3,0,0,3
Middlesex,Middletown 09,Secretary of State,,Green,Michael DeRosa,29,1,0,30
Middlesex,Middletown 09,State Treasurer,,REP,Tim Herbst,558,24,4,586
Middlesex,Middletown 09,State Treasurer,,IND,Tim Herbst,42,5,0,47
Middlesex,Middletown 09,State Treasurer,,UNK,Tim Herbst,3,0,0,3
Middlesex,Middletown 09,State Treasurer,,DEM,Denise Nappier,701,38,3,742
Middlesex,Middletown 09,State Treasurer,,WF,Denise Nappier,85,2,0,87
Middlesex,Middletown 09,State Treasurer,,UNK,Denise Nappier,5,0,0,5
Middlesex,Middletown 09,Comptroller,,REP,Sharon McLaughlin,466,16,2,484
Middlesex,Middletown 09,Comptroller,,IND,Sharon McLaughlin,25,1,0,26
Middlesex,Middletown 09,Comptroller,,UNK,Sharon McLaughlin,2,0,0,2
Middlesex,Middletown 09,Comptroller,,DEM,Kevin Lembo,762,47,5,814
Middlesex,Middletown 09,Comptroller,,WF,Kevin Lembo,91,4,0,95
Middlesex,Middletown 09,Comptroller,,IND,Kevin Lembo,3,0,0,3
Middlesex,Middletown 09,Comptroller,,Green,Rolf Maurer,25,1,0,26
Middlesex,Middletown 09,Attorney General,,REP,Kie Westby,440,17,3,460
Middlesex,Middletown 09,Attorney General,,IND,Kie Westby,21,1,0,22
Middlesex,Middletown 09,Attorney General,,UNK,Kie Westby,1,0,0,1
Middlesex,Middletown 09,Attorney General,,DEM,George Jepsen,802,46,4,852
Middlesex,Middletown 09,Attorney General,,WF,George Jepsen,95,4,0,99
Middlesex,Middletown 09,Attorney General,,UNK,George Jepsen,3,0,0,3
Middlesex,Middletown 09,Attorney General,,Green,Stephen Fournier,23,1,0,24
Middlesex,Middletown 10,Governor,,REP,Thomas C. Foley,404,13,4,421
Middlesex,Middletown 10,Governor,,IND,Thomas C. Foley,17,3,0,20
Middlesex,Middletown 10,Governor,,UNK,Thomas C. Foley,3,0,0,3
Middlesex,Middletown 10,Governor,,DEM,Dannel P. Malloy,474,16,9,499
Middlesex,Middletown 10,Governor,,WF,Dannel P. Malloy,24,2,1,27
Middlesex,Middletown 10,Governor,,UNK,Dannel P. Malloy,29,0,0,29
Middlesex,Middletown 10,Governor,,PC,Joe Visconti,13,0,0,13
Middlesex,Middletown 10,U.S. House,3,REP,James Brown,336,15,5,356
Middlesex,Middletown 10,U.S. House,3,DEM,Rosa DeLauro,520,17,8,545
Middlesex,Middletown 10,U.S. House,3,WF,Rosa DeLauro,54,2,1,57
Middlesex,Middletown 10,U.S. House,3,UNK,Rosa DeLauro,21,0,0,21
Middlesex,Middletown 10,State Senate,9,REP,Earle Roberts,392,0,5,397
Middlesex,Middletown 10,State Senate,9,DEM,Paul Doyle,517,0,9,526
Middlesex,Middletown 10,State Assembly,100,REP,Angel Fernandez,334,13,3,350
Middlesex,Middletown 10,State Assembly,100,DEM,Matt Lesser,527,18,11,556
Middlesex,Middletown 10,State Assembly,100,WF,Matt Lesser,40,1,0,41
Middlesex,Middletown 10,State Assembly,100,UNK,Matt Lesser,14,0,0,14
Middlesex,Middletown 10,Secretary of State,,REP,Peter Lumaj,379,13,4,396
Middlesex,Middletown 10,Secretary of State,,IND,Peter Lumaj,18,2,0,20
Middlesex,Middletown 10,Secretary of State,,UNK,Peter Lumaj,1,0,0,1
Middlesex,Middletown 10,Secretary of State,,DEM,Denise Merrill,447,18,8,473
Middlesex,Middletown 10,Secretary of State,,WF,Denise Merrill,28,0,0,28
Middlesex,Middletown 10,Secretary of State,,UNK,Denise Merrill,12,0,0,12
Middlesex,Middletown 10,Secretary of State,,Green,Michael DeRosa,23,1,0,24
Middlesex,Middletown 10,State Treasurer,,REP,Tim Herbst,405,15,3,423
Middlesex,Middletown 10,State Treasurer,,IND,Tim Herbst,33,3,0,36
Middlesex,Middletown 10,State Treasurer,,UNK,Tim Herbst,0,0,0,0
Middlesex,Middletown 10,State Treasurer,,DEM,Denise Nappier,434,16,9,459
Middlesex,Middletown 10,State Treasurer,,WF,Denise Nappier,30,0,2,32
Middlesex,Middletown 10,State Treasurer,,UNK,Denise Nappier,17,0,0,17
Middlesex,Middletown 10,Comptroller,,REP,Sharon McLaughlin,361,10,5,376
Middlesex,Middletown 10,Comptroller,,IND,Sharon McLaughlin,20,2,1,23
Middlesex,Middletown 10,Comptroller,,UNK,Sharon McLaughlin,0,0,0,0
Middlesex,Middletown 10,Comptroller,,DEM,Kevin Lembo,471,17,8,496
Middlesex,Middletown 10,Comptroller,,WF,Kevin Lembo,25,2,0,27
Middlesex,Middletown 10,Comptroller,,IND,Kevin Lembo,8,0,0,8
Middlesex,Middletown 10,Comptroller,,Green,Rolf Maurer,17,0,0,17
Middlesex,Middletown 10,Attorney General,,REP,Kie Westby,311,10,3,324
Middlesex,Middletown 10,Attorney General,,IND,Kie Westby,18,1,0,19
Middlesex,Middletown 10,Attorney General,,UNK,Kie Westby,0,0,0,0
Middlesex,Middletown 10,Attorney General,,DEM,George Jepsen,516,17,9,542
Middlesex,Middletown 10,Attorney General,,WF,George Jepsen,29,3,1,33
Middlesex,Middletown 10,Attorney General,,UNK,George Jepsen,8,0,0,8
Middlesex,Middletown 10,Attorney General,,Green,Stephen Fournier,21,1,1,23
Middlesex,Middletown 11,Governor,,REP,Thomas C. Foley,551,38,15,604
Middlesex,Middletown 11,Governor,,IND,Thomas C. Foley,32,3,1,36
Middlesex,Middletown 11,Governor,,UNK,Thomas C. Foley,5,0,0,5
Middlesex,Middletown 11,Governor,,DEM,Dannel P. Malloy,832,88,7,927
Middlesex,Middletown 11,Governor,,WF,Dannel P. Malloy,82,2,0,84
Middlesex,Middletown 11,Governor,,UNK,Dannel P. Malloy,20,0,0,20
Middlesex,Middletown 11,Governor,,PC,Joe Visconti,13,1,0,14
Middlesex,Middletown 11,U.S. House,3,REP,James Brown,466,40,13,519
Middlesex,Middletown 11,U.S. House,3,DEM,Rosa DeLauro,905,84,9,998
Middlesex,Middletown 11,U.S. House,3,WF,Rosa DeLauro,114,4,1,119
Middlesex,Middletown 11,U.S. House,3,UNK,Rosa DeLauro,18,0,0,18
Middlesex,Middletown 11,State Senate,13,REP,Len Suzio,591,48,14,653
Middlesex,Middletown 11,State Senate,13,IND,Len Suzio,43,3,0,46
Middlesex,Middletown 11,State Senate,13,UNK,Len Suzio,2,0,0,2
Middlesex,Middletown 11,State Senate,13,DEM,Dante Bartolomeo,776,73,8,857
Middlesex,Middletown 11,State Senate,13,WF,Dante Bartolomeo,90,4,1,95
Middlesex,Middletown 11,State Senate,13,UNK,Dante Bartolomeo,11,0,0,11
Middlesex,Middletown 11,State Assembly,100,REP,Angel Fernandez,437,36,12,485
Middlesex,Middletown 11,State Assembly,100,DEM,Matt Lesser,916,84,10,1010
Middlesex,Middletown 11,State Assembly,100,WF,Matt Lesser,130,6,1,137
Middlesex,Middletown 11,State Assembly,100,UNK,Matt Lesser,9,0,0,9
Middlesex,Middletown 11,Secretary of State,,REP,Peter Lumaj,513,39,11,563
Middlesex,Middletown 11,Secretary of State,,IND,Peter Lumaj,38,10,0,48
Middlesex,Middletown 11,Secretary of State,,UNK,Peter Lumaj,0,0,0,0
Middlesex,Middletown 11,Secretary of State,,DEM,Denise Merrill,797,74,11,882
Middlesex,Middletown 11,Secretary of State,,WF,Denise Merrill,94,6,0,100
Middlesex,Middletown 11,Secretary of State,,UNK,Denise Merrill,9,0,0,9
Middlesex,Middletown 11,Secretary of State,,Green,Michael DeRosa,39,1,1,41
Middlesex,Middletown 11,State Treasurer,,REP,Tim Herbst,563,45,13,621
Middlesex,Middletown 11,State Treasurer,,IND,Tim Herbst,44,3,0,47
Middlesex,Middletown 11,State Treasurer,,UNK,Tim Herbst,0,0,0,0
Middlesex,Middletown 11,State Treasurer,,DEM,Denise Nappier,778,70,8,856
Middlesex,Middletown 11,State Treasurer,,WF,Denise Nappier,84,7,1,92
Middlesex,Middletown 11,State Treasurer,,UNK,Denise Nappier,8,0,0,8
Middlesex,Middletown 11,Comptroller,,REP,Sharon McLaughlin,494,38,14,546
Middlesex,Middletown 11,Comptroller,,IND,Sharon McLaughlin,39,2,0,41
Middlesex,Middletown 11,Comptroller,,UNK,Sharon McLaughlin,0,0,0,0
Middlesex,Middletown 11,Comptroller,,DEM,Kevin Lembo,803,76,8,887
Middlesex,Middletown 11,Comptroller,,WF,Kevin Lembo,95,6,0,101
Middlesex,Middletown 11,Comptroller,,IND,Kevin Lembo,8,0,0,8
Middlesex,Middletown 11,Comptroller,,Green,Rolf Maurer,30,1,1,32
Middlesex,Middletown 11,Attorney General,,REP,Kie Westby,445,33,14,492
Middlesex,Middletown 11,Attorney General,,IND,Kie Westby,28,1,0,29
Middlesex,Middletown 11,Attorney General,,UNK,Kie Westby,0,0,0,0
Middlesex,Middletown 11,Attorney General,,DEM,George Jepsen,863,80,8,951
Middlesex,Middletown 11,Attorney General,,WF,George Jepsen,99,4,0,103
Middlesex,Middletown 11,Attorney General,,UNK,George Jepsen,8,0,0,8
Middlesex,Middletown 11,Attorney General,,Green,Stephen Fournier,34,2,1,37
Middlesex,Middletown 12,Governor,,REP,Thomas C. Foley,531,51,7,589
Middlesex,Middletown 12,Governor,,IND,Thomas C. Foley,20,5,1,26
Middlesex,Middletown 12,Governor,,UNK,Thomas C. Foley,4,0,0,4
Middlesex,Middletown 12,Governor,,DEM,Dannel P. Malloy,790,131,18,939
Middlesex,Middletown 12,Governor,,WF,Dannel P. Malloy,71,5,2,78
Middlesex,Middletown 12,Governor,,UNK,Dannel P. Malloy,32,0,0,32
Middlesex,Middletown 12,Governor,,PC,Joe Visconti,7,3,0,10
Middlesex,Middletown 12,U.S. House,3,REP,James Brown,440,38,7,485
Middlesex,Middletown 12,U.S. House,3,DEM,Rosa DeLauro,868,122,16,1006
Middlesex,Middletown 12,U.S. House,3,WF,Rosa DeLauro,107,11,3,121
Middlesex,Middletown 12,U.S. House,3,UNK,Rosa DeLauro,17,0,0,17
Middlesex,Middletown 12,State Senate,9,REP,Earle Roberts,501,44,6,551
Middlesex,Middletown 12,State Senate,9,DEM,Paul Doyle,882,118,19,1019
Middlesex,Middletown 12,State Assembly,100,REP,Angel Fernandez,401,45,7,453
Middlesex,Middletown 12,State Assembly,100,DEM,Matt Lesser,897,109,16,1022
Middlesex,Middletown 12,State Assembly,100,WF,Matt Lesser,107,9,3,119
Middlesex,Middletown 12,State Assembly,100,UNK,Matt Lesser,13,0,0,13
Middlesex,Middletown 12,Secretary of State,,REP,Peter Lumaj,486,39,7,532
Middlesex,Middletown 12,Secretary of State,,IND,Peter Lumaj,30,2,2,34
Middlesex,Middletown 12,Secretary of State,,UNK,Peter Lumaj,0,0,0,0
Middlesex,Middletown 12,Secretary of State,,DEM,Denise Merrill,769,114,15,898
Middlesex,Middletown 12,Secretary of State,,WF,Denise Merrill,77,7,2,86
Middlesex,Middletown 12,Secretary of State,,UNK,Denise Merrill,10,0,0,10
Middlesex,Middletown 12,Secretary of State,,Green,Michael DeRosa,37,6,0,43
Middlesex,Middletown 12,State Treasurer,,REP,Tim Herbst,526,45,6,577
Middlesex,Middletown 12,State Treasurer,,IND,Tim Herbst,34,2,1,37
Middlesex,Middletown 12,State Treasurer,,UNK,Tim Herbst,0,0,0,0
Middlesex,Middletown 12,State Treasurer,,DEM,Denise Nappier,746,111,17,874
Middlesex,Middletown 12,State Treasurer,,WF,Denise Nappier,92,7,2,101
Middlesex,Middletown 12,State Treasurer,,UNK,Denise Nappier,12,0,0,12
Middlesex,Middletown 12,Comptroller,,REP,Sharon McLaughlin,436,41,5,482
Middlesex,Middletown 12,Comptroller,,IND,Sharon McLaughlin,23,5,1,29
Middlesex,Middletown 12,Comptroller,,UNK,Sharon McLaughlin,0,0,0,0
Middlesex,Middletown 12,Comptroller,,DEM,Kevin Lembo,809,104,15,928
Middlesex,Middletown 12,Comptroller,,WF,Kevin Lembo,87,7,3,97
Middlesex,Middletown 12,Comptroller,,IND,Kevin Lembo,9,0,0,9
Middlesex,Middletown 12,Comptroller,,Green,Rolf Maurer,25,2,1,28
Middlesex,Middletown 12,Attorney General,,REP,Kie Westby,399,37,5,441
Middlesex,Middletown 12,Attorney General,,IND,Kie Westby,23,2,2,27
Middlesex,Middletown 12,Attorney General,,UNK,Kie Westby,0,0,0,0
Middlesex,Middletown 12,Attorney General,,DEM,George Jepsen,857,112,14,983
Middlesex,Middletown 12,Attorney General,,WF,George Jepsen,91,7,4,102
Middlesex,Middletown 12,Attorney General,,UNK,George Jepsen,9,0,0,9
Middlesex,Middletown 12,Attorney General,,Green,Stephen Fournier,21,5,1,27
Middlesex,Middletown 13,Governor,,REP,Thomas C. Foley,229,21,3,253
Middlesex,Middletown 13,Governor,,IND,Thomas C. Foley,17,0,0,17
Middlesex,Middletown 13,Governor,,UNK,Thomas C. Foley,0,0,0,0
Middlesex,Middletown 13,Governor,,DEM,Dannel P. Malloy,333,61,7,401
Middlesex,Middletown 13,Governor,,WF,Dannel P. Malloy,18,0,0,18
Middlesex,Middletown 13,Governor,,UNK,Dannel P. Malloy,22,0,0,22
Middlesex,Middletown 13,Governor,,PC,Joe Visconti,13,6,0,19
Middlesex,Middletown 13,U.S. House,3,REP,James Brown,215,20,2,237
Middlesex,Middletown 13,U.S. House,3,DEM,Rosa DeLauro,351,59,8,418
Middlesex,Middletown 13,U.S. House,3,WF,Rosa DeLauro,40,3,0,43
Middlesex,Middletown 13,U.S. House,3,UNK,Rosa DeLauro,16,0,0,16
Middlesex,Middletown 13,State Senate,9,REP,Earle Roberts,215,14,2,231
Middlesex,Middletown 13,State Senate,9,DEM,Paul Doyle,393,58,8,459
Middlesex,Middletown 13,State Assembly,33,REP,Linda Szynkowicz,259,22,3,284
Middlesex,Middletown 13,State Assembly,33,DEM,Joseph Serra,351,62,7,420
Middlesex,Middletown 13,Secretary of State,,REP,Peter Lumaj,215,22,2,239
Middlesex,Middletown 13,Secretary of State,,IND,Peter Lumaj,20,1,0,21
Middlesex,Middletown 13,Secretary of State,,UNK,Peter Lumaj,2,0,0,2
Middlesex,Middletown 13,Secretary of State,,DEM,Denise Merrill,299,54,8,361
Middlesex,Middletown 13,Secretary of State,,WF,Denise Merrill,24,0,0,24
Middlesex,Middletown 13,Secretary of State,,UNK,Denise Merrill,11,0,0,11
Middlesex,Middletown 13,Secretary of State,,Green,Michael DeRosa,28,2,0,30
Middlesex,Middletown 13,State Treasurer,,REP,Tim Herbst,228,25,3,256
Middlesex,Middletown 13,State Treasurer,,IND,Tim Herbst,22,3,0,25
Middlesex,Middletown 13,State Treasurer,,UNK,Tim Herbst,0,0,0,0
Middlesex,Middletown 13,State Treasurer,,DEM,Denise Nappier,300,51,7,358
Middlesex,Middletown 13,State Treasurer,,WF,Denise Nappier,32,2,0,34
Middlesex,Middletown 13,State Treasurer,,UNK,Denise Nappier,13,0,0,13
Middlesex,Middletown 13,Comptroller,,REP,Sharon McLaughlin,203,22,2,227
Middlesex,Middletown 13,Comptroller,,IND,Sharon McLaughlin,5,4,0,9
Middlesex,Middletown 13,Comptroller,,UNK,Sharon McLaughlin,0,0,0,0
Middlesex,Middletown 13,Comptroller,,DEM,Kevin Lembo,329,53,8,390
Middlesex,Middletown 13,Comptroller,,WF,Kevin Lembo,24,0,0,24
Middlesex,Middletown 13,Comptroller,,IND,Kevin Lembo,11,0,0,11
Middlesex,Middletown 13,Comptroller,,Green,Rolf Maurer,9,1,0,10
Middlesex,Middletown 13,Attorney General,,REP,Kie Westby,191,19,2,212
Middlesex,Middletown 13,Attorney General,,IND,Kie Westby,11,1,0,12
Middlesex,Middletown 13,Attorney General,,UNK,Kie Westby,0,0,0,0
Middlesex,Middletown 13,Attorney General,,DEM,George Jepsen,340,55,8,403
Middlesex,Middletown 13,Attorney General,,WF,George Jepsen,25,4,0,29
Middlesex,Middletown 13,Attorney General,,UNK,George Jepsen,0,0,0,0
Middlesex,Middletown 13,Attorney General,,Green,Stephen Fournier,14,1,0,15
Middlesex,Middletown 14,Governor,,REP,Thomas C. Foley,74,5,17,96
Middlesex,Middletown 14,Governor,,IND,Thomas C. Foley,2,0,1,3
Middlesex,Middletown 14,Governor,,UNK,Thomas C. Foley,0,0,0,0
Middlesex,Middletown 14,Governor,,DEM,Dannel P. Malloy,424,24,170,618
Middlesex,Middletown 14,Governor,,WF,Dannel P. Malloy,35,2,10,47
Middlesex,Middletown 14,Governor,,UNK,Dannel P. Malloy,12,0,0,12
Middlesex,Middletown 14,Governor,,PC,Joe Visconti,4,0,1,5
Middlesex,Middletown 14,U.S. House,3,REP,James Brown,60,4,17,81
Middlesex,Middletown 14,U.S. House,3,DEM,Rosa DeLauro,426,25,165,616
Middlesex,Middletown 14,U.S. House,3,WF,Rosa DeLauro,46,2,9,57
Middlesex,Middletown 14,U.S. House,3,UNK,Rosa DeLauro,7,0,0,7
Middlesex,Middletown 14,State Senate,9,REP,Earle Roberts,62,3,17,82
Middlesex,Middletown 14,State Senate,9,DEM,Paul Doyle,451,23,171,645
Middlesex,Middletown 14,State Assembly,33,REP,Linda Szynkowicz,76,6,18,100
Middlesex,Middletown 14,State Assembly,33,DEM,Joseph Serra,436,23,171,630
Middlesex,Middletown 14,Secretary of State,,REP,Peter Lumaj,63,4,18,85
Middlesex,Middletown 14,Secretary of State,,IND,Peter Lumaj,5,0,3,8
Middlesex,Middletown 14,Secretary of State,,UNK,Peter Lumaj,0,0,0,0
Middlesex,Middletown 14,Secretary of State,,DEM,Denise Merrill,394,23,145,562
Middlesex,Middletown 14,Secretary of State,,WF,Denise Merrill,33,2,9,44
Middlesex,Middletown 14,Secretary of State,,UNK,Denise Merrill,3,0,0,3
Middlesex,Middletown 14,Secretary of State,,Green,Michael DeRosa,30,1,17,48
Middlesex,Middletown 14,State Treasurer,,REP,Tim Herbst,74,7,15,96
Middlesex,Middletown 14,State Treasurer,,IND,Tim Herbst,9,1,3,13
Middlesex,Middletown 14,State Treasurer,,UNK,Tim Herbst,0,0,0,0
Middlesex,Middletown 14,State Treasurer,,DEM,Denise Nappier,394,22,159,575
Middlesex,Middletown 14,State Treasurer,,WF,Denise Nappier,491,1,10,502
Middlesex,Middletown 14,State Treasurer,,UNK,Denise Nappier,6,0,0,6
Middlesex,Middletown 14,Comptroller,,REP,Sharon McLaughlin,70,7,18,95
Middlesex,Middletown 14,Comptroller,,IND,Sharon McLaughlin,8,1,3,12
Middlesex,Middletown 14,Comptroller,,UNK,Sharon McLaughlin,0,0,0,0
Middlesex,Middletown 14,Comptroller,,DEM,Kevin Lembo,386,20,141,547
Middlesex,Middletown 14,Comptroller,,WF,Kevin Lembo,32,2,10,44
Middlesex,Middletown 14,Comptroller,,IND,Kevin Lembo,4,0,0,4
Middlesex,Middletown 14,Comptroller,,Green,Rolf Maurer,22,0,15,37
Middlesex,Middletown 14,Attorney General,,REP,Kie Westby,60,6,18,84
Middlesex,Middletown 14,Attorney General,,IND,Kie Westby,4,0,1,5
Middlesex,Middletown 14,Attorney General,,UNK,Kie Westby,0,0,0,0
Middlesex,Middletown 14,Attorney General,,DEM,George Jepsen,398,23,150,571
Middlesex,Middletown 14,Attorney General,,WF,George Jepsen,32,1,9,42
Middlesex,Middletown 14,Attorney General,,UNK,George Jepsen,3,0,0,3
Middlesex,Middletown 14,Attorney General,,Green,Stephen Fournier,29,0,17,46
Middlesex,Middletown 04,Governor,,write-in,Daniel Gaita,2,0,0,
Middlesex,Middletown 08,Governor,,write-in,Daniel Gaita,1,0,0,
Middlesex,Middletown 05,Governor,,write-in,Jonathan Pelto,2,0,0,
Middlesex,Middletown 09,Governor,,write-in,Jonathan Pelto,1,0,0,
Middlesex,Middletown 12,Governor,,write-in,Jonathan Pelto,1,0,0,
Middlesex,Middletown 01,Treasurer,,write-in,Rolf Maurer,1,0,0,
Middlesex,Middletown 03,Treasurer,,write-in,Rolf Maurer,0,1,0,
Middlesex,Middletown 08,Treasurer,,write-in,Rolf Maurer,1,0,0,
Middlesex,Middletown 12,Treasurer,,write-in,Rolf Maurer,1,1,0,
