county,precinct,office,district,party,candidate,votes,poll,abs,edr,unkown
Hartford,East Hartford 2,US House,1,Dem,John Larson,961,861,19,17,61
Hartford,East Hartford 2,US House,1,WF,John Larson,58,56,,1,4
Hartford,East Hartford 2,US House,1,Green,Jeffrey Russell,22,22,,,0
Hartford,East Hartford 3,US House,1,Rep,Matthew Corey,235,228,7,,0
Hartford,East Hartford 3,US House,1,Dem,John Larson,801,725,12,17,44
Hartford,East Hartford 3,US House,1,WF,John Larson,47,47,,,3
Hartford,East Hartford 3,US House,1,Green,Jeffrey Russell,14,13,,1,0
Hartford,East Hartford 4,US House,1,Rep,Matthew Corey,319,288,23,8,0
Hartford,East Hartford 4,US House,1,Dem,John Larson,1380,"1,192",88,39,60
Hartford,East Hartford 4,US House,1,WF,John Larson,70,61,4,3,3
Hartford,East Hartford 4,US House,1,Green,Jeffrey Russell,19,19,,,0
Hartford,East Hartford 5,US House,1,Rep,Matthew Corey,374,350,11,13,0
Hartford,East Hartford 5,US House,1,Dem,John Larson,1088,984,25,21,55
Hartford,East Hartford 5,US House,1,WF,John Larson,91,87,1,1,5
Hartford,East Hartford 5,US House,1,Green,Jeffrey Russell,29,29,,,0
Hartford,East Hartford 6,US House,1,Rep,Matthew Corey,602,590,10,2,0
Hartford,East Hartford 6,US House,1,Dem,John Larson,1336,"1,237",35,12,49
Hartford,East Hartford 6,US House,1,WF,John Larson,85,82,2,1,3
Hartford,East Hartford 6,US House,1,Green,Jeffrey Russell,26,24,1,1,0
Hartford,East Hartford 7,US House,1,Rep,Matthew Corey,739,712,19,8,0
Hartford,East Hartford 7,US House,1,Dem,John Larson,1367,"1,274",35,24,32
Hartford,East Hartford 7,US House,1,WF,John Larson,118,112,3,2,3
Hartford,East Hartford 7,US House,1,Green,Jeffrey Russell,33,32,,1,0
Hartford,East Hartford 1,State Senate,3,Rep,Sean Kelly,345,320,19,6,
Hartford,East Hartford 2,State Senate,3,Rep,Sean Kelly,379,366,9,4,
Hartford,East Hartford 3,State Senate,3,Rep,Sean Kelly,266,255,8,3,
Hartford,East Hartford 4,State Senate,3,Rep,Sean Kelly,343,311,24,8,
Hartford,East Hartford 5,State Senate,3,Rep,Sean Kelly,422,399,12,11,
Hartford,East Hartford 6,State Senate,3,Rep,Sean Kelly,681,663,14,4,
Hartford,East Hartford 7,State Senate,3,Rep,Sean Kelly,813,787,20,6,
Hartford,East Hartford 1,State Senate,3,Dem,Tim Larson,1229,1159,24,46,
Hartford,East Hartford 2,State Senate,3,Dem,Tim Larson,978,942,19,17,
Hartford,East Hartford 3,State Senate,3,Dem,Tim Larson,817,792,11,14,
Hartford,East Hartford 4,State Senate,3,Dem,Tim Larson,1441,1311,89,41,
Hartford,East Hartford 5,State Senate,3,Dem,Tim Larson,1101,1053,27,21,
Hartford,East Hartford 6,State Senate,3,Dem,Tim Larson,1336,1292,33,11,
Hartford,East Hartford 7,State Senate,3,Dem,Tim Larson,1396,1334,36,26,
Hartford,East Hartford 3,State House,9,Dem,Jason Rojas,850,819,15,16,
Hartford,East Hartford 3,State House,9,Lbt,Richard Lion,78,76,2,0,
Hartford,East Hartford 7,State House,9,Dem,Jason Rojas,1672,1598,45,29,
Hartford,East Hartford 7,State House,9,Lbt,Richard Lion,236,230,4,2,
Hartford,East Hartford 4,State House,10,Dem,Henry Genga,1427,1219,87,40,81
Hartford,East Hartford 5,State House,10,Dem,Henry Genga,1108,1020,27,19,42
Hartford,East Hartford 6,State House,10,Dem,Henry Genga,1398,1311,34,13,40
Hartford,East Hartford 4,State House,10,WF,Henry Genga,135,113,9,5,8
Hartford,East Hartford 5,State House,10,WF,Henry Genga,159,139,4,10,6
Hartford,East Hartford 6,State House,10,WF,Henry Genga,176,166,3,2,5
Hartford,East Hartford 1,State House,11,Rep,Jack Jacobs,344,322,18,4,
Hartford,East Hartford 2,State House,11,Rep,Jack Jacobs,434,418,13,3,
Hartford,East Hartford 1,State House,11,Dem,Jeff Currey,1213,1142,24,47,
Hartford,East Hartford 2,State House,11,Dem,Jeff Currey,593,560,15,18,
Hartford,East Hartford 1,Secretary of State,,Rep,Peter Lumaj,340,321,12,4,3
Hartford,East Hartford 1,Secretary of State,,Dem,Denise Merrill,1083,969,26,41,47
Hartford,East Hartford 1,Secretary of State,,WF,Denise Merrill,53,49,1,1,2
Hartford,East Hartford 1,Secretary of State,,Ind,Peter Lumaj,20,19,,1,0
Hartford,East Hartford 1,Secretary of State,,Green,Michael DeRosa,30,25,1,4,
Hartford,East Hartford 2,Secretary of State,,Rep,Peter Lumaj,405,391,11,3,0
Hartford,East Hartford 2,Secretary of State,,Dem,Denise Merrill,818,746,14,15,43
Hartford,East Hartford 2,Secretary of State,,WF,Denise Merrill,40,38,,,2
Hartford,East Hartford 2,Secretary of State,,Ind,Peter Lumaj,26,24,1,1,
Hartford,East Hartford 2,Secretary of State,,Green,Michael DeRosa,43,42,,1,
Hartford,East Hartford 3,Secretary of State,,Rep,Peter Lumaj,284,278,5,1,0
Hartford,East Hartford 3,Secretary of State,,Dem,Denise Merrill,705,647,12,15,31
Hartford,East Hartford 3,Secretary of State,,WF,Denise Merrill,34,33,,,1
Hartford,East Hartford 3,Secretary of State,,Ind,Peter Lumaj,20,19,,1,
Hartford,East Hartford 3,Secretary of State,,Green,Michael DeRosa,24,23,,1,
Hartford,East Hartford 4,Secretary of State,,Rep,Peter Lumaj,345,312,20,10,3
Hartford,East Hartford 4,Secretary of State,,Dem,Denise Merrill,1316,"1,116",89,37,74
Hartford,East Hartford 4,Secretary of State,,WF,Denise Merrill,62,55,3,1,3
Hartford,East Hartford 4,Secretary of State,,Ind,Peter Lumaj,36,33,3,,
Hartford,East Hartford 4,Secretary of State,,Green,Michael DeRosa,26,26,,,
Hartford,East Hartford 5,Secretary of State,,Rep,Peter Lumaj,410,387,12,10,1
Hartford,East Hartford 5,Secretary of State,,Dem,Denise Merrill,973,885,23,19,46
Hartford,East Hartford 5,Secretary of State,,WF,Denise Merrill,78,70,1,3,4
Hartford,East Hartford 5,Secretary of State,,Ind,Peter Lumaj,40,39,1,,
Hartford,East Hartford 5,Secretary of State,,Green,Michael DeRosa,42,40,,2,
Hartford,East Hartford 6,Secretary of State,,Rep,Peter Lumaj,700,682,10,1,7
Hartford,East Hartford 6,Secretary of State,,Dem,Denise Merrill,1116,"1,046",33,11,26
Hartford,East Hartford 6,Secretary of State,,WF,Denise Merrill,69,65,1,1,2
Hartford,East Hartford 6,Secretary of State,,Ind,Peter Lumaj,51,50,,1,
Hartford,East Hartford 6,Secretary of State,,Green,Michael DeRosa,56,52,2,2,
Hartford,East Hartford 7,Secretary of State,,Rep,Peter Lumaj,847,812,24,7,4
Hartford,East Hartford 7,Secretary of State,,Dem,Denise Merrill,1144,"1,076",30,20,18
Hartford,East Hartford 7,Secretary of State,,WF,Denise Merrill,91,84,3,3,1
Hartford,East Hartford 7,Secretary of State,,Ind,Peter Lumaj,62,61,,1,
Hartford,East Hartford 7,Secretary of State,,Green,Michael DeRosa,63,60,1,2,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 1,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 2,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 3,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 4,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 5,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
Hartford,East Hartford 6,,,,,,,,,
Hartford,East Hartford 7,,,,,,,,,
