county,precinct,office,district,party,candidate,votes,poll,abs,edr
Middlesex,Middletown 11,Comptroller,,WF,Kevin Lembo,102,96,6,0
Middlesex,Middletown 11,Comptroller,,Green,Rolf Maurer,32,30,1,1
Middlesex,Middletown 11,Attorney General,,Rep,Kie Westby,492,445,33,14
Middlesex,Middletown 11,Attorney General,,Ind,Kie Westby,29,28,1,0
Middlesex,Middletown 11,Attorney General,,Dem,George Jepsen,958,870,80,8
Middlesex,Middletown 11,Attorney General,,WF,George Jepsen,104,100,4,0
Middlesex,Middletown 11,Attorney General,,Green,Stephen Fournier,37,34,2,1
Middlesex,Middletown 12,Governor,,Rep,Tom Foley,593,535,51,7
Middlesex,Middletown 12,Governor,,Ind,Tom Foley,26,20,5,1
Middlesex,Middletown 12,Governor,,Dem,Dan Malloy,968,819,131,18
Middlesex,Middletown 12,Governor,,WF,Dan Malloy,81,74,5,2
Middlesex,Middletown 12,Governor,,PC,Joe Visconti,10,7,3,0
Middlesex,Middletown 12,US House,3,Rep,James Brown,485,440,38,7
Middlesex,Middletown 12,US House,3,Dem,Rosa DeLauro,1021,883,122,16
Middlesex,Middletown 12,US House,3,WF,Rosa DeLauro,125,111,11,3
Middlesex,Middletown 12,State Senate,9,Rep,Earle Roberts,551,501,44,6
Middlesex,Middletown 12,State Senate,9,Dem,Paul Doyle,1019,882,118,19
Middlesex,Middletown 12,State Assembly,100,Rep,Angel Fernandez,453,401,45,7
Middlesex,Middletown 12,State Assembly,100,Dem,Matt Lesser,1033,908,109,16
Middlesex,Middletown 12,State Assembly,100,WF,Matt Lesser,121,109,9,3
Middlesex,Middletown 12,Secretary of State,,Rep,Peter Lumaj,532,486,39,7
Middlesex,Middletown 12,Secretary of State,,Ind,Peter Lumaj,34,30,2,2
Middlesex,Middletown 12,Secretary of State,,Dem,Denise Merrill,907,778,114,15
Middlesex,Middletown 12,Secretary of State,,WF,Denise Merrill,87,78,7,2
Middlesex,Middletown 12,Secretary of State,,Green,Michael DeRosa,43,37,6,0
Middlesex,Middletown 12,Treasurer,,Rep,Tim Herbst,577,526,45,6
Middlesex,Middletown 12,Treasurer,,Ind,Tim Herbst,37,34,2,1
Middlesex,Middletown 12,Treasurer,,Dem,Denise Nappier,884,756,111,17
Middlesex,Middletown 12,Treasurer,,WF,Denise Nappier,103,94,7,2
Middlesex,Middletown 12,Comptroller,,Rep,Sharon McLaughlin,482,436,41,5
Middlesex,Middletown 12,Comptroller,,Ind,Sharon McLaughlin,29,23,5,1
Middlesex,Middletown 12,Comptroller,,Dem,Kevin Lembo,936,817,104,15
Middlesex,Middletown 12,Comptroller,,WF,Kevin Lembo,98,88,7,3
Middlesex,Middletown 12,Comptroller,,Green,Rolf Maurer,28,25,2,1
Middlesex,Middletown 12,Attorney General,,Rep,Kie Westby,441,399,37,5
Middlesex,Middletown 12,Attorney General,,Ind,Kie Westby,27,23,2,2
Middlesex,Middletown 12,Attorney General,,Dem,George Jepsen,991,865,112,14
Middlesex,Middletown 12,Attorney General,,WF,George Jepsen,103,92,7,4
Middlesex,Middletown 12,Attorney General,,Green,Stephen Fournier,27,21,5,1
Middlesex,Middletown 13,Governor,,Rep,Tom Foley,253,229,21,3
Middlesex,Middletown 13,Governor,,Ind,Tom Foley,17,17,0,0
Middlesex,Middletown 13,Governor,,Dem,Dan Malloy,421,353,61,7
Middlesex,Middletown 13,Governor,,WF,Dan Malloy,20,20,0,0
Middlesex,Middletown 13,Governor,,PC,Joe Visconti,19,13,6,0
Middlesex,Middletown 13,US House,3,Rep,James Brown,237,215,20,2
Middlesex,Middletown 13,US House,3,Dem,Rosa DeLauro,432,365,59,8
Middlesex,Middletown 13,US House,3,WF,Rosa DeLauro,45,42,3,0
Middlesex,Middletown 13,State Senate,9,Rep,Earle Roberts,231,215,14,2
Middlesex,Middletown 13,State Senate,9,Dem,Paul Doyle,449,383,58,8
Middlesex,Middletown 13,State Assembly,33,Rep,Linda Szynkowicz,283,258,22,3
Middlesex,Middletown 13,State Assembly,33,Dem,Joseph Serra,420,351,62,7
Middlesex,Middletown 13,Secretary of State,,Rep,Peter Lumaj,241,217,22,2
Middlesex,Middletown 13,Secretary of State,,Ind,Peter Lumaj,21,20,1,0
Middlesex,Middletown 13,Secretary of State,,Dem,Denise Merrill,371,309,54,8
Middlesex,Middletown 13,Secretary of State,,WF,Denise Merrill,25,25,0,0
Middlesex,Middletown 13,Secretary of State,,Green,Michael DeRosa,30,28,2,0
Middlesex,Middletown 13,Treasurer,,Rep,Tim Herbst,256,228,25,3
Middlesex,Middletown 13,Treasurer,,Ind,Tim Herbst,25,22,3,0
Middlesex,Middletown 13,Treasurer,,Dem,Denise Nappier,370,312,51,7
Middlesex,Middletown 13,Treasurer,,WF,Denise Nappier,35,33,2,0
Middlesex,Middletown 13,Comptroller,,Rep,Sharon McLaughlin,227,203,22,2
Middlesex,Middletown 13,Comptroller,,Ind,Sharon McLaughlin,9,5,4,0
Middlesex,Middletown 13,Comptroller,,Dem,Kevin Lembo,400,339,53,8
Middlesex,Middletown 13,Comptroller,,WF,Kevin Lembo,25,25,0,0
Middlesex,Middletown 13,Comptroller,,Green,Rolf Maurer,10,9,1,0
Middlesex,Middletown 13,Attorney General,,Rep,Kie Westby,212,191,19,2
Middlesex,Middletown 13,Attorney General,,Ind,Kie Westby,12,11,1,0
Middlesex,Middletown 13,Attorney General,,Dem,George Jepsen,403,340,55,8
Middlesex,Middletown 13,Attorney General,,WF,George Jepsen,29,25,4,0
Middlesex,Middletown 13,Attorney General,,Green,Stephen Fournier,15,14,1,0
Middlesex,Middletown 14,Governor,,Rep,Tom Foley,96,74,5,17
Middlesex,Middletown 14,Governor,,Ind,Tom Foley,3,2,0,1
Middlesex,Middletown 14,Governor,,Dem,Dan Malloy,629,435,24,170
Middlesex,Middletown 14,Governor,,WF,Dan Malloy,48,36,2,10
Middlesex,Middletown 14,Governor,,PC,Joe Visconti,5,4,0,1
Middlesex,Middletown 14,US House,3,Rep,James Brown,81,60,4,17
Middlesex,Middletown 14,US House,3,Dem,Rosa DeLauro,622,432,25,165
Middlesex,Middletown 14,US House,3,WF,Rosa DeLauro,58,47,2,9
Middlesex,Middletown 14,State Senate,9,Rep,Earle Roberts,82,62,3,17
Middlesex,Middletown 14,State Senate,9,Dem,Paul Doyle,645,451,23,171
Middlesex,Middletown 14,State Assembly,33,Rep,Linda Szynkowicz,100,76,6,18
Middlesex,Middletown 14,State Assembly,33,Dem,Joseph Serra,630,436,23,171
Middlesex,Middletown 14,Secretary of State,,Rep,Peter Lumaj,85,63,4,18
Middlesex,Middletown 14,Secretary of State,,Ind,Peter Lumaj,8,5,0,3
Middlesex,Middletown 14,Secretary of State,,Dem,Denise Merrill,565,397,23,145
Middlesex,Middletown 14,Secretary of State,,WF,Denise Merrill,44,33,2,9
Middlesex,Middletown 14,Secretary of State,,Green,Michael DeRosa,48,30,1,17
Middlesex,Middletown 14,Treasurer,,Rep,Tim Herbst,96,74,7,15
Middlesex,Middletown 14,Treasurer,,Ind,Tim Herbst,13,9,1,3
Middlesex,Middletown 14,Treasurer,,Dem,Denise Nappier,575,394,22,159
Middlesex,Middletown 14,Treasurer,,WF,Denise Nappier,507,496,1,10
Middlesex,Middletown 14,Comptroller,,Rep,Sharon McLaughlin,95,70,7,18
Middlesex,Middletown 14,Comptroller,,Ind,Sharon McLaughlin,12,8,1,3
Middlesex,Middletown 14,Comptroller,,Dem,Kevin Lembo,551,390,20,141
Middlesex,Middletown 14,Comptroller,,WF,Kevin Lembo,44,32,2,10
Middlesex,Middletown 14,Comptroller,,Green,Rolf Maurer,37,22,0,15
Middlesex,Middletown 14,Attorney General,,Rep,Kie Westby,84,60,6,18
Middlesex,Middletown 14,Attorney General,,Ind,Kie Westby,5,4,0,1
Middlesex,Middletown 14,Attorney General,,Dem,George Jepsen,574,401,23,150
Middlesex,Middletown 14,Attorney General,,WF,George Jepsen,42,32,1,9
Middlesex,Middletown 14,Attorney General,,Green,Stephen Fournier,46,29,0,17
Middlesex,Middletown 4,Governor,,write-in,Daniel Gaita,2,2,0,0
Middlesex,Middletown 5,Governor,,write-in,Jonathan Pelto,2,2,0,0
Middlesex,Middletown 1,Treasurer,,write-in,Rolf Maurer,1,1,0,0
Middlesex,Middletown 3,Treasurer,,write-in,Rolf Maurer,1,0,1,0
Middlesex,Middletown 8,Governor,,write-in,Daniel Gaita,1,1,0,0
Middlesex,Middletown 8,Treasurer,,write-in,Rolf Maurer,1,1,0,0
Middlesex,Middletown 9,Governor,,write-in,Jonathan Pelto,1,1,0,0
Middlesex,Middletown 12,Governor,,write-in,Jonathan Pelto,1,1,0,0
Middlesex,Middletown 12,Treasurer,,write-in,Rolf Maurer,2,1,1,0
