county,precinct,office,district,party,candidate,poll,absentee,votes
Hartford,Enfield 258,Attorney General,,REP,Kie Westby,661,28,689
Hartford,Enfield 358,Attorney General,,REP,Kie Westby,305,14,319
Hartford,Enfield 359,Attorney General,,REP,Kie Westby,1067,54,1121
Hartford,Enfield 458,Attorney General,,REP,Kie Westby,901,34,935
Hartford,Enfield 459,Attorney General,,REP,Kie Westby,110,5,115
Hartford,EDR,Attorney General,,REP,Kie Westby,59,0,59
Hartford,HC AB,Attorney General,,REP,Kie Westby,0,2,2
Hartford,HC 4,Attorney General,,REP,Kie Westby,75,0,75
Hartford,Enfield CT,Attorney General,,REP,Kie Westby,4576,170,4746
Hartford,Enfield 158,Attorney General,,DEM,George Jepsen,296,14,310
Hartford,Enfield 159,Attorney General,,DEM,George Jepsen,1416,37,1453
Hartford,Enfield 258,Attorney General,,DEM,George Jepsen,1046,61,1107
Hartford,Enfield 358,Attorney General,,DEM,George Jepsen,380,25,405
Hartford,Enfield 359,Attorney General,,DEM,George Jepsen,1170,45,1215
Hartford,Enfield 458,Attorney General,,DEM,George Jepsen,1252,80,1332
Hartford,Enfield 459,Attorney General,,DEM,George Jepsen,143,3,146
Hartford,EDR,Attorney General,,DEM,George Jepsen,47,0,47
Hartford,HC AB,Attorney General,,DEM,George Jepsen,0,7,7
Hartford,HC 4,Attorney General,,DEM,George Jepsen,93,0,93
Hartford,Enfield CT,Attorney General,,DEM,George Jepsen,5843,272,6115
Hartford,Enfield 158,Attorney General,,WF,George Jepsen,19,0,19
Hartford,Enfield 159,Attorney General,,WF,George Jepsen,80,1,81
Hartford,Enfield 258,Attorney General,,WF,George Jepsen,68,2,70
Hartford,Enfield 358,Attorney General,,WF,George Jepsen,25,1,26
Hartford,Enfield 359,Attorney General,,WF,George Jepsen,85,5,90
Hartford,Enfield 458,Attorney General,,WF,George Jepsen,87,2,89
Hartford,Enfield 459,Attorney General,,WF,George Jepsen,9,0,9
Hartford,EDR,Attorney General,,WF,George Jepsen,5,0,5
Hartford,HC AB,Attorney General,,WF,George Jepsen,0,1,1
Hartford,HC 4,Attorney General,,WF,George Jepsen,8,0,8
Hartford,Enfield CT,Attorney General,,WF,George Jepsen,386,12,398
Hartford,Enfield 158,Attorney General,,IND,Kie Westby,14,0,14
Hartford,Enfield 159,Attorney General,,IND,Kie Westby,55,0,55
Hartford,Enfield 258,Attorney General,,IND,Kie Westby,45,1,46
Hartford,Enfield 358,Attorney General,,IND,Kie Westby,14,0,14
Hartford,Enfield 359,Attorney General,,IND,Kie Westby,58,1,59
Hartford,Enfield 458,Attorney General,,IND,Kie Westby,56,2,58
Hartford,Enfield 459,Attorney General,,IND,Kie Westby,3,1,4
Hartford,EDR,Attorney General,,IND,Kie Westby,3,0,3
Hartford,HC AB,Attorney General,,IND,Kie Westby,0,0,0
Hartford,HC 4,Attorney General,,IND,Kie Westby,8,0,8
Hartford,Enfield CT,Attorney General,,IND,Kie Westby,256,5,261
Hartford,Enfield 158,Attorney General,,Green,Stephen Fournier,10,0,10
Hartford,Enfield 159,Attorney General,,Green,Stephen Fournier,58,3,61
Hartford,Enfield 258,Attorney General,,Green,Stephen Fournier,46,2,48
Hartford,Enfield 358,Attorney General,,Green,Stephen Fournier,16,1,17
Hartford,Enfield 359,Attorney General,,Green,Stephen Fournier,49,3,52
Hartford,Enfield 458,Attorney General,,Green,Stephen Fournier,48,2,50
Hartford,Enfield 459,Attorney General,,Green,Stephen Fournier,7,0,7
Hartford,EDR,Attorney General,,Green,Stephen Fournier,4,0,4
Hartford,HC AB,Attorney General,,Green,Stephen Fournier,0,1,1
Hartford,HC 4,Attorney General,,Green,Stephen Fournier,8,0,8
Hartford,Enfield CT,Attorney General,,Green,Stephen Fournier,246,12,258
