town,precinct,office,district,party,candidate,votes
New Haven,New Haven 23-0-10-092,Governor,,R,Tom Foley,35
New Haven,New Haven 24-0-10-092,Governor,,R,Tom Foley,63
New Haven,New Haven 25-0-10-092,Governor,,R,Tom Foley,262
New Haven,New Haven 26-0-10-092,Governor,,R,Tom Foley,214
New Haven,New Haven 27-1-10-092,Governor,,R,Tom Foley,103
New Haven,New Haven 28-0-10-093,Governor,,R,Tom Foley,62
New Haven,New Haven 29-0-10-093,Governor,,R,Tom Foley,51
New Haven,New Haven 30-1-10-093,Governor,,R,Tom Foley,11
New Haven,New Haven 30-2-10-093,Governor,,R,Tom Foley,24
New Haven,New Haven CT,Governor,,R,Tom Foley,3244
New Haven,New Haven 01-2-11-094,Governor,,IND,Tom Foley,2
New Haven,New Haven 02-2-10-093,Governor,,IND,Tom Foley,7
New Haven,New Haven 03-1-10-092,Governor,,IND,Tom Foley,2
New Haven,New Haven 03-2-10-093,Governor,,IND,Tom Foley,1
New Haven,New Haven 04-1-10-095,Governor,,IND,Tom Foley,2
New Haven,New Haven 04-2-10-116,Governor,,IND,Tom Foley,1
New Haven,New Haven 05-0-10-095,Governor,,IND,Tom Foley,6
New Haven,New Haven 06-2-11-095,Governor,,IND,Tom Foley,2
New Haven,New Haven 06-3-11-095,Governor,,IND,Tom Foley,0
New Haven,New Haven 07-2-11-096,Governor,,IND,Tom Foley,14
New Haven,New Haven 08-1-11-095,Governor,,IND,Tom Foley,1
New Haven,New Haven 08-2-11-096,Governor,,IND,Tom Foley,7
New Haven,New Haven 09-2-11-096,Governor,,IND,Tom Foley,10
New Haven,New Haven 10-0-11-096,Governor,,IND,Tom Foley,8
New Haven,New Haven 11-1-11-097,Governor,,IND,Tom Foley,9
New Haven,New Haven 11-2-11-097,Governor,,IND,Tom Foley,1
New Haven,New Haven 11-3-11-097,Governor,,IND,Tom Foley,0
New Haven,New Haven 12-1-11-096,Governor,,IND,Tom Foley,0
New Haven,New Haven 12-2-11-097,Governor,,IND,Tom Foley,6
New Haven,New Haven 13-0-11-097,Governor,,IND,Tom Foley,12
New Haven,New Haven 14-1-11-095,Governor,,IND,Tom Foley,4
New Haven,New Haven 15-1-11-095,Governor,,IND,Tom Foley,3
New Haven,New Haven 16-0-11-095,Governor,,IND,Tom Foley,3
New Haven,New Haven 17-0-11-097,Governor,,IND,Tom Foley,14
New Haven,New Haven 18-0-11-097,Governor,,IND,Tom Foley,18
New Haven,New Haven 19-1-10-094,Governor,,IND,Tom Foley,2
New Haven,New Haven 19-2-11-094,Governor,,IND,Tom Foley,4
New Haven,New Haven 20-2-10-094,Governor,,IND,Tom Foley,2
New Haven,New Haven 21-1-10-093,Governor,,IND,Tom Foley,3
New Haven,New Haven 22-1-10-093,Governor,,IND,Tom Foley,0
New Haven,New Haven 22-2-10-094,Governor,,IND,Tom Foley,1
New Haven,New Haven 23-0-10-092,Governor,,IND,Tom Foley,2
New Haven,New Haven 24-0-10-092,Governor,,IND,Tom Foley,6
New Haven,New Haven 25-0-10-092,Governor,,IND,Tom Foley,12
New Haven,New Haven 26-0-10-092,Governor,,IND,Tom Foley,18
New Haven,New Haven 27-1-10-092,Governor,,IND,Tom Foley,6
New Haven,New Haven 28-0-10-093,Governor,,IND,Tom Foley,2
New Haven,New Haven 29-0-10-093,Governor,,IND,Tom Foley,1
New Haven,New Haven 30-1-10-093,Governor,,IND,Tom Foley,1
New Haven,New Haven 30-2-10-093,Governor,,IND,Tom Foley,4
New Haven,New Haven CT,Governor,,IND,Tom Foley,197
New Haven,New Haven 01-2-11-094,Governor,,UNK,Tom Foley,0
New Haven,New Haven 02-2-10-093,Governor,,UNK,Tom Foley,1
New Haven,New Haven 03-1-10-092,Governor,,UNK,Tom Foley,1
New Haven,New Haven 03-2-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven 04-1-10-095,Governor,,UNK,Tom Foley,1
New Haven,New Haven 04-2-10-116,Governor,,UNK,Tom Foley,0
New Haven,New Haven 05-0-10-095,Governor,,UNK,Tom Foley,3
New Haven,New Haven 06-2-11-095,Governor,,UNK,Tom Foley,2
New Haven,New Haven 06-3-11-095,Governor,,UNK,Tom Foley,1
New Haven,New Haven 07-2-11-096,Governor,,UNK,Tom Foley,1
New Haven,New Haven 08-1-11-095,Governor,,UNK,Tom Foley,0
New Haven,New Haven 08-2-11-096,Governor,,UNK,Tom Foley,2
New Haven,New Haven 09-2-11-096,Governor,,UNK,Tom Foley,1
New Haven,New Haven 10-0-11-096,Governor,,UNK,Tom Foley,1
New Haven,New Haven 11-1-11-097,Governor,,UNK,Tom Foley,3
New Haven,New Haven 11-2-11-097,Governor,,UNK,Tom Foley,2
New Haven,New Haven 11-3-11-097,Governor,,UNK,Tom Foley,1
New Haven,New Haven 12-1-11-096,Governor,,UNK,Tom Foley,3
New Haven,New Haven 12-2-11-097,Governor,,UNK,Tom Foley,1
New Haven,New Haven 13-0-11-097,Governor,,UNK,Tom Foley,2
New Haven,New Haven 14-1-11-095,Governor,,UNK,Tom Foley,0
New Haven,New Haven 15-1-11-095,Governor,,UNK,Tom Foley,3
New Haven,New Haven 16-0-11-095,Governor,,UNK,Tom Foley,2
New Haven,New Haven 17-0-11-097,Governor,,UNK,Tom Foley,5
New Haven,New Haven 18-0-11-097,Governor,,UNK,Tom Foley,11
New Haven,New Haven 19-1-10-094,Governor,,UNK,Tom Foley,0
New Haven,New Haven 19-2-11-094,Governor,,UNK,Tom Foley,0
New Haven,New Haven 20-2-10-094,Governor,,UNK,Tom Foley,0
New Haven,New Haven 21-1-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven 22-1-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven 22-2-10-094,Governor,,UNK,Tom Foley,0
New Haven,New Haven 23-0-10-092,Governor,,UNK,Tom Foley,0
New Haven,New Haven 24-0-10-092,Governor,,UNK,Tom Foley,1
New Haven,New Haven 25-0-10-092,Governor,,UNK,Tom Foley,0
New Haven,New Haven 26-0-10-092,Governor,,UNK,Tom Foley,1
New Haven,New Haven 27-1-10-092,Governor,,UNK,Tom Foley,0
New Haven,New Haven 28-0-10-093,Governor,,UNK,Tom Foley,1
New Haven,New Haven 29-0-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven 30-1-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven 30-2-10-093,Governor,,UNK,Tom Foley,0
New Haven,New Haven CT,Governor,,UNK,Tom Foley,50
New Haven,New Haven 01-2-11-094,Governor,,D,Dan Malloy,237
New Haven,New Haven 02-2-10-093,Governor,,D,Dan Malloy,574
New Haven,New Haven 03-1-10-092,Governor,,D,Dan Malloy,405
New Haven,New Haven 03-2-10-093,Governor,,D,Dan Malloy,100
New Haven,New Haven 04-1-10-095,Governor,,D,Dan Malloy,408
New Haven,New Haven 04-2-10-116,Governor,,D,Dan Malloy,120
New Haven,New Haven 05-0-10-095,Governor,,D,Dan Malloy,492
New Haven,New Haven 06-2-11-095,Governor,,D,Dan Malloy,351
New Haven,New Haven 06-3-11-095,Governor,,D,Dan Malloy,123
New Haven,New Haven 07-2-11-096,Governor,,D,Dan Malloy,1302
New Haven,New Haven 08-1-11-095,Governor,,D,Dan Malloy,139
New Haven,New Haven 08-2-11-096,Governor,,D,Dan Malloy,621
New Haven,New Haven 09-2-11-096,Governor,,D,Dan Malloy,672
New Haven,New Haven 10-0-11-096,Governor,,D,Dan Malloy,1083
New Haven,New Haven 11-1-11-097,Governor,,D,Dan Malloy,536
New Haven,New Haven 11-2-11-097,Governor,,D,Dan Malloy,143
New Haven,New Haven 11-3-11-097,Governor,,D,Dan Malloy,172
New Haven,New Haven 12-1-11-096,Governor,,D,Dan Malloy,179
New Haven,New Haven 12-2-11-097,Governor,,D,Dan Malloy,445
New Haven,New Haven 13-0-11-097,Governor,,D,Dan Malloy,642
New Haven,New Haven 14-1-11-095,Governor,,D,Dan Malloy,435
New Haven,New Haven 15-1-11-095,Governor,,D,Dan Malloy,396
New Haven,New Haven 16-0-11-095,Governor,,D,Dan Malloy,381
New Haven,New Haven 17-0-11-097,Governor,,D,Dan Malloy,682
New Haven,New Haven 18-0-11-097,Governor,,D,Dan Malloy,826
New Haven,New Haven 19-1-10-094,Governor,,D,Dan Malloy,279
New Haven,New Haven 19-2-11-094,Governor,,D,Dan Malloy,420
New Haven,New Haven 20-2-10-094,Governor,,D,Dan Malloy,1021
New Haven,New Haven 21-1-10-093,Governor,,D,Dan Malloy,467
New Haven,New Haven 22-1-10-093,Governor,,D,Dan Malloy,363
New Haven,New Haven 22-2-10-094,Governor,,D,Dan Malloy,345
New Haven,New Haven 23-0-10-092,Governor,,D,Dan Malloy,637
New Haven,New Haven 24-0-10-092,Governor,,D,Dan Malloy,778
New Haven,New Haven 25-0-10-092,Governor,,D,Dan Malloy,1280
New Haven,New Haven 26-0-10-092,Governor,,D,Dan Malloy,1168
New Haven,New Haven 27-1-10-092,Governor,,D,Dan Malloy,637
New Haven,New Haven 28-0-10-093,Governor,,D,Dan Malloy,754
New Haven,New Haven 29-0-10-093,Governor,,D,Dan Malloy,678
New Haven,New Haven 30-1-10-093,Governor,,D,Dan Malloy,169
New Haven,New Haven 30-2-10-093,Governor,,D,Dan Malloy,430
New Haven,New Haven CT,Governor,,D,Dan Malloy,20890
New Haven,New Haven 01-2-11-094,Governor,,WF,Dan Malloy,8
New Haven,New Haven 02-2-10-093,Governor,,WF,Dan Malloy,50
New Haven,New Haven 03-1-10-092,Governor,,WF,Dan Malloy,12
New Haven,New Haven 03-2-10-093,Governor,,WF,Dan Malloy,11
New Haven,New Haven 04-1-10-095,Governor,,WF,Dan Malloy,15
New Haven,New Haven 04-2-10-116,Governor,,WF,Dan Malloy,4
New Haven,New Haven 05-0-10-095,Governor,,WF,Dan Malloy,21
New Haven,New Haven 06-2-11-095,Governor,,WF,Dan Malloy,22
New Haven,New Haven 06-3-11-095,Governor,,WF,Dan Malloy,4
New Haven,New Haven 07-2-11-096,Governor,,WF,Dan Malloy,89
New Haven,New Haven 08-1-11-095,Governor,,WF,Dan Malloy,11
New Haven,New Haven 08-2-11-096,Governor,,WF,Dan Malloy,70
New Haven,New Haven 09-2-11-096,Governor,,WF,Dan Malloy,84
New Haven,New Haven 10-0-11-096,Governor,,WF,Dan Malloy,116
New Haven,New Haven 11-1-11-097,Governor,,WF,Dan Malloy,14
New Haven,New Haven 11-2-11-097,Governor,,WF,Dan Malloy,13
New Haven,New Haven 11-3-11-097,Governor,,WF,Dan Malloy,9
New Haven,New Haven 12-1-11-096,Governor,,WF,Dan Malloy,5
New Haven,New Haven 12-2-11-097,Governor,,WF,Dan Malloy,23
New Haven,New Haven 13-0-11-097,Governor,,WF,Dan Malloy,42
New Haven,New Haven 14-1-11-095,Governor,,WF,Dan Malloy,25
New Haven,New Haven 15-1-11-095,Governor,,WF,Dan Malloy,23
New Haven,New Haven 16-0-11-095,Governor,,WF,Dan Malloy,8
New Haven,New Haven 17-0-11-097,Governor,,WF,Dan Malloy,26
New Haven,New Haven 18-0-11-097,Governor,,WF,Dan Malloy,61
New Haven,New Haven 19-1-10-094,Governor,,WF,Dan Malloy,19
New Haven,New Haven 19-2-11-094,Governor,,WF,Dan Malloy,18
New Haven,New Haven 20-2-10-094,Governor,,WF,Dan Malloy,31
New Haven,New Haven 21-1-10-093,Governor,,WF,Dan Malloy,8
New Haven,New Haven 22-1-10-093,Governor,,WF,Dan Malloy,18
New Haven,New Haven 22-2-10-094,Governor,,WF,Dan Malloy,17
New Haven,New Haven 23-0-10-092,Governor,,WF,Dan Malloy,31
New Haven,New Haven 24-0-10-092,Governor,,WF,Dan Malloy,35
New Haven,New Haven 25-0-10-092,Governor,,WF,Dan Malloy,106
New Haven,New Haven 26-0-10-092,Governor,,WF,Dan Malloy,42
New Haven,New Haven 27-1-10-092,Governor,,WF,Dan Malloy,31
New Haven,New Haven 28-0-10-093,Governor,,WF,Dan Malloy,34
New Haven,New Haven 29-0-10-093,Governor,,WF,Dan Malloy,26
New Haven,New Haven 30-1-10-093,Governor,,WF,Dan Malloy,6
New Haven,New Haven 30-2-10-093,Governor,,WF,Dan Malloy,10
New Haven,New Haven CT,Governor,,WF,Dan Malloy,1198
New Haven,New Haven 01-2-11-094,Governor,,UNK,Dan Malloy,0
New Haven,New Haven 02-2-10-093,Governor,,UNK,Dan Malloy,28
New Haven,New Haven 03-1-10-092,Governor,,UNK,Dan Malloy,25
New Haven,New Haven 03-2-10-093,Governor,,UNK,Dan Malloy,5
New Haven,New Haven 04-1-10-095,Governor,,UNK,Dan Malloy,24
New Haven,New Haven 04-2-10-116,Governor,,UNK,Dan Malloy,7
New Haven,New Haven 05-0-10-095,Governor,,UNK,Dan Malloy,31
New Haven,New Haven 06-2-11-095,Governor,,UNK,Dan Malloy,31
New Haven,New Haven 06-3-11-095,Governor,,UNK,Dan Malloy,8
New Haven,New Haven 07-2-11-096,Governor,,UNK,Dan Malloy,18
New Haven,New Haven 08-1-11-095,Governor,,UNK,Dan Malloy,14
New Haven,New Haven 08-2-11-096,Governor,,UNK,Dan Malloy,18
New Haven,New Haven 09-2-11-096,Governor,,UNK,Dan Malloy,18
New Haven,New Haven 10-0-11-096,Governor,,UNK,Dan Malloy,21
New Haven,New Haven 11-1-11-097,Governor,,UNK,Dan Malloy,37
New Haven,New Haven 11-2-11-097,Governor,,UNK,Dan Malloy,19
New Haven,New Haven 11-3-11-097,Governor,,UNK,Dan Malloy,57
New Haven,New Haven 12-1-11-096,Governor,,UNK,Dan Malloy,11
New Haven,New Haven 12-2-11-097,Governor,,UNK,Dan Malloy,42
New Haven,New Haven 13-0-11-097,Governor,,UNK,Dan Malloy,32
New Haven,New Haven 14-1-11-095,Governor,,UNK,Dan Malloy,20
New Haven,New Haven 15-1-11-095,Governor,,UNK,Dan Malloy,23
New Haven,New Haven 16-0-11-095,Governor,,UNK,Dan Malloy,17
New Haven,New Haven 17-0-11-097,Governor,,UNK,Dan Malloy,23
New Haven,New Haven 18-0-11-097,Governor,,UNK,Dan Malloy,25
New Haven,New Haven 19-1-10-094,Governor,,UNK,Dan Malloy,21
New Haven,New Haven 19-2-11-094,Governor,,UNK,Dan Malloy,0
New Haven,New Haven 20-2-10-094,Governor,,UNK,Dan Malloy,103
New Haven,New Haven 21-1-10-093,Governor,,UNK,Dan Malloy,39
New Haven,New Haven 22-1-10-093,Governor,,UNK,Dan Malloy,31
New Haven,New Haven 22-2-10-094,Governor,,UNK,Dan Malloy,29
New Haven,New Haven 23-0-10-092,Governor,,UNK,Dan Malloy,32
New Haven,New Haven 24-0-10-092,Governor,,UNK,Dan Malloy,23
New Haven,New Haven 25-0-10-092,Governor,,UNK,Dan Malloy,18
New Haven,New Haven 26-0-10-092,Governor,,UNK,Dan Malloy,44
New Haven,New Haven 27-1-10-092,Governor,,UNK,Dan Malloy,42
New Haven,New Haven 28-0-10-093,Governor,,UNK,Dan Malloy,71
New Haven,New Haven 29-0-10-093,Governor,,UNK,Dan Malloy,34
New Haven,New Haven 30-1-10-093,Governor,,UNK,Dan Malloy,10
New Haven,New Haven 30-2-10-093,Governor,,UNK,Dan Malloy,44
New Haven,New Haven CT,Governor,,UNK,Dan Malloy,1095
New Haven,New Haven 01-2-11-094,Governor,,PC,Joe Visconti,1
New Haven,New Haven 02-2-10-093,Governor,,PC,Joe Visconti,5
New Haven,New Haven 03-1-10-092,Governor,,PC,Joe Visconti,2
New Haven,New Haven 03-2-10-093,Governor,,PC,Joe Visconti,1
New Haven,New Haven 04-1-10-095,Governor,,PC,Joe Visconti,2
New Haven,New Haven 04-2-10-116,Governor,,PC,Joe Visconti,0
New Haven,New Haven 05-0-10-095,Governor,,PC,Joe Visconti,3
New Haven,New Haven 06-2-11-095,Governor,,PC,Joe Visconti,2
New Haven,New Haven 06-3-11-095,Governor,,PC,Joe Visconti,1
New Haven,New Haven 07-2-11-096,Governor,,PC,Joe Visconti,2
New Haven,New Haven 08-1-11-095,Governor,,PC,Joe Visconti,2
New Haven,New Haven 08-2-11-096,Governor,,PC,Joe Visconti,8
New Haven,New Haven 09-2-11-096,Governor,,PC,Joe Visconti,2
New Haven,New Haven 10-0-11-096,Governor,,PC,Joe Visconti,6
New Haven,New Haven 11-1-11-097,Governor,,PC,Joe Visconti,1
New Haven,New Haven 11-2-11-097,Governor,,PC,Joe Visconti,3
New Haven,New Haven 11-3-11-097,Governor,,PC,Joe Visconti,2
New Haven,New Haven 12-1-11-096,Governor,,PC,Joe Visconti,0
New Haven,New Haven 12-2-11-097,Governor,,PC,Joe Visconti,6
New Haven,New Haven 13-0-11-097,Governor,,PC,Joe Visconti,2
New Haven,New Haven 14-1-11-095,Governor,,PC,Joe Visconti,8
New Haven,New Haven 15-1-11-095,Governor,,PC,Joe Visconti,1
New Haven,New Haven 16-0-11-095,Governor,,PC,Joe Visconti,0
New Haven,New Haven 17-0-11-097,Governor,,PC,Joe Visconti,6
New Haven,New Haven 18-0-11-097,Governor,,PC,Joe Visconti,15
New Haven,New Haven 19-1-10-094,Governor,,PC,Joe Visconti,3
New Haven,New Haven 19-2-11-094,Governor,,PC,Joe Visconti,1
New Haven,New Haven 20-2-10-094,Governor,,PC,Joe Visconti,1
New Haven,New Haven 21-1-10-093,Governor,,PC,Joe Visconti,0
New Haven,New Haven 22-1-10-093,Governor,,PC,Joe Visconti,1
New Haven,New Haven 22-2-10-094,Governor,,PC,Joe Visconti,0
New Haven,New Haven 23-0-10-092,Governor,,PC,Joe Visconti,1
New Haven,New Haven 24-0-10-092,Governor,,PC,Joe Visconti,6
New Haven,New Haven 25-0-10-092,Governor,,PC,Joe Visconti,12
New Haven,New Haven 26-0-10-092,Governor,,PC,Joe Visconti,5
New Haven,New Haven 27-1-10-092,Governor,,PC,Joe Visconti,1
New Haven,New Haven 28-0-10-093,Governor,,PC,Joe Visconti,1
New Haven,New Haven 29-0-10-093,Governor,,PC,Joe Visconti,2
New Haven,New Haven 30-1-10-093,Governor,,PC,Joe Visconti,1
New Haven,New Haven 30-2-10-093,Governor,,PC,Joe Visconti,2
New Haven,New Haven CT,Governor,,PC,Joe Visconti,118
New Haven,New Haven 01-2-11-094,Voters,,,Registered,753
New Haven,New Haven 02-2-10-093,Voters,,,Registered,2684
New Haven,New Haven 03-1-10-092,Voters,,,Registered,1499
New Haven,New Haven 03-2-10-093,Voters,,,Registered,668
New Haven,New Haven 04-1-10-095,Voters,,,Registered,1592
New Haven,New Haven 04-2-10-116,Voters,,,Registered,569
New Haven,New Haven 05-0-10-095,Voters,,,Registered,2090
New Haven,New Haven 06-2-11-095,Voters,,,Registered,1497
New Haven,New Haven 06-3-11-095,Voters,,,Registered,609
New Haven,New Haven 07-2-11-096,Voters,,,Registered,4528
New Haven,New Haven 08-1-11-095,Voters,,,Registered,871
New Haven,New Haven 08-2-11-096,Voters,,,Registered,1916
New Haven,New Haven 09-2-11-096,Voters,,,Registered,2038
New Haven,New Haven 10-0-11-096,Voters,,,Registered,3184
New Haven,New Haven 11-1-11-097,Voters,,,Registered,1265
New Haven,New Haven 11-2-11-097,Voters,,,Registered,547
New Haven,New Haven 11-3-11-097,Voters,,,Registered,773
New Haven,New Haven 12-1-11-096,Voters,,,Registered,481
New Haven,New Haven 12-2-11-097,Voters,,,Registered,2021
New Haven,New Haven 13-0-11-097,Voters,,,Registered,2119
New Haven,New Haven 14-1-11-095,Voters,,,Registered,1845
New Haven,New Haven 15-1-11-095,Voters,,,Registered,1845
New Haven,New Haven 16-0-11-095,Voters,,,Registered,2093
New Haven,New Haven 17-0-11-097,Voters,,,Registered,2484
New Haven,New Haven 18-0-11-097,Voters,,,Registered,2436
New Haven,New Haven 19-1-10-094,Voters,,,Registered,932
New Haven,New Haven 19-2-11-094,Voters,,,Registered,902
New Haven,New Haven 20-2-10-094,Voters,,,Registered,3317
New Haven,New Haven 21-1-10-093,Voters,,,Registered,1519
New Haven,New Haven 22-1-10-093,Voters,,,Registered,1296
New Haven,New Haven 22-2-10-094,Voters,,,Registered,1016
New Haven,New Haven 23-0-10-092,Voters,,,Registered,2521
New Haven,New Haven 24-0-10-092,Voters,,,Registered,2499
New Haven,New Haven 25-0-10-092,Voters,,,Registered,2865
New Haven,New Haven 26-0-10-092,Voters,,,Registered,2671
New Haven,New Haven 27-1-10-092,Voters,,,Registered,1854
New Haven,New Haven 28-0-10-093,Voters,,,Registered,2166
New Haven,New Haven 29-0-10-093,Voters,,,Registered,2023
New Haven,New Haven 30-1-10-093,Voters,,,Registered,1378
New Haven,New Haven 30-2-10-093,Voters,,,Registered,1466
New Haven,New Haven CT,Voters,,,Registered,70832
New Haven,New Haven 01-2-11-094,Voters,,,Ballots Cast,274
New Haven,New Haven 02-2-10-093,Voters,,,Ballots Cast,766
New Haven,New Haven 03-1-10-092,Voters,,,Ballots Cast,483
New Haven,New Haven 03-2-10-093,Voters,,,Ballots Cast,126
New Haven,New Haven 04-1-10-095,Voters,,,Ballots Cast,489
New Haven,New Haven 04-2-10-116,Voters,,,Ballots Cast,143
New Haven,New Haven 05-0-10-095,Voters,,,Ballots Cast,620
New Haven,New Haven 06-2-11-095,Voters,,,Ballots Cast,475
New Haven,New Haven 06-3-11-095,Voters,,,Ballots Cast,153
New Haven,New Haven 07-2-11-096,Voters,,,Ballots Cast,1603
New Haven,New Haven 08-1-11-095,Voters,,,Ballots Cast,190
New Haven,New Haven 08-2-11-096,Voters,,,Ballots Cast,855
New Haven,New Haven 09-2-11-096,Voters,,,Ballots Cast,892
New Haven,New Haven 10-0-11-096,Voters,,,Ballots Cast,1393
New Haven,New Haven 11-1-11-097,Voters,,,Ballots Cast,718
New Haven,New Haven 11-2-11-097,Voters,,,Ballots Cast,220
New Haven,New Haven 11-3-11-097,Voters,,,Ballots Cast,295
New Haven,New Haven 12-1-11-096,Voters,,,Ballots Cast,246
New Haven,New Haven 12-2-11-097,Voters,,,Ballots Cast,605
New Haven,New Haven 13-0-11-097,Voters,,,Ballots Cast,911
New Haven,New Haven 14-1-11-095,Voters,,,Ballots Cast,577
New Haven,New Haven 15-1-11-095,Voters,,,Ballots Cast,524
New Haven,New Haven 16-0-11-095,Voters,,,Ballots Cast,477
New Haven,New Haven 17-0-11-097,Voters,,,Ballots Cast,1020
New Haven,New Haven 18-0-11-097,Voters,,,Ballots Cast,1467
New Haven,New Haven 19-1-10-094,Voters,,,Ballots Cast,344
New Haven,New Haven 19-2-11-094,Voters,,,Ballots Cast,506
New Haven,New Haven 20-2-10-094,Voters,,,Ballots Cast,1197
New Haven,New Haven 21-1-10-093,Voters,,,Ballots Cast,530
New Haven,New Haven 22-1-10-093,Voters,,,Ballots Cast,446
New Haven,New Haven 22-2-10-094,Voters,,,Ballots Cast,433
New Haven,New Haven 23-0-10-092,Voters,,,Ballots Cast,751
New Haven,New Haven 24-0-10-092,Voters,,,Ballots Cast,919
New Haven,New Haven 25-0-10-092,Voters,,,Ballots Cast,1707
New Haven,New Haven 26-0-10-092,Voters,,,Ballots Cast,1506
New Haven,New Haven 27-1-10-092,Voters,,,Ballots Cast,829
New Haven,New Haven 28-0-10-093,Voters,,,Ballots Cast,932
New Haven,New Haven 29-0-10-093,Voters,,,Ballots Cast,797
New Haven,New Haven 30-1-10-093,Voters,,,Ballots Cast,198
New Haven,New Haven 30-2-10-093,Voters,,,Ballots Cast,521
New Haven,New Haven CT,Voters,,,Ballots Cast,27138
New Haven,New Haven 01-2-11-094,Congress ,CD3,R,James Brown,26
New Haven,New Haven 02-2-10-093,Congress ,CD3,R,James Brown,51
New Haven,New Haven 03-1-10-092,Congress ,CD3,R,James Brown,27
New Haven,New Haven 03-2-10-093,Congress ,CD3,R,James Brown,10
New Haven,New Haven 04-1-10-095,Congress ,CD3,R,James Brown,24
New Haven,New Haven 04-2-10-116,Congress ,CD3,R,James Brown,5
New Haven,New Haven 05-0-10-095,Congress ,CD3,R,James Brown,38
New Haven,New Haven 06-2-11-095,Congress ,CD3,R,James Brown,45
New Haven,New Haven 06-3-11-095,Congress ,CD3,R,James Brown,13
New Haven,New Haven 07-2-11-096,Congress ,CD3,R,James Brown,157
New Haven,New Haven 08-1-11-095,Congress ,CD3,R,James Brown,11
New Haven,New Haven 08-2-11-096,Congress ,CD3,R,James Brown,84
New Haven,New Haven 09-2-11-096,Congress ,CD3,R,James Brown,81
New Haven,New Haven 10-0-11-096,Congress ,CD3,R,James Brown,115
New Haven,New Haven 11-1-11-097,Congress ,CD3,R,James Brown,78
New Haven,New Haven 11-2-11-097,Congress ,CD3,R,James Brown,24
New Haven,New Haven 11-3-11-097,Congress ,CD3,R,James Brown,34
New Haven,New Haven 12-1-11-096,Congress ,CD3,R,James Brown,41
New Haven,New Haven 12-2-11-097,Congress ,CD3,R,James Brown,55
New Haven,New Haven 13-0-11-097,Congress ,CD3,R,James Brown,119
New Haven,New Haven 14-1-11-095,Congress ,CD3,R,James Brown,51
New Haven,New Haven 15-1-11-095,Congress ,CD3,R,James Brown,43
New Haven,New Haven 16-0-11-095,Congress ,CD3,R,James Brown,36
New Haven,New Haven 17-0-11-097,Congress ,CD3,R,James Brown,180
New Haven,New Haven 18-0-11-097,Congress ,CD3,R,James Brown,317
New Haven,New Haven 19-1-10-094,Congress ,CD3,R,James Brown,20
New Haven,New Haven 19-2-11-094,Congress ,CD3,R,James Brown,50
New Haven,New Haven 20-2-10-094,Congress ,CD3,R,James Brown,21
New Haven,New Haven 21-1-10-093,Congress ,CD3,R,James Brown,11
New Haven,New Haven 22-1-10-093,Congress ,CD3,R,James Brown,23
New Haven,New Haven 22-2-10-094,Congress ,CD3,R,James Brown,28
